Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Aikakone;4;;;1995;Ijäs, Jyrki;Aikamatkoja ja aikakoneita;Aikamatkat;
Aikakone;4;;;1995;Hinkkanen, Juhani;Aikamatkustuksen teoriasta ja aivan erityisesti käytännöstä;Aikamatkat;
Aikakone;1;Vol.1 No.2;;1982;Ylilammi, Markku;Ajan suunta ja ajassa matkustaminen;Aikamatkat;
Aikakone;4;;;1995;Hinkkanen, Juhani;Ja aikamatka jatkuu...;Aikamatkat;
Aikakone;1;Vol.1 No.1;;1981;Oja, Heikki;Onko ajassa matkustus mahdollista?;Aikamatkat;
Aikakone;3;;;1986;Aldiss, Brian W.;Mitä tieteiskirjallisuus merkitsee minulle;;Aldiss, Brian W.
Aikakone;1;;;1993;Kasvi, Jyrki J.J.;No nyt niitä saa - anime-videoita PAL-formaatissa;Anime;
Aikakone;1;;;1992;Hinkkanen, Juhani;Isaac Asimov 1920-1992;;Asimov, Isaac
Aikakone;1;;;1991;Kasvi, Jyrki J.J.;Oletko jo löytänyt orjattaresi?;;Atwood, Margaret
Aikakone;4;;;1990;Ronni, Tapani & Hinkkanen, Juhani;Greg Bear puhuu;;Bear, Greg
Aikakone;1;Vol.1 No.2;;1982;Koponen, Jari;Alfred Bester;;Bester, Alfred
Aikakone;2;Vol.1 No.3;;1982;Rekunen, Veikko;Edgar Rice Burroughs bibliografia;Bibliografia;Burroughs, Edgar Rice
Aikakone;1;;;1989;Ijäs, Jyrki;Björn Kurten bibliografia;Bibliografia;Kurten, Björn
Aikakone;1;Vol.2 No.1;;1983;Rekunen, Veikko;Ursula K. Le Guin bibliografia;Bibliografia;Le Guin, Ursula K.
Aikakone;3;Vol.1 No.4;;1982;Markkanen, Olavi;Olaf Stapledon bibliografia;Bibliografia;Stapledon, Olaf
Aikakone;4;;;1992;Hinkkanen, Juhani;Lisa Tuttle bibliografia;Bibliografia;Tuttle, Lisa
Aikakone;1;Vol.1 No.1;;1981;Kähkönen, Pentti;Jules Verne bibliografia;Bibliografia;Verne, Jules
Aikakone;4;;;1995;Koponen, Jari;Jules Verne bibliografia;Bibliografia;Verne, Jules
Aikakone;1;Vol.1 No.2;;1982;Markkanen, Olavi;H.G. Wells bibliografia;Bibliografia;Wells, H(erbert) G(eorge)
Aikakone;4;;;1995;Hinkkanen, Juhani;John Brunner 1934-1995;;Brunner, John
Aikakone;2;Vol.1 No.3;;1982;Rekunen, Veikko;Edgar Rice Burroughs - väärinymmärretty mestari;;Burroughs, Edgar Rice
Aikakone;3;;;1986;Hinkkanen, Juhani;Finncon 86;Finncon 1986, Conit Suomessa;
Aikakone;3;;;1989;Salminen, Juha;Finncon 89;Finncon 1989, Conit Suomessa;
Aikakone;3;;;1991;Ahonen, Marko & Ronni, Tapani;Finncon 91 - eloonjääneet muistelevat;Finncon 1991, Conit Suomessa;
Aikakone;3;Vol.1 No.4;;1982;Ijäs, Jyrki & Ölander, Tom;Raportti King-Conista;King-con, Conit Suomessa;
Aikakone;3;Vol.2 No.3;;1983;Ijäs, Jyrki;Science fictionia Orivedellä;Tapahtumat Suomessa;
Aikakone;3;Vol.2 No.3;;1983;Ijäs, Jyrki & Enqvist, Kari;Sf-kirjailijoita Mukkulassa;Tapahtumat Suomessa;
Aikakone;3;Vol.4 No.3;;1985;Hinkkanen, Juhani;Tamcon;Tamcon, Conit Suomessa;
Aikakone;2;;;1990;Meriranta, Anetta & Pirinen, Pekka;Boston 31.8.-4.9.1989;Conit ulkomailla;
Aikakone;4;;;1987;Oikarinen, Antti;Brighton or bust eli sinne ja takaisin;Worldcon, Conit ulkomailla;
Aikakone;4;;;1987;Hinkkanen, Juhani;Legendoja Brightonista - Conspiracy'87;Worldcon, Conit ulkomailla;
Aikakone;1;;;1989;Meriranta, Anetta;Maailmancon jenkkiläiseen tapaan;Worldcon, Conit ulkomailla;
Aikakone;3;;;1992;Verronen, Maarit;Mystinen matkakertomus Romanian vuorilta;Romania, Matkat ulkomailla;
