Number;Number_extra;Count;Year;Editor;Image_src;Pages;Size;Link;Notes;Title;Alternate_numbering
1;;1;1981;Koponen, Jari;http://www.tsfs.fi/public/aikakoneet/1981-1.jpg;52;B5;;Aikakoneen ensimmäinen numero. Kansi: Timo Kokkila. Ursan Science Fiction -Klubin julkaisu.;;Vol.1 No.1
1;;2;1982;Koponen, Jari;http://www.tsfs.fi/public/aikakoneet/1982-2.jpg;52;B5;;Kansi: Jukka Murtosaari. Ursan Science Fiction -Klubin julkaisu.;;Vol.1 No.2
2;;3;1982;Koponen, Jari;http://www.tsfs.fi/public/aikakoneet/1982-3.jpg;44;B5;;Kansi: Vesa Lempiäinen. Ursan Science Fiction -Klubin julkaisu.;;Vol.1 No.3
3;;4;1982;Koponen, Jari;http://www.tsfs.fi/public/aikakoneet/1982-4.jpg;44;B5;;Kansi: Mika Johansson. Ursan Science Fiction -Klubin julkaisu.;;Vol.1 No.4
1;;5;1983;Koponen, Jari;http://www.tsfs.fi/public/aikakoneet/1983-1.jpg;60;B5;;Kansi: Timo Kokkila. Ursan Science Fiction -Klubin julkaisu.;;Vol.2 No.1
2;;6;1983;Koponen, Jari;http://www.tsfs.fi/public/aikakoneet/1983-2.jpg;52;B5;;Kansi: Vesa Lempiäinen. Ursan Science Fiction -Klubin julkaisu.;;Vol.2 No.2
3;;7;1983;Koponen, Jari;http://www.tsfs.fi/public/aikakoneet/1983-3.jpg;52;B5;;Kansi: Jukka Murtosaari. Ursan Science Fiction -Klubin julkaisu.;;Vol.2 No.3
4;;8;1983;Koponen, Jari;http://www.tsfs.fi/public/aikakoneet/1983-4.jpg;44;B5;;Ursan Science Fiction -Klubin julkaisu.;;Vol.2 No.4
1;;9;1984;Koponen, Jari;http://www.tsfs.fi/public/aikakoneet/1984-1.jpg;60;B5;;Kansi: Timo Kokkila. Ursan Science Fiction -Klubin julkaisu.;;Vol.3 No.1
2;;10;1984;Koponen, Jari;http://www.tsfs.fi/public/aikakoneet/1984-2.jpg;52;B5;;Kansi: Jukka Murtosaari. Ursan Science Fiction -Klubin julkaisu.;;Vol.3 No.2
3;;11;1984;Ijäs, Jyrki;http://www.tsfs.fi/public/aikakoneet/1984-3.jpg;44;B5;;Kansi: Sakari Meinilä. Ursan Science Fiction -Klubin julkaisu.;;Vol.3 No.3
4;;12;1984;Ijäs, Jyrki;http://www.tsfs.fi/public/aikakoneet/1984-4.jpg;44;B5;;Kansi: Kimmo Isokoski. Ursan Science Fiction -julkaisu.;;Vol.3 No.4
1;;13;1985;Koponen, Jari;http://www.tsfs.fi/public/aikakoneet/1985-1.jpg;44;B5;;Kansi: Jukka Murtosaari. Ursan Science Fiction -julkaisu.;;Vol.4 No.1
2;;14;1985;Koponen, Jari;http://www.tsfs.fi/public/aikakoneet/1985-2.jpg;48;B5;;Kansi: Erkki Parhamaa. Ursan Science Fiction -julkaisu.;;Vol.4 No.2
3;;15;1985;Koponen, Jari;http://www.tsfs.fi/public/aikakoneet/1985-3.jpg;52;B5;;Kansi: Vesa Lempiäinen. Ursan Science Fiction -julkaisu.;;Vol.4 No.3
4;;16;1985;Koponen, Jari;http://www.tsfs.fi/public/aikakoneet/1985-4.jpg;48;B5;;Kansi: Jari Piikki. Ursan Science Fiction -julkaisu.;;Vol.4 No.4
1;;17;1986;Koponen, Jari;http://www.tsfs.fi/public/aikakoneet/1986-1.jpg;52;B5;;Kansi: Hannu Mänttäri. Ursan Science Fiction -julkaisu.;;
2;;18;1986;Rekunen, Veikko;http://www.tsfs.fi/public/aikakoneet/1986-2.jpg;40;B5;;Kansi: Jari Rasi. Ursan Science Fiction -julkaisu.;;
3;;19;1986;Rekunen, Veikko;http://www.tsfs.fi/public/aikakoneet/1986-3.jpg;56;B5;;Kansi: Jari Rasi. Ursan Science Fiction -julkaisu.;;
4;;20;1986;Hinkkanen, Juhani;http://www.tsfs.fi/public/aikakoneet/1986-4.jpg;48;B5;;Kansi: Kari Leppänen. Ursan Science Fiction -julkaisu.;;
1;;21;1987;Hinkkanen, Juhani;http://www.tsfs.fi/public/aikakoneet/1987-1.jpg;64;B5;;Kansi: Kari Leppänen. Ursan Science Fiction -julkaisu.;;
2;;22;1987;Hinkkanen, Juhani;http://www.tsfs.fi/public/aikakoneet/1987-2.jpg;48;B5;;Kansi: Kari Leppänen. Ursan Science Fiction -julkaisu.;;
3;;23;1987;Hinkkanen, Juhani;http://www.tsfs.fi/public/aikakoneet/1987-3.jpg;44;B5;;Kansi: P.A. Manninen. Ursan Science Fiction -julkaisu.;;
4;;24;1987;Hinkkanen, Juhani;http://www.tsfs.fi/public/aikakoneet/1987-4.jpg;48;B5;;Kansi: Lasse Mattila. Ursan Science Fiction -julkaisu.;;
1;;25;1988;Hinkkanen, Juhani;http://www.tsfs.fi/public/aikakoneet/1988-1.jpg;32;A4;;Kansi: Jukka Murtosaari. Ursan Science Fiction -julkaisu.;;
2;;26;1988;Hinkkanen, Juhani;http://www.tsfs.fi/public/aikakoneet/1988-2.jpg;32;A4;;Kansi: Sami Niemi. Ursan Science Fiction -julkaisu.;;
3;;27;1988;Peltonen, Leena;http://www.tsfs.fi/public/aikakoneet/1988-3.jpg;36;A4;;Kansi: Hannu Viitanen. Ursan Science Fiction -julkaisu.;;
4;;28;1988;Peltonen, Leena;http://www.tsfs.fi/public/aikakoneet/1988-4.jpg;44;A4;;Kansi: Hannu Viitanen. Ursan Science Fiction -julkaisu.;;
1;;29;1989;Peltonen, Leena;http://www.tsfs.fi/public/aikakoneet/1989-1.jpg;32;A4;;Kansi: Hannu Mänttäri. Ursan Science Fiction -julkaisu.;;
2;;30;1989;Peltonen, Leena;http://www.tsfs.fi/public/aikakoneet/1989-2.jpg;36;A4;;Kansi: P.A. Manninen. Ursan Science Fiction -julkaisu.;;
3;;31;1989;Peltonen, Leena;http://www.tsfs.fi/public/aikakoneet/1989-3.jpg;32;A4;;Kansi: Kimmo Isokoski. Ursan Science Fiction -julkaisu.;;
4;;32;1989;Peltonen, Leena;http://www.tsfs.fi/public/aikakoneet/1989-4.jpg;40;A4;;Kansi: Anssi Rauhala. Ursan Science Fiction -julkaisu.;;
1;;33;1990;Peltonen, Leena;http://www.tsfs.fi/public/aikakoneet/1990-1.jpg;60;A4;;Kansi: Hannu Mänttäri. Ensimmäinen Aikakone-yhdistyksen julkaisema Aikakone-lehti.;;
2;;34;1990;Peltonen, Leena;http://www.tsfs.fi/public/aikakoneet/1990-2.jpg;56;A4;;Kansi: P.A. Manninen.;;
3;;35;1990;Peltonen, Leena;http://www.tsfs.fi/public/aikakoneet/1990-3.jpg;48;A4;;Kansi: Kimmo Isokoski ja Johanna Vainikainen.;;
4;;36;1990;Peltonen, Leena;http://www.tsfs.fi/public/aikakoneet/1990-4.jpg;56;A4;;Kansi: Hannu Mänttäri.;;
1;;37;1991;Peltonen, Leena;http://www.tsfs.fi/public/aikakoneet/1991-1.jpg;64;A4;;Kansi: Hannu Mänttäri.;;
2;;38;1991;Peltonen, Leena;http://www.tsfs.fi/public/aikakoneet/1991-2.jpg;68;A4;;Kansi: Hannu Mänttäri.;;
3;;39;1991;Peltonen, Leena;http://www.tsfs.fi/public/aikakoneet/1991-3.jpg;88;A4;;Kansi: Kari T. Leppänen.;;
4;;40;1991;Peltonen, Leena;http://www.tsfs.fi/public/aikakoneet/1991-4.jpg;60;A4;;Kansi: Hannu Mänttäri.;;
1;;41;1992;Peltonen, Leena;http://www.tsfs.fi/public/aikakoneet/1992-1.jpg;60;A4;;Kansi: Hannu Mänttäri.;;
2;;42;1992;Peltonen, Leena;http://www.tsfs.fi/public/aikakoneet/1992-2.jpg;68;A4;;Kansi: Petri Hiltunen.;;
3;;43;1992;Peltonen, Leena;http://www.tsfs.fi/public/aikakoneet/1992-3.jpg;72;A4;;Kansi: Hannu Mänttäri.;;
4;;44;1992;Peltonen, Leena;http://www.tsfs.fi/public/aikakoneet/1992-4.jpg;48;A4;;Kansi: Hannu Mänttäri.;;
1;;45;1993;Peltonen, Leena;http://www.tsfs.fi/public/aikakoneet/1993-1.jpg;68;A4;;Kansi: Hannu Mänttäri.;;
2;;46;1993;Peltonen, Leena;http://www.tsfs.fi/public/aikakoneet/1993-2.jpg;64;A4;;Kansi: Antero Kymäläinen.;;
