Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Aikakone;2;;;1988;Aldani, Lino;Joen toisella puolen;L'Altra Riva;1971;Hinkkanen, Juhani;;;
Aikakone;3;Vol.4 No.3;;1985;Anderson, Poul;Barbaari;Barbaari;1956;Rekunen, Veikko;;;
Aikakone;2;;;1987;Asimov, Isaac;Viimeinen kysymys;The Last Question;1956;Rekunen, Veikko;;;
Aikakone;3;;;1989;Bayley, Barrington J.;Syvyyden sankarit;The Radius Riders;1962;Peltomäki, Jouko;;;
Aikakone;4;;;1989;Bear, Greg;Lapsi ja valkoinen hevonen;White Horse Child;1979;Ronni, Tapani;;;
Aikakone;4;;;1990;Bear, Greg;Tangentteja;Tangents;1986;Ronni, Tapani;;;
Aikakone;1;b;;1995;Bear, Greg;Veteraani;Hardfought;1982;Ronni, Tapani;;;
Aikakone;1;Vol.1 No.2;;1982;Bester, Alfred;Katoamistapaus;Disappearing Act;1954;Niskala, Atte J.;;;
Aikakone;3;;;1987;Blish, James;Yhteistä aikaa;Common Time;1953;Ripatti, Kaarina;;;
Aikakone;3;;;1991;Bradbury, Ray;Ukkosen jyrähdys;A Sound of Thunder;1952;Ronni, Tapani;;;
Aikakone;4;;;1988;Brunner, John;Mahdollisuudet tasan;Even Chance;1965;Ronni, Tapani;;;
Aikakone;2;;;1989;Brunner, John;Tähtiliskojen tarina;;;;;raapale;
Aikakone;3;Vol.2 No.3;;1983;Budrys, Algis;Moottorien kaukainen kumu;The Distant Sound of Engines;1959;Rekunen, Veikko;;;
Aikakone;3;;;1988;Carr, Terry & Carr, Carol;Toiset syntyvät kissoiksi;Some Are Born Cats;1973;Peltonen, Leena;;;
Aikakone;3;;;1990;Charnas, Suzy McKee;Tissit;Boobs;1989;Peltonen, Leena;;;
Aikakone;2;;;1989;Daubeny, Ulrich;Sumakkipuu;The Sumach;1919;Peltonen, Leena;;;
Aikakone;3;Vol.2 No.3;;1983;Doyle, Sir Arthur Conan;Korkeuksien kauhu;The Horror of Heights;1913;Rekunen, Veikko;;;
Aikakone;4;;;1986;Farmer, Philip José;Vuonna 1492!;Sail on! Sail On!;1952;Peltonen, Leena;;;
Aikakone;2;;;1986;Gaku, Konisi;Avaruusvaellus;La kosmo-elmigrado;1964;Virtanen, Pekka;;;
Aikakone;2;Vol.3 No.2;;1984;Haldeman, Joe;Sotamies Jakobin yksityinen sota;The Private War of Jacob;1974;Rekunen, Veikko;;;
Aikakone;3;;;1991;Harrison, M(ichael) John;Uuden järjestyksen tiellä;Settling the World;1972;Peltonen, Leena;;;
Aikakone;2;Vol.1 No.3;;1982;Heinlein, Robert A.;Maan vihreät kunnaat;The Green Hills of Earth;1947;Alkula, Tapani;;;
Aikakone;2;;;1988;Heinlein, Robert A.;Skylift;Sky Lift;1953;Rekunen, Veikko;;;
Aikakone;2;;;1991;Holdstock, Robert;Muodonmuuttaja;The Shapechanger;1989;Peltonen, Leena;;;
Aikakone;4;;;1991;Holdstock, Robert;Tuhkaa;Ashes;1974;Peltonen, Leena;;;
Aikakone;1;;;1990;Jackson, Clive;Varnisin miekkamiehet;The Swordsmen of Varnis;1950;Peltonen, Leena;;;
Aikakone;2;;;1993;Karr, Phyllis Ann;Kaksi korukirjailua;Two Pieces of Embroidery;1988;Peltonen, Leena;;;
Aikakone;1;Vol.2 No.1;;1983;Larionova, Olga;Musta vesi sahan lähellä;Tsornaja voda u lesopilni;;Saxberg, Pekka;;;
Aikakone;2;;;1993;Layamon;Joulu kuningas Arthurin hovissa;;;;;;
Aikakone;1;Vol.2 No.1;;1983;Le Guin, Ursula K.;Jotka Omelasista poistuvat;The Ones Who Walk Away from Omelas;1973;Rekunen, Veikko;;;
