Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Aikamme tieteislukemisto;5;;5;1958;Asimov, Isaac;Viimeksi syntynyt;Lastborn;1958;;;;
Aikamme tieteislukemisto;5;;5;1958;Biggle, Lloyd, jr;Kaksoisolennot;On the Double;1958;;;;
Aikamme tieteislukemisto;2;;2;1958;Biggle, Lloyd, jr;Täydellinen opettaja;Spare the Rod;1958;;;;
Aikamme tieteislukemisto;4;;4;1958;Biggle, Lloyd, jr;Uutta vanhasta;Secret Weapon;1958;;;;
Aikamme tieteislukemisto;1;;1;1958;Brown, Clyde;Ensimmäinen mies;First Man;1958;;;;
Aikamme tieteislukemisto;5;;5;1958;Clarke, Arthur C.;Auringonpistos;The Stroke of the Sun;1958;;;;
Aikamme tieteislukemisto;5;;5;1958;Davidson, Avram;Se alkoi hakaneuloista;Or All the Seas with Oysters;1958;;;;
Aikamme tieteislukemisto;1;;1;1958;deFord, Miriam Allen;Ankerias;The Eel;1958;;;;
Aikamme tieteislukemisto;2;;2;1958;Farrell, Joseph;Moraali ennen kaikkea;The Ethical Way;1958;;;;
Aikamme tieteislukemisto;5;;5;1958;Gold, Horace L.;Henkilökuntapulma;Personnel Problem;1958;;;;
Aikamme tieteislukemisto;4;;4;1958;Grimm, Christopher;Kaipaan kuolemaa;Never Come Midnight;1958;;;;
Aikamme tieteislukemisto;1;;1;1958;Herbert, Frank;Vanha talorähjä;Old Rambling House;1958;;;;
Aikamme tieteislukemisto;5;;5;1958;Knight, Damon;Taidekone;Thing of Beauty;1958;;;;
Aikamme tieteislukemisto;2;;2;1958;Leiber, Fritz;Mitä hän oikein tekee siellä?;What's He Doing in There?;1957;;;;
Aikamme tieteislukemisto;3;;3;1958;Leiber, Fritz;Viimeinen kirje;The Last Letter;1958;;;;
Aikamme tieteislukemisto;1;;1;1958;Neville, Kris;Samanlaisuuden pulmia;Moral Equivalent;1957;;;;
Aikamme tieteislukemisto;3;;3;1958;Pohl, Frederik;Marsin kuutamoa;Mars by Moonlight;1958;;;;
Aikamme tieteislukemisto;3;;3;1958;Pohl, Frederik;Sävyisää väkeä;The Gentlest Unpeople;1958;;;;
Aikamme tieteislukemisto;2;;2;1958;Samachson, Joseph;Demonien kapina;A Feast of Demons;1958;;;;
Aikamme tieteislukemisto;3;;3;1958;Sheckley, Robert;Paukahtelematon pyssy;The Gun Without a Bang;1958;;;;
Aikamme tieteislukemisto;3;;3;1958;Sheckley, Robert;Vähäinen mies;The Minimum Man;1958;;;;
Aikamme tieteislukemisto;4;;4;1958;Silverberg, Robert;Rautakansleri;The Iron Chancellor;1958;;;;
Aikamme tieteislukemisto;1;;1;1958;Simak, Clifford D.;Kaitsijat;The Sitters;1958;;;;
Aikamme tieteislukemisto;2;;2;1958;Smith, Evelyn;Teatterin tähtivierailija;My Fair Planet;1958;;;;
Aikamme tieteislukemisto;5;;5;1958;Smith, Richard R.;Rikos palkitaan;Pick a Crime;1958;;;;
Aikamme tieteislukemisto;1;;1;1958;Stecher, L.J.;Garth ja vieras;Garth and the Visitor;1958;;;;
Aikamme tieteislukemisto;2;;2;1958;Tubb, E(dwin) C(harles);Vartio;Vigil;1956;;;;
Aikamme tieteislukemisto;4;;4;1958;Wilson, Richard;Menneisyyden ääni;The Voice of the Diaphragh;1958;;;;
