Lehti;nro;Tekijä;Artikkeli;Aihe;Viitteet
Alienisti;12;Marko Ahonen;Elokuvaharrastajan tunnustukset;;Marko Ahonen
Alienisti;32;Lasse Ranta;Keski-Suomen spefi-kirjoittajat haastattelussa;;Marko Ahonen, Katri Alatalo, Aki Hammarén, Petteri Hannila, Irma Hirsjärvi, Pasi Ilmari Jääskeläinen, Seppo Kallio, Timo Männikkö, Lasse Ranta, Anne Tammelin
Alienisti;29;Marko Ahonen;Mies joka kasvatti minut;;Marko Ahonen
Alienisti;20;Jonathan Clements;Animekustantamon maitoinen kriisi;Anime, Manga;
Alienisti;18;Jonathan Clements;Liikkuva linna;Anime, Hayao Miyazaki;
Alienisti;31;Riia Annala;One Piece - Japanin suosituin sarjakuva;Anime, Manga;
Alienisti;15;John Clute;William Mayne bibliografia;;William Mayne
Alienisti;3;Juhani Hinkkanen;Ian Watson bibliografia;;Ian Watson
Alienisti;1;Pertti Kivelä;"David Brin - ""An Uplifting Author""";;David Brin
Alienisti;7;Suzy McKee Charnas;Winning by Loosing;;Suzy McKee Charnas
Alienisti;17;Kati Mäki-Kuutti;"""Strontium Dog - Ruthless"" Review";;Jonathan Clements
Alienisti;26;Irma Hirsjärvi, Jussi Vainikainen;Finncon 17.-18.7.2010, Jyväskylä;Finncon, Finncon 2010, Conit Suomessa, Jyväskylä;
Alienisti;13;Jouni Jukkala;Finncon 2001 kuvin;Finncon, Finncon 2001, Conit Suomessa, Jyväskylä;
Alienisti;16;Kati Mäki-Kuutti;Finncon 2004 - Ohi on;Finncon, Finncon 2004, Conit Suomessa, Jyväskylä;
Alienisti;20;Kati Clements, Jonna Piilonen, Irma Hirsjärvi, Virpi Flyktman, Tino Warinowski;Finncon 2007 - Behind the Scenes;Finncon, Finncon 2007, Conit Suomessa, Jyväskylä;
Alienisti;40;Henry Söderlund;Finncon 2019 - Henry Söderlundin Finncon-valokuvia;Finncon, Finncon 2019, Conit Suomessa, Jyväskylä;
Alienisti;40;Irma Hirsjärvi, Jussi Vainikainen;Finncon 2019 - Ipan ja Jussin Finncon-valokuvia;Finncon, Finncon 2019, Conit Suomessa, Jyväskylä;
Alienisti;40;Nico Holmberg;Finncon 2019 - Nico Holmbergin Finncon-valokuvia;Finncon, Finncon 2019, Conit Suomessa, Jyväskylä;
Alienisti;40;Virpi Flyktman;Finncon 2019 - Virpi Flyktmanin Finncon-valokuvia;Finncon, Finncon 2019, Conit Suomessa, Jyväskylä;
Alienisti;31;Anne Leinonen;Finncon ABC;Finncon, Conit Suomessa;
Alienisti;37;Mari Tuukkanen;Kerrassaan kauhistuttava sunnuntai KauhuConissa;KauhuCon, Conit Suomessa;
Alienisti;37;Jussi Vainikainen, Jari Kuskelin;Kuvakavalkadi Worldconista;Worldcon, Conit Suomessa;
Alienisti;28;Jussi Vainikainen;Lokacon - Jyväskylä 29.10.2011;Lokacon, Conit Suomessa, Jyväskylä;
Alienisti;29;Kari Perttula, Jussi Vainikainen;Lokacon 2012;Lokacon, Conit Suomessa, Jyväskylä;
Alienisti;31;Samu Kohtala;Lokacon 2013;Lokacon, Conit Suomessa, Jyväskylä;
Alienisti;33;Jari Kuskelin;Lokacon 2014 kuvia                                        ;Lokacon, Conit Suomessa, Jyväskylä;
Alienisti;38;Jari Kuskelin;Lokacon 2017 valokuvia;Lokacon, Conit Suomessa, Jyväskylä;
Alienisti;39;Kari Perttula;Lokacon 2018;Lokacon, Conit Suomessa, Jyväskylä;
Alienisti;10;Jussi Kantola;Mitä Jyväskylän Kesissä todella tapahtui?;Jyväskylä Kesä, Conit Suomessa, Jyväskylä;
Alienisti;18;Jukka Halme;Narinaenglantia ja post-holokaustista fantasia-spagettiwesterniä - Iloluontoinen katse monikielisiin kirjamessuihin 2005;Kirjamessut, Helsinki, Turku,Tapahtumat Suomessa;
Alienisti;19;Kati Mäki-Kuutti;Se yxi pacollinen cuvacimara Finnconista;Finncon, Finncon 2006, Conit Suomessa, Helsinki;
