Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Alienisti;;;24;2010;Pat Cadigan;Enkeli;Angel;1987;Eero Sarkkinen;;;
Alienisti;;;12;2001;Jonathan Carroll;Yksin hädässä;Alone Alarm;1996;Eero Sarkkinen;;;
Alienisti;;;6;1992;Jerome L. Cosyn;TuValKo;FRC;;Otto Mäkelä, Irma Hirsjärvi;;;
Alienisti;;;28;2012;Tom Crosshill;Ajattelevan naisen houkkasato;Thinking Woman's Crop of Fools;2010;Eero Sarkkinen;;;
Alienisti;;;11;2000;Robert Devereaux;Eedenin hedelmäpommi;Fructus in Eden;1990;Eero Sarkkinen;;;
Alienisti;;;10;1999;Neil Gaiman;Kutrit;Locks;1999;Johanna Vainikainen;;;
Alienisti;;;14;2003;Richard Gavin;Tekstit;Texts;2001;Jussi Vainikainen;;;
Alienisti;;;4;1992;Rupert Goodwins;Taivaan kylmät tuulet;The Cold Winds of Heaven;1991;Jussi Vainikainen;;;
Alienisti;;;5;1992;Robert Holdstock;Orapihlaja;Thorn;1989;Leena Peltonen;;;
Alienisti;;;15;2004;Gwyneth Jones;Punainen Sonja ja Lessingham Untenmaassa;Red Sonja and Lessingham in Dreamland;1996;Eero Sarkkinen;;;
Alienisti;;;9;1995;Kevin Jones;Ja lapsilleni, kaksi litraa ilmaa;And to My Children, Two Liters of Air;;Jussi Vainikainen;;;
Alienisti;;;24;2010;Ellen Kushner;Miekkamies jonka nimi ei ollutkaan Kuolema;The Swordsman Whose Name Was Not Death;1991;Johanna Vainikainen;;;
Alienisti;;;33;2014;Gillian Polack;Jonkun tytär;Someone's Daughter;2013;Eero Sarkkinen;;;
Alienisti;;;7;1993;Mike Resnick;Talvipäivänseisaus;Winter Solstice;1991;Irma Hirsjärvi, Otto Mäkelä, Sirkka Heiskanen-Mäkelä;;;
Alienisti;;;24;2010;Delia Sherman;Velhon oppipoika;Wizard's Apprentice;2009;Jussi Vainikainen;;;
Alienisti;;;14;2003;Fernando Sorrentino;Mies jolla on tapana lyödä minua sateenvarjolla päähän;Existe un hombre que tiene la costumbre de pegarme on un paraguas en la cabeza;2001;Minna Laasanen;;;
Alienisti;;;16;2004;Jason Stoddard;Minijeesuskloonit syrjäyttävät Elviksen tämän joulun suosikkilahjana!;Mini Jesus Clones Replacing Elvis as Most Popular Holiday Gift!;2003;Eero Sarkkinen;;;
Alienisti;;;12;2001;Jo Walton;Puutarhan perukoilla;At the Bottom of the Garden;2000;Jussi Vainikainen;;;
Alienisti;;;3;1991;Ian Watson;Ajatollahin silmä;The Eye of the Ayatollah;1989;Pertti Kivelä;;;
Alienisti;;;3;1991;Ian Watson;Jyrkänteen kansa;The People on the Precipice;1985;Marko Ahonen;;;
Alienisti;;;11;2000;XoYo;Kuollut;Dead;1998;Jussi Vainikainen;;;
Alienisti;;;7;1993;Marko Ahonen;Maailman kaunein mies;;;;;;
Alienisti;;;4;1992;Marko Ahonen;Viimeinen kesä;;;;;;
Alienisti;;;32;2014;Katri Alatalo;Jota Viimatar etsii;;;;;;
Alienisti;;;36;2016;Edith Arkko;Alkupalojen jälkeen;;;;;;
Alienisti;;;37;2017;Edith Arkko;Enkelierotiikkaa, osa 2;;;;;;
Alienisti;;;38;2018;Edith Arkko;Iltasatuja kohtuumitassa;;;;;;
Alienisti;;;39;2019;Edith Arkko;Kuinka deittailla vierasta lajia;;;;;;
Alienisti;;;36;2016;Edith Arkko;Melkein kaiken muuttavan yön jälkeen;;;;;;
Alienisti;;;36;2016;Edith Arkko;Paljastumisen jälkeen;;;;;;
Alienisti;;;36;2016;Edith Arkko;Taidemuseon jälkeen;;;;;;
Alienisti;;;16;2004;Lotta Dufva;Häkki;;;;;;
Alienisti;;;5;1992;Eija Elo;Lasipuut;;;;;;
Alienisti;;;25;2010;Johan Finckelman;Legend of Lords;;;;runo;;
Alienisti;;;25;2010;Johan Finckelman;When Sword Demands;;;;runo;;
Alienisti;;;9;1995;Janos M. Gecko;Juhannuskokko;;;;;;
Alienisti;;;8;1994;Janos M. Gecko;To John, With Love;;;;;;
Alienisti;;;38;2018;Gorgonius;Annikaisen ja Kestin joulu;;;;;;
Alienisti;;;25;2010;Hannele Hakala;Erämaavaellus;;;;runo;;
Alienisti;;;25;2010;Hannele Hakala;Hämmentynyt kuolema;;;;runo;;
Alienisti;;;25;2010;Hannele Hakala;Myrskyvaroitus;;;;runo;;
Alienisti;;;25;2010;Hannele Hakala;Voiko hukkua itsensä kaltaiseksi, omaan muotoon?;;;;runo;;
Alienisti;;;38;2018;Milka Hakkarainen;Laula meille vapaus;;;;;;
Alienisti;;;31;2013;Aki Hammarén;Mothran jalanjäljet;;;;;;
Alienisti;;;33;2014;Petteri Hannila;Enkeli;;;;;;
Alienisti;;;32;2014;Petteri Hannila;Hiili;;;;;;
Alienisti;;;32;2014;Petteri Hannila;Kainujen synty;;;;;;
Alienisti;;;36;2016;Petteri Hannila;Karhunkaatajat;;;;runo;;
Alienisti;;;36;2016;Katariina Heikkilä;Kaupunki, joka tuli hulluksi;;;;;;
Alienisti;;;6;1992;Irma Hirsjärvi;Aggressio;;;;;;
Alienisti;;;11;2000;Irma Hirsjärvi;Elossa;;;;;;
Alienisti;;;12;2001;Irma Hirsjärvi;Home - Sweet Home;;;;;;
Alienisti;;;4;1992;Irma Hirsjärvi;Huomenna stratosfääri tanssii;;;;;;
Alienisti;;;1;1990;Irma Hirsjärvi;Ikkuna;;;;;;
Alienisti;;;14;2003;Irma Hirsjärvi;Kuunauru;;;;;;
Alienisti;;;15;2004;Irma Hirsjärvi;Mr. Messenger;;;;;;
Alienisti;;;37;2017;Irma Hirsjärvi;Pisara;;;;;;
Alienisti;;;24;2010;Irma Hirsjärvi;Portti;;;;;;
Alienisti;;;16;2004;Irma Hirsjärvi;Talven säässä kun tuoksahtaa;;;;;;filk
Alienisti;;;35;2016;Irma Hirsjärvi;Teetä kahdelle;;;;;;
Alienisti;;;25;2010;Boris Hurtta;Elettävä on vissiin;;;;runo;;
Alienisti;;;25;2010;Boris Hurtta;Itkevät koneet;;;;runo;;
Alienisti;;;25;2010;Boris Hurtta;Matkalla;;;;runo;;
