Number;Number_extra;Count;Year;Editor;Image_src;Pages;Size;Link;Notes
1;;;1991;Supinen, Pekka;;14;A4;;FinnZinen ensimmäinen numero
1;;;1992;Supinen, Pekka;;14;A4;;
2;;;1992;Supinen, Pekka;;16;A4;;Kansi: Jukka Halme
3;;;1992;Supinen, Pekka;;26;A4;;Mukana nelisivuinen FZ-JOULU 1992 -liite, joka sisältää Jukka Halmeen pilapiirroksia.
4;;;1992;Supinen, Pekka;;22;A4;;Kansi: Jukka Halme
1;;;1993;Supinen, Pekka;;22;A4;;Kansi: Jukka Halme
2;;;1993;Supinen, Pekka;;36;A4;;Kansi: Jukka Halme
3;;;1993;Supinen, Pekka;;36;A4;;Kansi: Jukka Halme
4;;;1993;Supinen, Pekka;;36;A4;;Kansi: Jukka Halme
1;;;1994;Supinen, Pekka;;36;A4;;Kansi: Jukka Halme
2;;;1994;Supinen, Pekka;;36;A4;;Kansi: S.K. Niiranen
3;;;1994;Supinen, Pekka;;36;A4;;
4;;;1994;Supinen, Pekka;;36;A4;;Kansi: Jani Pieviläinen
1;;;1995;Supinen, Pekka;;36;A4;;Kansi: S.K. Niiranen
2;;;1995;Supinen, Pekka;;36;A4;;
3;;;1995;Supinen, Pekka;;36;A4;;
4;;;1995;Supinen, Pekka;;36;A4;;
1;;;1996;Supinen, Pekka;;36;A4;;
2;;;1996;Supinen, Pekka;;36;A4;;
3;;;1996;Supinen, Pekka;;36;A4;;
4;;;1996;Supinen, Pekka;;36;A4;;
1;;;1997;Supinen, Pekka;;36;A4;;
2;;;1997;Supinen, Pekka;;36;A4;;
3;;;1997;Supinen, Pekka;;36;A4;;
4;;;1997;Supinen, Pekka;;36;A4;;
1;;;1998;Supinen, Pekka;;36;A4;;
2;;;1998;Supinen, Pekka;;32;A4;;
3;;;1998;Supinen, Pekka;;32;A4;;
4;;;1998;Supinen, Pekka;;36;A4;;
1;;;1999;Supinen, Pekka;;36;A4;;
2;;;1999;Supinen, Pekka;;36;A4;;
3;;;1999;Supinen, Pekka;;36;A4;;
4;;;1999;Supinen, Pekka;;36;A4;;
1;;;2000;Supinen, Pekka;;36;A4;;
2;;;2000;Supinen, Pekka;;36;A4;;
3;;;2000;Supinen, Pekka;;36;A4;;
4;;;2000;Supinen, Pekka;;36;A4;;
1;;;2001;Supinen, Pekka;;36;A4;;
2;;;2001;Supinen, Pekka;;36;A4;;
3;;;2001;Supinen, Pekka;;36;A4;;
4;;;2001;Supinen, Pekka;;36;A4;;
1;;;2002;Supinen, Pekka;;36;A4;;
2;;;2002;Supinen, Pekka;;36;A4;;
3;;;2002;Supinen, Pekka;;36;A4;;
4;;;2002;Supinen, Pekka;;36;A4;;
1;;;2003;Supinen, Pekka;;36;A4;;
2;;;2003;Supinen, Pekka;;36;A4;;
3;;;2003;Supinen, Pekka;;36;A4;;
4;;;2003;Supinen, Pekka;;36;A4;;
1;;;2004;Supinen, Pekka;;36;A4;;
2;;;2004;Supinen, Pekka;;36;A4;;
3;;;2004;Supinen, Pekka;;36;A4;;
4;;;2004;Supinen, Pekka;;36;A4;;
1;;;2005;Supinen, Pekka;;36;A4;;
2;;;2005;Supinen, Pekka;;;A4;;
3;;;2005;Supinen, Pekka;;;A4;;
4;;;2005;Supinen, Pekka;;;A4;;
1;;;2006;Supinen, Pekka;;;A4;;
2;;;2006;Supinen, Pekka;;;A4;;
3;;;2006;Supinen, Pekka;;;A4;;
4;;;2006;Supinen, Pekka;;;A4;;
1;;;2007;Supinen, Pekka;;;A4;;
2;;;2007;Supinen, Pekka;;;A4;;
3;;;2007;Supinen, Pekka;;;A4;;
4;;;2007;Supinen, Pekka;;;A4;;
1;;;2008;Supinen, Pekka;;;A4;;
2;;;2008;Supinen, Pekka;;;A4;;
3;;;2008;Supinen, Pekka;;;A4;;
4;;;2008;Supinen, Pekka;;;A4;;
