Lehti;Nro;Nro_extra;Vuosi;Tekijä;Artikkeli;Aihe;Viitteet
Ikaros;2;;1986;Jyrki Ijäs;Brian W. Aldiss - Finnconin kunniavieras;;Brian W. Aldiss
Ikaros;1;;1988;Jyrki Ijäs;J.G. Ballard;;J.G. Ballard
Ikaros;1;;1988;Jyrki Ijäs;J.G. Ballard bibliografia;;J.G. Ballard
Ikaros;3;;1987;Jyrki Ijäs;Arthur C. Clarke bibliografia;;Arthur C. Clarke
Ikaros;2;;1986;Juhani Hinkkanen;Frank Herbert bibliografia;;Frank Herbert
Ikaros;1;;1986;Juhani Hinkkanen;Theodore Sturgeon bibliografia;;Theodore Sturgeon
Ikaros;3;;1987;Jyrki Ijäs;Arthur C. Clarke;;Arthur C. Clarke
Ikaros;2;;1988;Jyrki Ijäs;Eurocon XIII eli sinne ja takaisin;Eurocon, Fandom, Conit ulkomailla, Unkari;
Ikaros;2;;1987;Jyrki Ijäs;Harlan Ellison;;Harlan Ellison
Ikaros;3;;1986;Jyrki Ijäs;Georges Melies - tieteiselokuvan keksijä;Elokuvat, Georges Méliès;
Ikaros;1;;1986;Jyrki Ijäs;Hugo Gernsback - sf-lehtien isä;Lehdet, Sf-lehdet, Hugo Gernsback;
Ikaros;2;;1986;Juhani Hinkkanen;Frank Herbert 1920-1986;;Frank Herbert
Ikaros;1;;1986;Juhani Hinkkanen;Theodore Sturgeon 1918-1985;;Theodore Sturgeon
Ikaros;1;;1987;Jyrki Ijäs;Chelsea Quinn Yarbro;;Chelsea Quinn Yarbro
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
Ikaros;;;;;;;
