Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Ikaros;3;;;1987;Forrest J. Ackerman;Atomigeddon 2419 A.D.;;1973;Jyrki Ijäs;;;
Ikaros;3;;;1987;Forrest J. Ackerman;Kosminen koulutodistus;Cosmic Report Card: Earth;1973;Jyrki Ijäs;;;
Ikaros;3;;;1987;Duane Ackerson;Lappu maailmankaikkeuden lopussa;Sign at the End of the Universe;1974;Jyrki Ijäs;;;
Ikaros;2;;;1987;Brian Aldiss;Oman aikansa mies;The Man in His Time;1966;Veikko Rekunen;;;
Ikaros;2;;;1986;Brian Aldiss;Pelkkä elämän hahmo;Appearence of Life;1976;Veikko Rekunen;;;
Ikaros;2;;;1986;Brian Aldiss;Pikku soturiparka!;Poor Little Warrior;1958;Pekka Markkula;;;
Ikaros;2;;;1986;Brian Aldiss;Töissä avaruustelakalla;Working in the Spaceship Yards;1968;Veikko Rekunen;;;
Ikaros;4;;;1987;J.G. Ballard;Aikapuutarha;The Garden of Time;1962;Seppo Sipilä;;;
Ikaros;1;;;1988;J.G. Ballard;Ajan pyörteitä;Time of Passage;1967;Seppo Sipilä;;;
Ikaros;1;;;1988;J.G. Ballard;Hukkunut jättiläinen;The Drowned Giant;1964;Seppo Sipilä;;;
Ikaros;1;;;1988;J.G. Ballard;Viimeinen ranta;The Terminal Beach;1964;Seppo Sipilä;;;
Ikaros;4;;;1986;Reginald Bretnor;Tri Lintuhiiri;Dr. Birdmouse;1962;Pekka Markkula;;;
Ikaros;3;;;1987;Arthur C. Clarke;Tähti;The Star;1955;Seppo Sipilä;;;
Ikaros;3;;;1986;Manuel Cobo;Onnellinen maissi;Fausto vegetal;;Pekka Virtanen;;;
Ikaros;3;;;1987;Roger Deeley;Lyhin koskaan kerrottu science fiction tarina;The Shortest Science-Fiction Story Ever Told;1972;Jyrki Ijäs;;;
Ikaros;3;;;1986;Liven Dek;Minne menet, vanhus;Kien vi iras, maljunulo;;Pekka Virtanen;;;
Ikaros;1;;;1987;Liven Dek;Rust;Rust;1983;Pekka Virtanen;;;
Ikaros;2;;;1988;Harlan Ellison;Kirppukasa;Eggsucker;1977;Seppo Sipilä;;;
Ikaros;2;;;1987;Harlan Ellison;Poika ja hänen koiransa;A Boy and His Dog;1969;Seppo Sipilä;;;
Ikaros;1;;;1986;Konisi Gaku;Maanalainen paratiisi;La Subtera Elizeo;1964;Pekka Virtanen;;;
Ikaros;3;;;1986;Harry Harrison;Ashkelonin kadut;Streets of Ashkelon;1962;Veikko Rekunen;;;
Ikaros;2;;;1986;Frank Herbert;Siemenvarasto;Seed Stock;1970;Veikko Rekunen;;;
Ikaros;2;;;1986;Sam J. Lundwall;Varokaa vierasta planeettaa;Varning för okänd planet;;Göran Ingström;;;
Ikaros;1;;;1987;Istvan Nemere;Paljastuminen;Malkaso;1983;Pekka Virtanen;;;
Ikaros;2;;;1986;Istvan Nemere;Shakkimatti;Mato;1984;Pekka Virtanen;;;
Ikaros;1;;;1986;Edgar Allan Poe;Eiroksen ja Charmionin keskustelu;The Conversation of Eiros and Charmion;1839;Jyrki Ijäs;;;
Ikaros;1;;;1987;Frederik Pohl;Suurkuluttaja;The Man Who Ate the World;1956;Seppo Sipilä;;;
Ikaros;3;;;1986;Frederik Pohl;Vaeltelevien herttuoiden päivä;The Day of the Boomer Dukes;1956;Pertti Turunen;;;
Ikaros;3;;;1987;Jeff Renner;Lyhin koskaan kirjoitettu science fiction rakkaustarina;The Shortest Science Fiction Love Story Every Written;1964;Jyrki Ijäs;;;
Ikaros;1;;;1986;Theodore Sturgeon;Muistomerkki;Memorial;1946;Veikko Rekunen;;;
Ikaros;3;;;1987;Ed Wellen;Jos Eeva olisi jäänyt tulematta raskaaksi;If Eve Had Failed to Conceive;1974;Jyrki Ijäs;;;
Ikaros;3;;;1987;Ed Wellen;Miksi Booth ei ampunut Lincolnia?;Why Booth Didn't Kill Lincoln;1974;Jyrki Ijäs;;;
Ikaros;4;;;1987;Donald E. Westlake;Voittaja;The Winner;1970;Jorma-Veikko Sappinen;;;
Ikaros;1;;;1987;Chelsea Quin Yarbro;Valheellinen sarastus;False Dawn;1972;Pertti Turunen;;;
Ikaros;4;;;1986;Laurence Yep;Lasimeren näkymiä;Looking-Glass Sea;1972;Pertti Turunen;;;
Ikaros;2;;;1986;Eija Elo;Iskelmähetki Barstowin planeetalla;;;;;;
Ikaros;2;;;1988;Eija Elo;Muukalaiset, jotka eivät osanneet englantia;;;;;;
Ikaros;1;;;1986;Eija Elo;Zanzibarin kissat;;;;;;
Ikaros;1;;;1987;Nils Johansson;Tutkijan kohtalo;;;;;;
Ikaros;1;;;1986;Risto Karlsson;Sotavaltias;;;;;;
Ikaros;2;;;1988;Arto Laatikainen;Kun ilta hämärtyy;;;;;;
Ikaros;4;;;1987;Arto Laatikainen;Mistä on pienet vihreät miehet tehty?;;;;;;
Ikaros;3;;;1986;Arto Laatikainen;Yksin;;;;;;
Ikaros;4;;;1986;Kari Leppänen;Decima Tauri III;;;;;;
Ikaros;1;;;1987;Kari Leppänen;Genesis Extraterrestris;;;;;;
Ikaros;3;;;1986;Pekka Markkula;Ihan oikea tähtien sota;;;;;;
Ikaros;1;;;1986;Veikko Rekunen;Kuinka avaruusalus varastetaan;;;;;;
