Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Isaac Asimovin Science Fiction -valikoima;;;1;1981;Asimov, Isaac;Ei mitään ilman vastalahjaa;Nothing for Nothing;1979;;;;
Isaac Asimovin Science Fiction -valikoima;;;6;1982;Asimov, Isaac;Ettemme muistaisi;Lest We Remember;1982;;;;
Isaac Asimovin Science Fiction -valikoima;;;2;1981;Asimov, Isaac;Siivet;For the Birds;1980;;;;
Isaac Asimovin Science Fiction -valikoima;;;9;1983;Benford, Gregory;Lazarus;Lazarus Rising;1982;;;;
Isaac Asimovin Science Fiction -valikoima;;;3;1981;Boyd, J.P.;Kuunkaari;Moonbow;1979;;;;
Isaac Asimovin Science Fiction -valikoima;;;3;1981;Brantingham, Juleen;Sisareni silmät;My Sister's Eyes;1980;;;;
Isaac Asimovin Science Fiction -valikoima;;;7;1982;Bretnor, Reginald;Ylipäällikön selitys;;;;;;
Isaac Asimovin Science Fiction -valikoima;;;5;1982;Broxon, Mildred Downey;Muisto merestä;Sea Changeling;1981;;;;
Isaac Asimovin Science Fiction -valikoima;;;3;1981;Busby, F.M.;Tasapainotus;Balancing Act;1981;;;;
Isaac Asimovin Science Fiction -valikoima;;;9;1983;Busby, F.M.;Väärä numero;Wrong Number;1981;;;;
Isaac Asimovin Science Fiction -valikoima;;;3;1981;Davis, Keith;Ulkona;Outside;1979;;;;
Isaac Asimovin Science Fiction -valikoima;;;3;1981;Dunteman, Jeff;Macsin rukous;Silicon Psalm;1981;;;;
Isaac Asimovin Science Fiction -valikoima;;;7;1982;Gunn, James;Pohjatuuli;The North Wind;1981;;;;
Isaac Asimovin Science Fiction -valikoima;;;3;1981;Haldeman, Jack C, II;Kahdeksan pallon blues;Eight Blue Balls;1980;;;;
Isaac Asimovin Science Fiction -valikoima;;;3;1981;Heinlein, Robert A.;Elämänlanka;Lifeline;1939;;;;
Isaac Asimovin Science Fiction -valikoima;;;2;1981;Hollis, H.H.;Ikävystynyt topologisti;Sword Game;1968;;;;
Isaac Asimovin Science Fiction -valikoima;;;9;1983;Iverson, Eric & O'Byrne, Elaine;Kuolema Vesunnassa;Death in Vesunna;1981;;;;
Isaac Asimovin Science Fiction -valikoima;;;4;1981;Kennedy, Leigh;Puhu hänelle;"Speaking to Others; Speaking to Others";1981;;;;
Isaac Asimovin Science Fiction -valikoima;;;7;1982;Killough, Lee;Jarabon;The Jarabon;1981;;;;
Isaac Asimovin Science Fiction -valikoima;;;9;1983;Kirstein, R.R.;Käyttäydy luonnollisesti;Act Naturally;1982;;;;
Isaac Asimovin Science Fiction -valikoima;;;5;1982;Kube-McDowell, Michael P.;Slac!;Slac!;1981;;;;
Isaac Asimovin Science Fiction -valikoima;;;2;1981;Longyear, Barry B.;Onnelliset;;;;;;
Isaac Asimovin Science Fiction -valikoima;;;2;1981;Longyear, Barry B.;Paluu kotiin;Homecoming;1979;;;;
Isaac Asimovin Science Fiction -valikoima;;;4;1981;Longyear, Barry B.;Tajunnan vankila;The House of If;1981;;;;
Isaac Asimovin Science Fiction -valikoima;;;1;1981;Longyear, Barry B.;Unia;Dreams;1979;;;;
Isaac Asimovin Science Fiction -valikoima;;;6;1982;Mitchell, Joanne;Pois kaikesta;Away from It All;1981;;;;
Isaac Asimovin Science Fiction -valikoima;;;3;1981;Niven, Larry;Kellarissa;In the Cellar;1979;;;;
Isaac Asimovin Science Fiction -valikoima;;;8;1982;Pohl, Frederik;Kylmää sotaa;The Cool War;1979;;;;
Isaac Asimovin Science Fiction -valikoima;;;1;1981;Pohl, Frederik;Sapattivuosi;Mars Masked;1979;;;;
Isaac Asimovin Science Fiction -valikoima;;;5;1982;Richards, Tony;Tulathin leijonat;The Lions of Tulath;1981;;;;
Isaac Asimovin Science Fiction -valikoima;;;7;1982;Richards, Tony;Vesi nousee;The Tide Will Come;1982;;;;
Isaac Asimovin Science Fiction -valikoima;;;9;1983;Rosenberg, Joel;Kuin lempeä sade;Like the Gentle Rains;1982;;;;
Isaac Asimovin Science Fiction -valikoima;;;4;1981;Salomon, Warren M.;Aika ja rangaistus ;Time & Punishment;1981;;;;
Isaac Asimovin Science Fiction -valikoima;;;5;1982;Shaw, Bob;Muutos;Conversion;1981;;;;
Isaac Asimovin Science Fiction -valikoima;;;3;1981;Silverberg, Robert;Kantapaikka;The Regulars;1981;;;;
Isaac Asimovin Science Fiction -valikoima;;;6;1982;Silverberg, Robert;Palamisen aika;The Time of the Burning;1981;;;;
Isaac Asimovin Science Fiction -valikoima;;;9;1983;Sullivan, Timothy R.;Narri;The Comedian;1982;;;;
Isaac Asimovin Science Fiction -valikoima;;;1;1981;van Scyoc, Sydney;Vuorella on siivet;Mountain Wings;1979;;;;
Isaac Asimovin Science Fiction -valikoima;;;8;1982;Webb, Sharon;Luciferiteetit;;;;;;
Isaac Asimovin Science Fiction -valikoima;;;7;1982;Webb, Sharon;Nouse maan lapsi;Earthchild Rising;1981;;;;
Isaac Asimovin Science Fiction -valikoima;;;6;1982;Wolfe, Gene;Kirsikka on punainen marja;Cherry Jubilee;1982;;;;
Isaac Asimovin Science Fiction -valikoima;;;9;1983;Zahn, Timothy;Luoja vai olento;;;;;;
Isaac Asimovin Science Fiction -valikoima;;;6;1982;Zelazny, Roger;Yksisarvisen ehdotus;Unicorn Variation;1981;;;;
