Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Kosmoskynä;2;;;1996;Ahonen, Marko;Erään ongelmaisen tunnustukset;;Ahonen, Marko
Kosmoskynä;2;;;1999;Jääskeläinen, Pasi;Erään scifi-kirjoittajan matka pimeyden sydämeen;;Ahonen, Marko
Kosmoskynä;4;;;1996;Ahonen, Marko;Mieluummin kirjoittaja kuin kirjailija;;Ahonen, Marko
Kosmoskynä;3;;;2005;Peltoniemi, Sari;Ilkka Auer ja pohjoinen ulottuvuus;;Auer, Ilkka
Kosmoskynä;2;;;2001;Peltoniemi, Sari;Jerry Cottonin korkeakoulusta: Tapani Bagge;;Bagge, Tapani
Kosmoskynä;4;;;2012;Lehtinen, Vesa;Tarinoiden ammattilainen Lois McMaster Bujold;;Bujold, Lois McMaster
Kosmoskynä;2;;;2009;Karppanen, Pasi;Avaruusoopperaa ja scifimusiikkia;;Candia, Maria
Kosmoskynä;3;;;1994;Ronni, Tapani;Jack Cohen puhuu;;Cohen, Jack
Kosmoskynä;3;;;1989;James, Wilf;An Englishman's View of Finncon 89;Conit Suomessa, Finncon;
Kosmoskynä;3;;;2015;Henriksson, Saara;Archipelacon - Kokemuksia kapean meren toisella puolen;Conit Suomessa, Archipelacon;
Kosmoskynä;4;;;2012;Matilainen, Hanna;Ennen kuin maailmanloppu tulee...;Conit Suomessa;
Kosmoskynä;4;;;2000;Suntila, Petra;Finncon 2000 - kuvia ja tunnelmia 18.-20.8.2000;Conit Suomessa, Finncon;
Kosmoskynä;3;;;2006;Karppanen, Pasi;Finncon 2006 - Merkintöjä ja muistikuvia;Conit Suomessa, Finncon;
Kosmoskynä;2;;;2007;Henriksson, Saara & Karppanen, Pasi;Finncon 2007 - Huonon onnen con?;Conit Suomessa, Finncon;
Kosmoskynä;3;3-4/2010;;2010;Anonyymi;Finncon 2010 Jyväskylässä;Conit Suomessa, Finncon;
Kosmoskynä;3;;;2014;Myllämäki, Mia;Finncon 2014 - Ensikertalaisen huomioita;Conit Suomessa, Finncon;
Kosmoskynä;2;;;1990;Anonyymi;From Kuutsalo to Cairo (and Back);Matkat Suomessa;
Kosmoskynä;2;;;2013;Nurro, Liisa;Hyviä uutisia!;;
Kosmoskynä;2;;;1991;Jerrman, Toni;Jyväskylä - pohjoinen kulttuurikaupunki;Conit Suomessa;
Kosmoskynä;2;;;1988;Anonyymi;Kesäpäivä Tuusulassa;Tapahtumat Suomessa;
Kosmoskynä;4;;;2014;Timonen, Juri;Lokacon 2014;Conit Suomessa, Lokacon;
Kosmoskynä;4;;;1988;Anonyymi;Mahdollisuuksien planeetalla;;
Kosmoskynä;3;;;1989;Meriranta, Anetta;Mitä Finnconista jäi mieleen;Conit Suomessa, Finncon;
Kosmoskynä;1;;;2003;Suntila, Shimo;Pangalaktiset kurlaussitsit tieteiskirjoittajien malliin;Tapahtumat Suomessa;
Kosmoskynä;3;;;1987;Supinen, Pekka;Scifistit ja futurologit yhdessä;Tapahtumat Suomessa;
Kosmoskynä;4;;;1987;Salminen, Juha;Sf-seurojen kokous Helsingissä;Tapahtumat Suomessa;
Kosmoskynä;3;;;1986;Salminen, Juha;Sf-yhdistysten kokous Turussa;Tapahtumat Suomessa;
Kosmoskynä;3;3-4/2008;;2008;Karppanen, Pasi;Sorsapuiston perilliset - Finncon-Animecon tamperelaise..;Conit Suomessa, Finncon;
Kosmoskynä;2;;;1986;Sirkiä, Pekka & Salminen, Juha;STk:n kirjoituskurssi Tuusulassa;Tapahtumat Suomessa, Kirjoittaminen;
Kosmoskynä;2;;;2017;Saarinen, Toni;Suuri Worldcon-reportaasi;Conit Suomessa, Worldcon;
Kosmoskynä;2;;;1989;Anonyymi;Tuusulassa paahduttiin ja opittiin novellia;Tapahtumat Suomessa, Kirjoittaminen;
Kosmoskynä;2;;;1989;James, Wilfred;Tässä vähän kokeneen conikävijän suomenmatkaan kohdistuvia koettelemuksia;Conit Suomessa, Finncon;
Kosmoskynä;2;;;2007;Lehtonen, Sanna;Ulkopuolisen kohtaaminen - scifi- ja fantasiatutkijatap..;Tapahtumat Suomessa;
Kosmoskynä;2;;;1996;Ronni, Tapani;Uutta satoa Mämmilästä - Oriveden kesäkurssi;Tapahtumat Suomessa, Kirjoittaminen;
Kosmoskynä;3;;;1987;Supinen, Pekka;Conspiracy;Conit ulkomailla, Worldcon;
Kosmoskynä;2;;;1987;Salminen, Juha;Contact 87 - Hullu scifimatka Ruotsiin;Matkat ulkomailla;
Kosmoskynä;3;;;2007;Karppanen, Pasi;Eurocon 2007- eli Tanskaan ja takaisin;Conit ulkomailla, Eurocon;
Kosmoskynä;2;;;1989;Supinen, Pekka;Eurocon kolmen linnan kupeessa;Conit ulkomailla, Eurocon;
Kosmoskynä;2;;;1991;Jaeger, Eeva;Kohtaamispaikka Fantasy Inn;Matkat ulkomailla;
Kosmoskynä;3;;;1990;Meriranta, Anetta & Tenhunen, Eeva-Liisa & Ronni, Tapani & Kasvi, Jyrki J.J.;Kootut Haagit;Conit ulkomailla, Worldcon;
Kosmoskynä;1;;;1988;Kus-Kus;Kus-kus kanssa tahtoo kertoa!;Conit ulkomailla;
Kosmoskynä;3;3-4/2008;;2008;Leikomaa, Marianna;Suomen noffarit Norjassa - NOFF-matkaraportti 2008;Conit ulkomailla;
Kosmoskynä;2;;;1988;Salminen, Juha;Surkea con, mutta hauska matka;Conit ulkomailla;
Kosmoskynä;4;;;1990;Jaeger, Eeva;Yet another list;Science fiction, Cyberpunk;
Kosmoskynä;1;;;2003;Karonen, Jarmo;Romantiikan todellisuus: haastattelussa Kirsti Ellilä;;Ellilä, Kirsti
Kosmoskynä;2;;;1993;Jaeger, Eeva;"Elämyksiä eräästä unenomaisesta elokuvasta - ""sitä vartenhan musiikki on keksitty ettei huuto kuulu""";Elokuvat, Kuningas lähtee Ranskaan;
Kosmoskynä;2;;;2015;Saharinen, Jokke;Varjoja menneisyydestä: Hellboy Animated;Elokuvat, Kuningas lähtee Ranskaan;
Kosmoskynä;3;;;2001;Leinonen, Anne;Uudet portinvartijat;;Eskola, Kanerva & Mäyrä, Frans
Kosmoskynä;1;;;2012;Hakala, Hannele;Maagista realismia chilisuklaakastikkeessa;;Esquivel, Laura
Kosmoskynä;3;;;2005;London, Emma;Fan fiction - tarina niin kuin minä sen haluan;Kirjoittaminen;
Kosmoskynä;2;;;2003;Karppanen, Pasi & Suntila, Shimo;A Short Look at Finnish Fandom;Fandom, sf-seurat;
Kosmoskynä;2;;;2003;Karppanen, Pasi;Baltic Fandom;Fandom;
Kosmoskynä;2;;;1990;Hinkkanen, Juhani;Beyond the Feast of Friends;Fandom;
Kosmoskynä;2;;;2015;Anonyymi;H.P. Lovecraft - Historiallinen seura ry.;Fandom, sf-seurat;
Kosmoskynä;3;;;1992;Kianta, Virpi;Keittiönoven kautta kehiin;Fandom;
Kosmoskynä;3;;;1992;Anonyymi;Menneen kesän kuvasatoa;Fandom;
Kosmoskynä;4;;;1989;Elo, Eija & Gustafsson, Jaana & Jaeger, Eeva & Meriranta, Anetta & Pasanen, Sirpa & Peltonen, Leena & Sinisalo, Johanna & Sinkkonen, Marja & Säilä, Terhi & Wuorinen, Kaisa;Munaiset jumalolennot sammakkoperspektiivistä;Fandom, Feminismi, Wanhain herrain tieteiskirjallisuuden nautiskelu huone;
Kosmoskynä;2;;;1990;Anonyymi;New Variants for Keen Fan-watchers;Fandom;
Kosmoskynä;2;;;1991;Veintie, Ari;Rahat pois ja numeroksi toimintakertomukseen;Fandom, sf-seurat;
Kosmoskynä;2;;;2006;Karppanen, Pasi;The Finnish Fandom - All You Need to Know About It ;Fandom, sf-seurat;
Kosmoskynä;1;;;1988;Sirkiä, Pekka;"""Tämä tarina on tosi...""";Fandom;
Kosmoskynä;3;;;1988;Sirkiä, Pekka;"""Tää korutont on kertomaa...""";Fandom;
Kosmoskynä;4;;;2011;Nummelin, Juri;Highlights from the History of Finnish Fantasy;Fantasia;
Kosmoskynä;1;;;2016;Lönnberg, Olli;Mahdoton realismi ja todellinen spekulatiivisuus;Fantasia;
Kosmoskynä;3;;;2006;Ykspetäjä, Tero;Reaalifantasiaa;Fantasia;
Kosmoskynä;4;;;2011;Jääskeläinen, Pasi Ilmari;Realfantastic is dead - long live literature;Fantasia;
Kosmoskynä;1;;;2016;Leppälahti, Merja;Satumaisia lemmensuhteita;Fantasia;
Kosmoskynä;3;;;2011;Sipiläinen, Tarja;Carita Forsgren - tarinankertoja kuvilla ja sanoilla;;Forsgren, Carita
Kosmoskynä;2;;;2018;Luotola, Laura;Alussa oli piste - ja sitten tuli ukko, joka siirteli sitä miten tahtoi;Sarjakuvat, Matti Hagelberg;
Kosmoskynä;1;;;2013;Anonyymi;Kosmoskynän kymmenen kysymystä;;Harju, Markus
Kosmoskynä;1;;;2009;Nevala, Heikki;Kauhu ja mielen pimeät puolet - haastattelussa Marko Hautala;;Hautala, Marko
Kosmoskynä;1;;;1993;Hiltunen, Petri;Minun näkökulmani suomalaiseen tieteisnovelliin;;Hiltunen, Petri
Kosmoskynä;4;;;2000;Sirkiä, Pekka;Juhani Hinkkaselle Kosmoskynä;;Hinkkanen, Juhani
Kosmoskynä;2;;;1986;Supinen, Pekka;Juhani siirtyi Aikakoneeseen;;Hinkkanen, Juhani
Kosmoskynä;4;;;1992;Hinkkanen, Juhani;Toimittajan tunnustuksia;;Hinkkanen, Juhani
Kosmoskynä;3;;;1992;Holdstock, Robert;Keskeneräisen uran kertomuksia;;Holdstock, Robert
Kosmoskynä;4;;;2011;Leppälahti, Merja;Introduction - Anu Holopainen;;Holopainen, Anu
Kosmoskynä;1;;;2009;Anonyymi;Kosmoskynän kymmenen kysymystä;;Hurtta, Boris
Kosmoskynä;2;;;2002;Peltoniemi, Sari;Ylihurttaneuvoksen puhuttelussa ;;Hurtta, Boris
Kosmoskynä;2;;;2001;Karonen, Jarmo;Mahlaa suonissaan - haastattelussa Viivi Hyvönen;;Hyvönen, Viivi
Kosmoskynä;2;;;2017;Saarinen, Toni;Vuoden 2017 Atorox-voittaja Maiju Ihalainen;;Ihalainen, Maiju
Kosmoskynä;1;;;2011;Hirsjärvi, Irma;Jyrki Ijäksen pitkä avaruusmatka;;Ijäs, Jyrki
Kosmoskynä;4;;;1988;Salminen, Juha;"""Vihdoinkin jotain tunnustusta""";;Ijäs, Jyrki
Kosmoskynä;2;;;2013;Matilainen, Hanna;Kirjablogi - kirjava harrastus;Internet;
Kosmoskynä;2;;;2007;Karppanen, Pasi;Kirjoittajan ikävä toisen luo - katsaus kotimaisiin kirjoittajafoorumeihin;Internet;
Kosmoskynä;1;;;1990;Väisänen, Hannu;Kyberlista 1.4;Internet;
Kosmoskynä;3;;;2007;Weston, Khiira;Neiti Weston ja Writer's Block - Virtuaalihenkilön päiväunia;Internet;
Kosmoskynä;1;;;1991;Väisänen, Hannu;Tervemenoa kyberavaruuteen;Internet;
Kosmoskynä;1;;;2006;Henriksson, Saara;Eroon scifin hyperinflaatiosta;;Isomäki, Risto
Kosmoskynä;3;;;1991;Sirkiä, Pekka;Kristalliruusu eli miten ilmestytään tyhjästä ja korjataan koko potti;;Isomäki, Risto
Kosmoskynä;1;;;2013;Leinonen, Anne;Veden ikiaikainen muisti;;Itäranta, Emmi
Kosmoskynä;1;;;1993;Jerrman, Toni;Kosmoskynä-palkinto 1992 kiitospuhe;;Jerrman, Toni
Kosmoskynä;3;;;2003;Karonen, Jarmo;Synestesia ja sielulinnut - haastattelussa Nova 2003-voittaja Katariina Juntunen;;Juntunen, Katariina
Kosmoskynä;2;;;2015;Anonyymi;Kosmoskynän 10 kysymystä;;Jyrkäs, Juha
Kosmoskynä;1;;;2011;Anonyymi;Kosmoskynän 10 kysymystä;;Jänkälä, Tomi
Kosmoskynä;4;;;2011;Peltonen, Niko;Introduction - Pasi Ilmari Jääskeläinen;;Jääskeläinen, Pasi Ilmari
Kosmoskynä;2;;;2008;Karppanen, Pasi;Tarinat tarinoiden takana;;Jääskeläinen, Pasi Ilmari
Kosmoskynä;3;;;2001;Leinonen, Anne;Tarinoita mielikuvituksen alttarille;;Jääskeläinen, Pasi Ilmari
Kosmoskynä;3;;;2001;Pohjola, Mike;Tähtivaeltajapalkinto Jääskeläiselle;Palkinnot;Jääskeläinen, Pasi Ilmari
