Number;Number_extra;Count;Year;Editor;Image_src;Pages;Size;Link;Notes
1;;;1984;Rekunen, Veikko;;8;A4;;Suomen Science Fiction Kirjoittajat - Jäsentiedote 1/84
2;;;1984;Rekunen, Veikko;;8;A4;;Suomen Science Fiction Kirjoittajat - Jäsentiedote 2/84
1;;;1985;Hinkkanen, Juhani;;12;A4;;Kansi: Jouni Wääräkangas. Jäsentiedote 3 (1/85)
2;;;1985;Hinkkanen, Juhani;;14;A4;;Kansi: P.A. Manninen. Jäsentiedote 4 (2/85)
3;;;1985;Hinkkanen, Juhani;;20;A4;;Kansi: P.A. Manninen. Kosmoskynä 5. Ensimmäinen virallinen Kosmoskynä
1;;;1986;Hinkkanen, Juhani;;18;A4;;Kansi: P.A. Manninen. Kosmoskynä 6.
2;;;1986;Salminen, Juha;;20;A4;;Kansi: Jouni Wääräkangas. Kosmoskynä 7.
3;;;1986;Salminen, Juha;;24;A4;;Kansi: Jouni Wääräkangas. Kosmoskynä 8.
1;;;1987;Salminen, Juha;;22;A4;;Kansi: Sami Toivonen. Kosmoskynä 9.
2;;;1987;Salminen, Juha;;28;A4;;Kansi: Hannu Mänttäri. Kosmoskynä 10.
3;;;1987;Salminen, Juha;;34;A4;;Kansi: Sami Toivonen. Kosmoskynä 11.
4;;;1987;Salminen, Juha;;34;A4;;Kansi: Lasse Mattila. Kosmoskynä 12.
1;;;1988;Salminen, Juha;;30;A4;;Kansi: Sami Toivonen
2;;;1988;Salminen, Juha;;28;A4;;Kansi: Lasse Mattila
3;;;1988;Salminen, Juha;;30;A4;;Kansi: P.A. Manninen
4;;;1988;Salminen, Juha;;32;A4;;Kansi: Kari Öhman
1;;;1989;Kasvi, Jyrki J.J.;;32;A4;;Kansi: Kari Öhman
2;;;1989;Kasvi, Jyrki J.J.;;36;A4;;
3;;;1989;Kasvi, Jyrki J.J.;;32;A4;;
4;;;1989;Kasvi, Jyrki J.J.;;32;A4;;
1;;;1990;Kasvi, Jyrki J.J.;;36;A4;;Kansi: Kari Öhman
2;;;1990;Kasvi, Jyrki J.J.;;32;A4;;Kansi: Lasse Mattila. Englanninkielinen Worldcon 1991 -erikoisnumero.
3;;;1990;Kasvi, Jyrki J.J.;;32;A4;;
4;;;1990;Kasvi, Jyrki J.J.;;30;A4;;
1;;;1991;Kasvi, Jyrki J.J.;;44;A4;;
2;;;1991;Kasvi, Jyrki J.J.;;34;A4;;
3;;;1991;Kasvi, Jyrki J.J.;;32;A4;;
4;;;1991;Kasvi, Jyrki J.J.;;22;A4;;
1;;;1992;Sinisalo, Johanna;;26;A4;;Kansi: Hannu Mänttäri
2;;;1992;Veintie, Ari;;24;A4;;
3;;;1992;Peltonen, Leena;;36;A4;;
4;;;1992;Hinkkanen, Juhani;;32;A4;;Kansi: Hannu Mänttäri
1;;;1993;Halme, Jukka;;24;A4;;
2;;;1993;Jaeger, Eeva;;24;A4;;
3;;;1993;Laajarinne, Jukka;;24;A4;;
4;;;1993;Jaeger, Eeva;;20;A4;;
1;;;1994;Kivelä, Marko;;20;A4;;
2;;;1994;Kivelä, Marko;;20;A4;;
3;3-4/1994;;1994;Kivelä, Marko;;28;A4;;
1;;;1995;Kivelä, Marko;;36;A4;;Yhteisnumero Alienisti-lehden kanssa
2;;;1995;Kivelä, Marko;;20;A4;;
3;;;1995;Kivelä, Marko;;28;A4;;Yhteisnumero Marvin-lehden kanssa
4;;;1995;Kivelä, Marko;;76;A5;;Yhteisnumero Legolas-lehden kanssa
1;;;1996;Hujanen, Mervi;;28;A4;;
2;;;1996;Hujanen, Mervi;;36;A4;;
3;;;1996;Hujanen, Mervi;;28;A4;;
4;;;1996;Hujanen, Mervi;;20;A4;;
1;;;1997;Jääskeläinen, Anna;;16;A4;;
2;;;1997;Sirkiä, Pekka;;12;A4;;
3;;;1997;Sirkiä, Pekka;;12;A4;;
4;;;1997;Sirkiä, Pekka;;12;A4;;
1;;;1998;Sirkiä, Pekka;;12;A4;;
2;;;1998;Sirkiä, Pekka;;16;A4;;
3;;;1998;Sirkiä, Pekka;;8;A4;;
4;;;1998;Sirkiä, Pekka;;8;A4;;
1;;;1999;Sirkiä, Pekka;;44;A4;;
2;;;1999;Sirkiä, Pekka;;44;A4;;
1;;;2000;Sirkiä, Pekka;;32;A4;;
2;;;2000;Leinonen, Anne;;32;A4;;
3;;;2000;Leinonen, Anne;;32;A4;;
4;;;2000;Leinonen, Anne;;36;A4;;
1;;;2001;Leinonen, Anne;;36;A4;;Kansi: Seppo Koskinen
2;;;2001;Leinonen, Anne;;36;A4;;Kansi: Jarno Kantelinen
3;;;2001;Leinonen, Anne;;36;A4;;Kansi: Jarno Kantelinen
4;;;2001;Leinonen, Anne;;36;A4;;Kansi: Robert Mason
1;;;2002;Leinonen, Anne;;32;A4;;Kansi: Eija Laitinen
2;;;2002;Leinonen, Anne;;32;A4;;Kansi: Ilkka Lesonen
3;;;2002;Leinonen, Anne;;28;A4;;Kansi: Annakaisa Kultima
4;;;2002;Leinonen, Anne;;28;A4;;Kansi: Ilkka Lesonen
1;;;2003;Suntila, Shimo;;36;A4;;Kansi: Anna Nummi
2;;;2003;Suntila, Shimo;;32;A4;;Kansi: Pekka Manninen.  Englanninkielinen Eurocon 2003 -erikoisnumero
3;;;2003;Suntila, Shimo;;36;A4;;Kansi: Katariina Korppi
4;;;2003;Leinonen, Anne;;32;A4;;Kansi: Lasse G
1;;;2004;Karppanen, Pasi;;32;A4;;Kansi: Tero Niemi
2;;;2004;Karppanen, Pasi;;36;A4;;Kansi: Johanna Tamminen & Ulla Nissinen. STk:n 20-vuotisjuhlanumero
3;;;2004;Karppanen, Pasi;;28;A4;;Kansi: Kimmo Isokoski
4;;;2004;Karppanen, Pasi;;32;A4;;Kansi: Aatu Poutanen
1;;;2005;Karppanen, Pasi;;32;A4;;Kansi: Tero Niemi
2;;;2005;Karppanen, Pasi;;32;A4;;Kansi: Markus Lehtonen
3;;;2005;Karppanen, Pasi;;40;A4;;Kansi: Sini Pakarinen
4;;;2005;Karppanen, Pasi;;40;A4;;Kansi: Jarno Kantelinen
1;;;2006;Karppanen, Pasi;;40;A4;;Kansi: Kimmo Isokoski
2;;;2006;Karppanen, Pasi;;36;A4;;Kansi: Jonna Lylykangas ja Johanna Tamminen
3;;;2006;Karppanen, Pasi;;36;A4;;Kansi: Kati Viitanen
4;;;2006;Karppanen, Pasi;;40;A4;;Kansi: Jani Hämäläinen
1;;;2007;Karppanen, Pasi;;36;A4;;Kansi: Markku Silvennoinen
2;;;2007;Karppanen, Pasi;;40;A4;;Kansi: Antti Sulkakoski
3;;;2007;Karppanen, Pasi;;40;A4;;Kansi: Karin Stenvall
4;;;2007;Karppanen, Pasi;;36;A4;;Kansi: Rasha Al-Najjar
1;;;2008;Karppanen, Pasi;;36;A4;;Kansi: Kimmo Isokoski
2;;;2008;Karppanen, Pasi;;44;A4;;Kansi: Heli Härkönen
3;3-4/2008;;2008;Karppanen, Pasi;;56;A4;;Kansi: George Schmauch
4;3-4b/2008;;2008;Karppanen, Pasi;;36;A6;;"Kansi: Pasi Karppanen. Kosmoskynän englanninkielinen erikoisnumero ""Quotes about writing""."
1;;;2009;Karppanen, Pasi;;44;A4;;Kansi: Lorenz Hideyoshi Ruwwe
2;;;2009;Karppanen, Pasi;;48;A4;;Kansi: Ghida Souki
3;3-4/2009;;2009;Karppanen, Pasi;;56;A4;;Kansi: Kimmo Isokoski
1;;;2010;Ranta-aho, Tapio;;40;A4;;Kansi: NASA
2;;;2010;Henriksson, Saara & Leinonen, Anne;;64;B5;;Kansi: Teemu Helenius. Spefikirjoittajan ABC -erikoisnumero
3;3-4/2010;;2010;Henriksson, Saara & Thorel, Christine;;56;B5;;Kansi: Teemu Helenius
1;;;2011;Thorel, Christine;;60;B5;;Kansi: Darko Komorski
2;;;2011;Thorel, Christine;;44;B5;;
3;;;2011;Leinonen, Anne;;80;B5;;Kansi: Teemu Helenius
4;;;2011;Leinonen, Anne & Hirsjärvi, Irma;;60;B5;;Englanninkielinen numero
1;;;2012;Henriksson, Saara;;48;B5;;Kansi: Tuomo Veijanen
2;;;2012;Lintunen, Kalle;;48;B5;;Kansi: Heidi Urnberg
3;;;2012;Leinonen, Anne;;56;B5;;Kansi: Kari Sihvonen
4;;;2012;Henriksson, Saara;;48;B5;;Kansi: Heidi Urnberg
1;;;2013;Hakkarainen, Sami;;52;B5;;Kansi: V. Panula
2;;;2013;Timonen, Juri;;48;B5;;Kansi: Teemu Helenius
3;;;2013;Timonen, Juri;;48;B5;;Kansi: Teemu Helenius
4;;;2013;Timonen, Juri;;40;B5;;Kansi: Juha Veltti
1;;;2014;Timonen, Juri;;40;B5;;Kansi: Julia Savtcenko
2;;;2014;Timonen, Juri;;44;B5;;Kansi: Mikko Myyry
3;;;2014;Timonen, Juri;;68;B5;;Kansi: Mikko Myyry
4;;;2014;Timonen, Juri;;64;B5;;Kansi: Julia Savtcenko
1;;;2015;Timonen, Juri;;52;B5;;Kansi: Sisko Korhonen
2;;;2015;Timonen, Juri;;60;B5;;Kansi: Maija Pietikäinen. Yhteisnumero Kuiskaus pimeässä 2/2015 -lehden kanssa.
3;;;2015;Timonen, Juri;;52;B5;;Kansi: Mikko Myyry
4;;;2015;Leinonen, Anne;;52;B5;;Kansi: Julia Savtchenko
1;;;2016;;;;B5;;
2;;;2016;;;;B5;;
1;;;2017;;;;B5;;
2;;;2017;;;;B5;;
1;;;2018;;;;B5;;
2;;;2018;;;;B5;;
1;;;2019;;;;B5;;
2;;;2019;;;;B5;;
