Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Kosmoskynä;3;3-4/2008;;2008;Ahlstedt, Laika;Lapsenryöstö;;;;;;
Kosmoskynä;2;;;2013;Antila, Samuli;Karkurin tapaus;;;;;;
Kosmoskynä;4;;;2014;Hakala, Hannele;Ensisuudelma;;;;;;
Kosmoskynä;2;;;2018;Hakkarainen, Milka;Malja Pliniukselle;;;;;;
Kosmoskynä;1;;;2013;Harju, Markus;Hopeamorsian;;;;;;
Kosmoskynä;4;;;2015;Hautala, Taru;Jo joutui armas eilinen;;;;;;
Kosmoskynä;3;;;2014;Heikkilä, Mervi;Soutaja;;;;;;
Kosmoskynä;1;;;2006;Heikkinen, Maarit;Kauneus on riittävä syy;;;;;;
Kosmoskynä;3;3-4/2010;;2010;Hellsten, Saija;Parempaa puutarhanhoitoa;;;;;;
Kosmoskynä;1;;;2007;Henriksson, Saara;Paperilohikäärme;;;;;;
Kosmoskynä;3;;;2015;Herneaho, Katja;Kasvukipu;;;;;;
Kosmoskynä;4;;;2011;Hietala, Heikki;Stuorra-Jouni;;;;;;
Kosmoskynä;2;;;2018;Hietamäki, Tapio;Peuran sarvien parallaksi;;;;;;
Kosmoskynä;2;;;1992;Honkonen, Markku;Kartta;;;;;;
Kosmoskynä;2;;;2015;Hynynen, Susanna;Synninsyöjä;;;;;;
Kosmoskynä;2;;;2017;Hyyryläinen, Pirja;Paikkalippu;;;;;;
Kosmoskynä;2;;;2018;Hyyryläinen, Pirja;Rasvakoura;;;;;;
Kosmoskynä;4;;;2014;Högnäs, Amanda;Odotus;;;;;;
Kosmoskynä;1;;;2001;Ilmari;Talousmamselli luovuttaa perunanuijan;;;;;;
Kosmoskynä;3;;;2015;Isomäki, Mikko;Tuomiopäivä;;;;;;
Kosmoskynä;2;;;1988;Jaeger, Eeva;Näinkö on aikaa;;;;;;
Kosmoskynä;4;;;2014;Jyrkäs, Juha;Shamaanitar;;;;;;
Kosmoskynä;2;;;1999;Jääskeläinen, Pasi;Taivaalta pudonnut eläintarha;;;;;;
Kosmoskynä;3;3-4/2009;;2009;Jääskeläinen, Susanna;Unihyönteisiä, lumekuvia;;;;;;
