Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Kultakuoriainen;;;3;2011;Katajala, Jussi;Kymmenen kuvaa kuolemaan;;;;;;
Kultakuoriainen;;;3;2011;Hannila, Petteri;Kasvit;;;;;;
Kultakuoriainen;;;3;2011;Sipiläinen, Tarja;Liian syvä viilto;;;;;;
Kultakuoriainen;;;3;2011;Antila, Samuli;Rallikuski;;;;;;
Kultakuoriainen;;;3;2011;Pouru, Lasse;Kotiinpaluu;;;;;;
Kultakuoriainen;;;3;2011;Salmi, Juha & Hannila, Petteri;Kerrostalo vailla ovia;;;;;;
Kultakuoriainen;;;3;2011;Lin, Lucilla;Kukitettu nuorukainen;;;;;;
Kultakuoriainen;;;3;2011;Sohlman, Johannes;Länsimetro viivästyy;;;;;;
Kultakuoriainen;;;4;2012;Suntila, Shimo;Amirin torni;;;;;;
Kultakuoriainen;;;4;2012;Rasimus;Pahan sielu;;;;;;
Kultakuoriainen;;;4;2012;Thorel, Christine;Vuorilta ei palata;;;;;;
Kultakuoriainen;;;4;2012;Lin, Lucilla;Sotarosvo;;;;;;
Kultakuoriainen;;;4;2012;Harju, Markus;Jääkäärmeen laulu;;;;;;
Kultakuoriainen;;;4;2012;Katajala, Jussi;Kuninkaiden veri;;;;;;
Kultakuoriainen;;;4;2012;Seppälä, Jaakko;Brutal Deluxe;;;;;;
Kultakuoriainen;;b;4;2012;Kangas, Jani;Maanalaisten vesien vanki;;;;;;
Kultakuoriainen;;b;4;2012;Leinonen, Anne;Elä vie neittä pahoille;;;;;;
Kultakuoriainen;;b;4;2012;Laine, Petri;Täydellinen;;;;;;
Kultakuoriainen;;b;4;2012;Mal, Patricia;Kapteeni Bossan salaisuus;;;;;;
Kultakuoriainen;;b;4;2012;Havukainen, Juhani;Kuvia Tritonin taivaasta;;;;;;
Kultakuoriainen;;b;4;2012;Riikonen, Marika;Jossain kolkassa sopuisa koti;;;;;;
Kultakuoriainen;;b;4;2012;Martelius, Hanne;Suden hetki;;;;;raapale;
Kultakuoriainen;;b;4;2012;Karppanen, Pasi;Mies Andromedasta;;;;;raapale;
Kultakuoriainen;;b;4;2012;Suntila, Shimo;Raapale;;;;;raapale;
Kultakuoriainen;;;5;2012;Väisänen, Hannu;Anna;;;;;;
Kultakuoriainen;;;5;2012;Lauronen, Mixu;Löylyn lyömä;;;;;;
Kultakuoriainen;;;5;2012;Suoranta, Esko;Erotiikkaravintolalähtöisen tutkinnan alkeet;;;;;;
Kultakuoriainen;;;5;2012;Suntila, Shimo;Hiukkasetsivä;;;;;raapale;
Kultakuoriainen;;;5;2012;Ensio, Jaakko;Mikko Jarmo ja salaperäisen Varjon tapaus;;;;;;
Kultakuoriainen;;;5;2012;Sinisammal, Kirsi;Nereus;;;;;;
Kultakuoriainen;;;5;2012;Pitkä, Jyrki;Parasiittäjän arvoitus;;;;;;
Kultakuoriainen;;;5;2012;Lund, Stig-Peter;Sodoman lesket;;;;;;
Kultakuoriainen;;;5;2012;Koski, T.A.;Kuolema matkaa Marsiin;;;;;;
Kultakuoriainen;;;5;2012;Kaajärvi, Karoliina;Dartmoorin kauhu;;;;;;
Kultakuoriainen;;;6;2013;Leijon, Maarit;Ihon alla;;;;;;
Kultakuoriainen;;;6;2013;Paananen, Leila;Ausa ja erakko;;;;;;
Kultakuoriainen;;;6;2013;Laine, Petri;Valgaard Valkoisen saaga;;;;;;
Kultakuoriainen;;;6;2013;Kangasniemi, Markku;Viimeinen halliväijy;;;;;;
Kultakuoriainen;;;6;2013;Suntila, Shimo;Prestonin keikka;;;;;;
Kultakuoriainen;;;6;2013;Leinonen, Anne;Ykkösen ja nollan välissä;;;;;;
Kultakuoriainen;;;6;2013;Hammarén, Aki;Äänet hulluuden linnakkeessa;;;;;;
Kultakuoriainen;;;6;2013;Hammarén, Aki;Viiden tähden velho;;;;;;
Kultakuoriainen;;;6;2013;Viljakainen, Santeri;Kolme käskyä;;;;;;
Kultakuoriainen;;;6;2013;Forsbacka, Meiju;C-rappu;;;;;;
Kultakuoriainen;;;7;2013;Suntila, Shimo;Tähtivaeltajat;;;;;;
Kultakuoriainen;;;7;2013;Sinisammal, Kirsi;Fulgur;;;;;;
Kultakuoriainen;;;7;2013;Salmi, Juha;Taksikuski;;;;;;
Kultakuoriainen;;;7;2013;Korpinen, Anu;Keskitalven kuningas;;;;;;
Kultakuoriainen;;;7;2013;Katajala, Jussi;Vihreä keiju;;;;;;
Kultakuoriainen;;;7;2013;Carole, Minttu;Tuuli kantaa tuutulaulua;;;;;;
Kultakuoriainen;;;7;2013;Korpinen, Eero;Uhri pimeydelle;;;;;;
Kultakuoriainen;;;7;2013;Kangas, Jani;Kr-elin velhot;;;;;;
Kultakuoriainen;;;7;2013;Lehtinen, Vesa;Reunalla;;;;;;
