Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Legolas;;;43;2008;Lauronen, Mika-Petri;Hayao Miyazaki - animaation Charles Chaplin;Anime, manga;
Legolas;;;39;2006;Neuvonen, Sini & Vinni, Päivi;Fantasiakirjailija - ja ylpeä siitä!;;Auer, Ilkka
Legolas;;;14;1997;Polvinen, Sari;Taru Babylonin herrasta?;Babylon 5;
Legolas;;;12;1995;Mustonen, Tero;The Tribes of the Moon - Clive Barkerin Nightbreed;;Barker, Clive
Legolas;;;21;2000;Rimón, Ilana;Liirum Laarum Loru;;Beard, Henry N. & Kenney, Douglas C.
Legolas;;;22;2001;Heinonen, Maarit & Rimón, Ilana;Orson Scott Card: Fiktion monitaituri;;Card, Orson Scott
Legolas;;;37;2005;Neuvonen, Sini & Rimón, Ilana;Jonathan Carroll - maailmojen välissä;;Carroll, Jonathan
Legolas;;;3;1992;Hamari, Marjo;Elrondin neuvonpito hobittityyliin;Tapahtumat Suomessa;
Legolas;;;8;1993;Kaarla, Sami;Fantasiapidot;Tapahtumat Suomessa;
Legolas;;;31;2004;Neuvonen, Sini & Halme, Jukka;Finncon 2004: kunniavieraat;Conit Suomessa, Finncon;Hobb, Robin & Jones, Gwyneth & Jerrman, Toni
Legolas;;;43;2008;Anonyymi;Finncon 2007 - Avaruusturistin päiväkirja;Conit Suomessa, Finncon;
Legolas;;;44;2008;Vinni, Pauli;Finncon 2008;Conit Suomessa, Finncon;
Legolas;;;4;1992;Järvinen, Hanna;Kauan kaivattu juttu eli terveiset The Tolkien Phenomenonista;Tapahtumat Suomessa;Tolkien, J.R.R.
Legolas;;;16;1998;Anonyymi;Kesän tapahtumia;Tapahtumat Suomessa;
Legolas;;;11;1994;Ojanen, Emma;Pahaa-aavistamattomat haltianeidot LARP-conissa;Tapahtumat Suomessa;
Legolas;;;4;1992;Polvinen, Sari;Tolkienia Jyväskylän kesässä;Tapahtumat Suomessa;Tolkien, J.R.R.
Legolas;;;46;2009;Anonyymi;Tracon 2009 kuvina;Conit Suomessa;
Legolas;;;37;2005;Gröndahl, Juho & Kontro, Inkeri;Matka fandomin keskipisteeseen;Conit ulkomailla, Worldcon;
Legolas;;;11;1994;Edin, Elisabeth;Pohjolan Tolkien-festivaali 1994;Tapahtumat ulkomailla;Tolkien, J.R.R.
Legolas;;;52;;Jääskeläinen & Saarimaa;Return of the Ring 2012 Loughborough'n yliopistolla 16;Tapahtumat ulkomailla;Tolkien, J.R.R.
Legolas;;;32;2004;Kyttälä, Anu-Riikka;Scandinavian Scifi, Game & Film Convention - Malmö, Sweden, 24.-25.04.2004;Conit ulkomailla;
Legolas;;;37;2005;Paavola, Manu;Tolkien 2005 - The Ring Goes Ever On, Birmingham 11.-15.8.2005;Tapahtumat ulkomailla;Tolkien, J.R.R.
Legolas;;;38;2006;Paavola, Manu;Tolkien 2005 - The Ring Goes Ever On, Birmingham 11.-15.8.2005, osa 2;Tapahtumat ulkomailla;Tolkien, J.R.R.
Legolas;;;4;1992;Ahlström, Mikael;Vuosisadan odotettu juhla - The Tolkien Centenary Conference;Tapahtumat ulkomailla;Tolkien, J.R.R.
Legolas;;;36;2005;Kivelä, Marko;Glen Cookin Garrett-sarja;;Cook, Glen
Legolas;;;38;2006;Leppä, Elli;Charles DeLint: urbaanin fantasian oppi-isä;;de Lint, Charles
Legolas;;;17;1998;Polvinen, Sari;Olenko minä lukenut tämän ennenkin, herra Eddings?;;Eddings, David
Legolas;;;32;2004;Kontro, Inkeri;Harry Potter ja mahdoton tehtävä;Elokuvat, Harry Potter;
Legolas;;;52;;Syrjälä, Jasmin;Hobitti - Odottamaton matka;Elokuvat;
Legolas;;;22;2001;Naarajärvi, Teemu;Mitä kuuluu Taru Sormusten Herrasta -elokuvalle?;Elokuvat;
Legolas;;;29;2003;Neuvonen, Markus;Fanien kuusi lajia;Fandom;
Legolas;;;28;2003;Leikomaan, Marianna;Finnish Tolkien Society Then and Now;Fandom, sf-seurat, Suomen Tolkien-seura;
Legolas;;;20;2000;Vainikainen, Johanna & Ahlström, Mikael & Peltonen, Leena & Warinowski, Tino & Vinni, Päivi & Vinni, Pauli;Historian lehtien havinaa eli Taru Suomen Tolkien-seurasta;Fandom, sf-seurat, Suomen Tolkien-seura;
Legolas;;;46;2009;Anonyymi;Kontu;Fandom, sf-seurat, Suomen Tolkien-seura;
Legolas;;;23;2001;Rimón, Ilana;Kuinka kaikki sai alkunsa?;Fandom, sf-seurat, Suomen Tolkien-seura;
Legolas;;;30;2004;Kontro, Inkeri;Potter-fani etsii kaltaistaan;Fandom;
Legolas;;;46;2009;Anonyymi;Risingshadow.net: 100 faktaa;Fandom;
Legolas;;;28;2003;Leikomaan, Karoliina;What on Earth is a Smial?;Fandom, sf-seurat, Suomen Tolkien-seura;
Legolas;;;28;2003;Halme, Jukka;Alternate history and fantasy;Fantasia;
Legolas;;;39;2006;Naarajärvi, Teemu;Antikvaariset kirjakaupat ja fantasia;Fantasia;
Legolas;;;3;1992;Laaksonen, Mika;Ars fabula eli mitä on fantasia;Fantasia;
Legolas;;;26;2003;Kivelä, Marko;Arveluttavaa moraalia fantasiakirjallisuudessa;Fantasia;
Legolas;;;2;1992;Hiltunen, Petri;Barbaareista ja puolituisista;Fantasia;
Legolas;;;12;1995;Halme, Jukka;Elämää onykophagomanian kynsissä;Fantasia;
Legolas;;;16;1998;Halme, Jukka & Kivelä, Marko & Paarma, Susanna & Peltonen, Leena & Polvinen, Sari;Fantasian perimmäisten kysymysten äärellä;Fantasia;
Legolas;;;23;2001;Leikomaa, Marianna & Nuuttila, Ari;Fantasiaa lapsille - osa 2;Fantasia;
Legolas;;;38;2006;Vinni, Päivi;Fantasiakirjojen kartat;Fantasia;
Legolas;;;12;1995;Hiltunen, Petri;Fantasian pahimmat kliseet Top 10;Fantasia;
Legolas;;;32;2004;Kivelä, Marko;Fantasian älykkyydestä tai sen puutteesta;Fantasia;
Legolas;;;27;2003;Neuvonen, Markus;Fantastinen moraali vai moraalinen fantasia?;Fantasia;
Legolas;;;28;2003;Halme, Jukka;Fantasy Masterworks;Fantasia;
Legolas;;;21;2000;Vinni, Päivi;Hauskimmat fantasiakirjat;Fantasia;
Legolas;;;10;1994;Halme, Jukka;Humoristinen fantasia - mitä se on, miten se vaikuttaa ja miten siltä voi välttyä?;Fantasia;
Legolas;;;11;1994;Halme, Jukka;Humoristinen fantasia - osa kaksi;Fantasia;
Legolas;;;32;2004;Leppä, Elli;Keijukaiset - Suvi Niinisalon esitelmä;Fantasia;
Legolas;;;12;1995;Tenhunen, Eeva-Liisa;Kosminen ympyrä eli yleismaailmallisten myyttien tarkastelua;Fantasia;
Legolas;;;31;2004;Gröndahl, Juho;Kun tosi ja taru sekoittuvat - maagisen realismin klassikoita;Fantasia;
Legolas;;;21;2000;Leikomaa, Marianna;Lasten fantasiakirjallisuutta menneiltä vuosilta;Fantasia;
Legolas;;;10;1994;Ronni, Tapani;Lucifer fantasiakirjallisuudessa;Fantasia;
Legolas;;;37;2005;Gröndahl, Juho;Luenko vain, vai tulkitsenko? - Metaforan ja fantasian suhteesta;Fantasia;
Legolas;;;39;2006;Kivelä, Marko;Merkittävimmät suomenkieliset fantasiakirjat;Fantasia;
Legolas;;;14;1997;Laajarinne, Jukka;Miksi fantasiaa ei arvosteta?;Fantasia;
Legolas;;;2;1992;Lauronen, Mika-Petri;Mitä on fantasia?;Fantasia;
Legolas;;;21;2000;Halme, Jukka;Moderni HumFan ja viimeisimpiä lukemuksia;Fantasia;
Legolas;;;14;1997;Rainio, Tarja;Olipa kerran...;Fantasia,  Sadut;
Legolas;;;17;1998;Kivelä, Marko;Pohdintaa fantasian olemuksesta osa 1;Fantasia;
Legolas;;;51;;Hellsten, Saija;Prinsessoja ja velhottaria - naisen roolit fantasiakirj…;Fantasia;
Legolas;;;5;1992;Lauronen, Mika-Petri;Sankareita, onko heitä?;Fantasia;
Legolas;;;28;2003;Hiltunen, Petri;The Worst Clichés in Fantasy Top 10;Fantasia;
Legolas;;;22;2001;Vinni, Päivi & Leikomaa, Marianna;Unohdetut fantasiakirjat?;Fantasia;
Legolas;;;15;1997;Kivelä, Marko;Uudet fantasiat - mammuttisarjoja ja dekkareita;Fantasia;
Legolas;;;36;2005;Neuvonen, Markus;Uuskummia tuulia;Fantasia;
Legolas;;;26;2003;Neuvonen, Sini;Lupaava uusi nimi: Lynn Flewelling;;Flewelling, Lynn
Legolas;;;27;2003;Leikomaa, Marianna;Neil Gaiman - tarinoiden kertoja;;Gaiman, Neil
Legolas;;;11;1994;Halme, Jukka & Hirsjärvi, Irma & Laajarinne, Jukka & Vainikainen, Johanna;Klonkun mielimenyy;Ruoka;
Legolas;;;14;1997;Halme, Jukka & Polvinen, Sari;Ankaraa fantasiaa;;Gemmell, David
Legolas;;;36;2005;Rimón, Ilana;Petri Hiltunen piirtää ja kertoo;;Hiltunen, Petri
Legolas;;;27;2003;Neuvonen, Sini;Burrich - henkilökuva Robin Hobbin luomasta hahmosta Näkijän taru -trilogiassa;;Hobb, Robin
