Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Portti;4;;;1994;Salin, Petri;Liftarin jäljillä;;Adams, Douglas
Portti;1;;;1989;Revonsuo, Antti;Ajassa matkustamisen filosofiaa;Aikamatkat;
Portti;3;;;1983;Rosvall, Matti;Ajastaika ei ole paras opas aikamatkalle;Aikamatkat;
Portti;3;;;1988;Nyman, Jukka;Lino Aldani;;Aldani, Lino
Portti;1;;;2000;Nyman, Jukka;Donato Altomare: Insinöörin italofantasiaa;;Altomare, Donato
Portti;3;;;1992;Pilhjerta, Ritva-Liisa;Prydainin kronikka ja tekijä;;Alexander, Lloyd
Portti;1;;;2002;Nummelin, Juri;Piintynyt indeksoija Mike Ashley;;Ashley, Mike
Portti;3;;;2006;Käkelä, Jari;Asimovin Säätiö-trilogia & amerikkalainen ekspansionismi;;Asimov, Isaac
Portti;2;;;1992;Rosvall, Matti;"""Kelpo tohtori""";;Asimov, Isaac
Portti;1;;;1988;Rosvall, Matti;Hellraiser;;Barker, Clive
Portti;1;;;1986;Peltonen, Leena;Peter S. Beagle - omatekoinen ihmissusi ja fantasian jaskajokuset;;Beagle, Peter S.
Portti;2;;;2015;Iivonen, Jyrki;Edward Bellamy - Lähes unohdettu sosialismin klassikko    ;;Bellamy, Edward
Portti;1;;;2019;Iivonen, Jyrki;E.F. Benson - romaaneja ja kauhukertomuksia kirjoittanut brittiläinen herrasmies;;Benson, Edward Frederic
Portti;2;;;2018;Koponen, Jari;John Arnold Bergh - Vedenpaisumuksesta kommunistikaappaukseen;;Bergh, John Arnold
Portti;3;;;1992;Nikkonen, Raimo;Lloyd Alexander bibliografia;Bibliografia;Alexander, Lloyd
Portti;1;;;1986;Nikkonen, Raimo;Peter S. Beagle bibliografia;Bibliografia;Beagle, Peter S.
Portti;2;;;1989;Nikkonen, Raimo;Ray Bradbury bibliografia;Bibliografia;Bradbury, Ray
Portti;2;;;1991;Nikkonen, Raimo;Edgar Rice Burroughs bibliografia;Bibliografia;Burroughs, Edgar Rice
Portti;4;;;1993;Kuivakari, Seppo;William S. Burroughs bibliografia;Bibliografia;Burroughs, William S.
Portti;4;;;1990;Nikkonen, Raimo;Ramsey Campbell bibliografia;Bibliografia;Campbell, Ramsey
Portti;3;;;1982;Nikkonen, Raimo;Philip K. Dick bibliografia;Bibliografia;Dick, Philip K.
Portti;2;;;1993;Nikkonen, Raimo;Philip K. Dick bibliografia;Bibliografia;Dick, Philip K.
Portti;4;;;2015;Koponen, Jari;Hans Dominik bibliografia;Bibliografia;Dominik, Hans
Portti;1;;;1992;Nikkonen, Raimo;Arthur Conan Doyle bibliografia;Bibliografia;Doyle, Sir Arthur Conan
Portti;1;;;1984;Nikkonen, Raimo;Philip José Farmer bibliografia;Bibliografia;Farmer, Philip José
Portti;4;;;2014;Koponen, Jari;Øvre Richter Frich bibliografia;Bibliografia;Frich, Øvre Richter
Portti;2;;;1997;Nikkonen, Raimo;H. Rider Haggard bibliografia;Bibliografia;Haggard, H. Rider
Portti;2;;;1994;Hautala, Rick;Rick Hautala bibliografia;Bibliografia;Hautala, Rick
Portti;4;;;1991;Nikkonen, Raimo;Lafcadio Hearn bibliografia;Bibliografia;Hearn, (Patrick) Lafcadio (Tessima Carlos)
Portti;2;;;1988;Nikkonen, Raimo;Robert A. Heinlein bibliografia;Bibliografia;Heinlein, Robert A.
Portti;1;;;1990;Nikkonen, Raimo;Robert E. Howard bibliografia;Bibliografia;Howard, Robert E.
Portti;1;;;1991;Nikkonen, Raimo;Stephen King bibliografia;Bibliografia;King, Stephen
Portti;1;;;2001;Nikkonen, Raimo;Dean Koontz bibliografia;Bibliografia;Koontz, Dean R.
Portti;2;;;1982;Nikkonen, Raimo;R.A. Lafferty bibliografia;Bibliografia;Lafferty, R.A.
