Number;Number_extra;Count;Year;Editor;Image_src;Pages;Size;Link;Notes;Title;Alternate_numbering
1;;;1982;Nikkonen, Raimo;;32;B5;;Portin ensimmäinen numero. Kansi: Jaakko Kankaanpää;;
2;;;1982;Nikkonen, Raimo;;44;B5;;Kansi: Reijo Purontakanen;;
3;;;1982;Nikkonen, Raimo;;68;B5;;Kansi: Reijo Purontakanen;;
4;;;1982;Nikkonen, Raimo;;52;B5;;Kansi: Reijo Purontakanen;;
1;;;1983;Nikkonen, Raimo;;60;B5;;Kansi: Reijo Purontakanen;;
2;;;1983;Nikkonen, Raimo;;52;B5;;Kansi: Reijo Purontakanen;;
3;;;1983;Nikkonen, Raimo;;60;B5;;Kansi: Reijo Purontakanen;;
4;;;1983;Nikkonen, Raimo;;68;B5;;Kansi: Reijo Purontakanen;;
1;;;1984;Nikkonen, Raimo;;68;B5;;Kansi: Reijo Purontakanen;;
2;;;1984;Nikkonen, Raimo;;52;B5;;Kansi: Reijo Purontakanen;;
3;;;1984;Nikkonen, Raimo;;44;B5;;Kansi: Reijo Purontakanen;;
4;;;1984;Nikkonen, Raimo;;68;B5;;Kansi: Reijo Purontakanen;;
1;;;1985;Nikkonen, Raimo;;92;B5;;Kansi: Reijo Purontakanen;;
2;;;1985;Nikkonen, Raimo;;68;B5;;Kansi: Reijo Purontakanen;;
3;;;1985;Nikkonen, Raimo;;76;B5;;Kansi: Reijo Purontakanen;;
4;;;1985;Nikkonen, Raimo;;76;B5;;Kansi: Reijo Purontakanen;;
1;;;1986;Nikkonen, Raimo;;84;B5;;Kansi: Jari Koivisto;;
2;;;1986;Nikkonen, Raimo;;60;B5;;Kansi: Reijo Purontakanen;;
3;;;1986;Nikkonen, Raimo;;52;B5;;Kansi: Reijo Purontakanen;;
4;;;1986;Nikkonen, Raimo;;68;B5;;Kansi: Kari Tuhkanen;;
1;;;1987;Nikkonen, Raimo;;76;B5;;Kansi: Reijo Purontakanen;;
