Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Portti;4;;;1990;Aldani, Lino;Hyvää yötä, Sofia;Buonanotte, Sofia;1963;Nyman, Jukka;;;
Portti;3;;;1988;Aldani, Lino;Integraaliteknokratia;Tecnocrazia Integrale;1961;Nyman, Jukka;;;
Portti;2;;;1996;Aldani, Lino;Kraken;Il Kraken;1961;Nyman, Jukka;;;
Portti;3;;;1991;Aldani, Lino;Quo vadis Francisco?;Quo vadis Francisco?;1987;Nyman, Jukka;;;
Portti;1;;;1988;Aldani, Lino;Roomalainen sunnuntai;Domenica romana;1967;Nyman, Jukka;;;
Portti;2;;;1988;Aldiss, Brian;Jättiläisjumalan kerettiläiset;The Heresies of the Huge God;1966;Tapio, Juha;;;
Portti;1;;;2009;Alfredson, Hans;Kasvun voima eli Pukki puutarhurina;Växtkraft;1983;Antila, Ismo & Anttolainen, Susanna & Jylhä, Elisa & Kaurola, Petri & Kivinen, Janina & Koivisto, Carita & Koski, Heljä & Koskinen, Miia & Kärkelä, Hanna & Käyrä, Matti & Leppänen, Johanna & Niittunen, Ville & Rantanen, Roope & Saksa, Sonja & Salonen, Milja & Uusirasi, Pekka & Vuorinen, Henna & Nyman, Jukka;;;
Portti;1;;;2000;Altomare, Donato;Conan Ikuinen;Conan, l'Eterno;1994;Nyman, Jukka;;;
Portti;2;;;2005;Altomare, Donato;Ja autiomaahani puhkeaa kukkatarha;E un giardino fiorirą nrl mio deserto;1988;Nyman, Jukka;;;
Portti;2;;;2004;Altomare, Donato;Kiitän sinua, Herra, siivistä jotka minulle annoit;(Ti ringrazio, o Signore, per le ali che mi hai dato;1989;Nyman, Jukka;;;
Portti;4;;;2000;Altomare, Donato;Kuka niin on sanonut että tuomiopäivänä enkelien pitää välttämättä soittaa pasuunaa?!;Chi l'ha detto che il giorno del giudizio universale gli angeli debbano suonare per forza le trombe?!;1989;Nyman, Jukka;;;
Portti;3;;;1997;Altomare, Donato;Oja sanoi: Älä vain kaadu! Ja allikko hekotteli;E la padella disse: attento a non cadere, mentre la brace sogghignava;1982;Nyman, Jukka;;;
Portti;3;;;2000;Altomare, Donato;Ota minulta pois tämä katkera kalkki;Allontana da me questo calice amaro;1989;Nyman, Jukka;;;
Portti;1;;;1997;Altomare, Donato;Viimeisen kevään laulu;Il Canto dell'Ultima Primavera;1982;Nyman, Jukka;;;
Portti;4;;;2012;Anders, Charlie Jane;Kuusi kuukautta, kolme päivää;Six Months, Three Days;2011;Rosvall, Matti;;;
Portti;3;;;1990;Aresi, Paolo;Kaapista...;Dall'armadio;;Nyman, Jukka;;;
Portti;4;;;1992;Asimov, Isaac;Yö saapuu;Nightfall;1941;Iivonen, Jyrki;;;
Portti;4;;;1997;Aurelian, Robin;Ansa joulupukille;The Santa Trap;1997;Iivonen, Jyrki;;;
Portti;4;;;1989;Bacon, Walter;Kapine;The Object;;Rosvall, Matti;;;
Portti;1;;;1988;Barker, Clive;Veren kirja;The Book of Blood;1984;Rosvall, Matti;;;
Portti;1;;;1988;Barker, Clive;Veren kirja (jälkisanat);The Book of Blood (a postscript): On Jerusalem Street;1985;Rosvall, Matti;;;
Portti;4;;;2006;Beagle, Peter S.;Kaksi sydäntä;Two Hearts;2005;Rosvall, Matti;;;
Portti;1;;;1986;Beagle, Peter S.;Lila-ihmissusi;Farrell and Lila the Werewolf;1969;Peltonen, Leena;;;
Portti;4;;;2009;Bear, Elizabeth;Shoggothien aamunkoitto;Shoggoths in Bloom;2008;Rosvall, Matti;;;
Portti;3;;;2008;Bear, Elizabeth;Vuorovesirajalla;Tideline;2007;Rosvall, Matti;;;
Portti;1;;;1993;Beaumont, Charles;Veriveli;Blood Brother;1961;Laine, Jarkko;;;
Portti;2;;;2015;Bellamy, Edward;Sokean miehen maailma;The Blindman's World;1898;Iivonen, Jyrki;;;
Portti;1;;;2019;Benson, E.F.;Rouva Amworth;Mrs. Amworth;1922;Iivonen, Jyrki;;;
Portti;1;;;2009;Bergren, Ronie;Joulususi;Jululven;2004;Antila, Ismo & Anttolainen, Susanna & Jylhä, Elisa & Kaurola, Petri & Kivinen, Janina & Koivisto, Carita & Koski, Heljä & Koskinen, Miia & Kärkelä, Hanna & Käyrä, Matti & Leppänen, Johanna & Niittunen, Ville & Rantanen, Roope & Saksa, Sonja & Salonen, Milja & Uusirasi, Pekka & Vuorinen, Henna & Nyman, Jukka;;;
Portti;2;;;2010;Bierce, Ambrose;Moxonin isäntä;Moxon's Master;1893;Iivonen, Jyrki;;;
Portti;2;;;1993;Bilenkin, Dmitri;Armoton kohtalon sormi;Ein unerbittlicher Wink des Schicksals;1974;Iivonen, Jyrki;;;
Portti;1;;;1989;Bilenkin, Dmitri;Epätarkkuusperiaate;The Uncertainty Principle;1974;Iivonen, Jyrki;;;
Portti;4;;;1987;Bixby, Jerome;Tämä on hienoa elämää;It's A GOOD Life;1953;Mustonen, Sirpa;;;
Portti;2;;;1992;Borges, Jorge Luis;Kiekko;El disco;1975;Dyer, Joel;;;
Portti;3;;;1992;Borges, Jorge Luis;Kuolematon;El immortal;1947;Dyer, Joel;;;
Portti;2;;;1992;Borges, Jorge Luis;Toinen;El otro;1972;Dyer, Joel;;;
Portti;4;;;1992;Borges, Jorge Luis;Toinen kuolema;La otra muerte;1974;Dyer, Joel;;;
Portti;2;;;1992;Borges, Jorge Luis;Väsyneen miehen utopia;Utopia de un hombre que esta cansado;1974;Dyer, Joel;;;
Portti;2;;;1992;Borges, Jorge Luis;Ympyrämäiset rauniot;Las ruinas circulares;1940;Dyer, Joel;;;
Portti;2;;;1989;Bradbury, Ray;Lokakuusta länteen;West of October;1988;Kannosto, Heikki;;;
Portti;1;;;1997;Bradbury, Ray;Tarjous;The Offering;1997;Nyman, Jukka;;;
Portti;2;;;1989;Bradbury, Ray;Tulta ja jäätä;The Creatures That Time Forgot;1946;Hiltunen, Pekka;;;
Portti;3;;;2014;Brjusov, Valeri;Etelän Ristin Tasavalta;Respublika Juzhnogo Kresta;1907;Iivonen, Jyrki;;;
Portti;1;;;1992;Bulytshev, Kirill;Lumineito;Snegurochka;1973;Iivonen, Jyrki;;;
Portti;3;;;1990;Bulytshev, Kirill;Onko Nina tavattavissa?;Lyudi kak lyudi;1975;Iivonen, Jyrki;;;
Portti;2;;;1992;Bulytshev, Kirill;Vastalause;Protest;1975;Iivonen, Jyrki;;;
Portti;1;;;1992;Burgess, Anthony;Muusa;The Muse;1968;Salin, Petri;;;
Portti;2;;;1991;Burroughs, Edgar Rice;Kalakansan orjat;Slaves of the Fish Men;1941;Hiltunen, Pekka;;;
Portti;1;;;2006;Burstein, Michael A.;Päätöksiä;Decicions;2004;Rosvall, Matti;;;
Portti;4;;;1985;Butler, Octavia E.;Verenlapsi;Bloodchild;1984;Rantalaiho, Liisa;;;
Portti;2;;;1999;Buzzati, Dino;Lohikäärmeen tappaminen;L'uccisione del drago;1958;Nyman, Jukka;;;
Portti;4;;;1992;Buzzati, Dino;Seitsemän kerrosta;Sette piani;1942;Nyman, Jukka;;;
Portti;4;;;1992;Buzzati, Dino;Suuren saattueen ryöstö;L'assalto al grande convoglio;1942;Nyman, Jukka;;;
Portti;4;;;1990;Campbell, Ramsey;Vartijat;The Sentinels;1973;Rosvall, Matti;;;
Portti;2;;;1995;Capuana, Luigi;Apinoiden valtakunnassa;Nel regno delle scimmie;1908;Nyman, Jukka;;;
Portti;2;;;2003;Capuana, Luigi;Vampyyri;Un vampiro;1907;Nyman, Jukka;;;
Portti;1;;;1991;Carroll, Jonathan;Yksityiskohtien syvyys;The Sadness of Detail;1990;Rosvall, Matti;;;
Portti;1;;;2002;Catani, Vittorio;Tuhansien järvien uni;Sogno di mille laghi;2002;Nyman, Jukka;;;
Portti;4;;;1993;Cersosimo, Adalberto;Missä lumi viime vuosien;Dove sono le nevi;1976;Nyman, Jukka;;;
Portti;1;;;1990;Cersosimo, Adalberto;Pilvien maalari;Il pittore delle nuvole;1979;Nyman, Jukka;;;
Portti;2;;;1990;Cersosimo, Adalberto;Psykokratia;Psicocrazia;1972;Nyman, Jukka;;;
Portti;1;;;1992;Cersosimo, Adalberto;Sauva, koira ja sotakirves;La ballata di Tirivel;1984;Nyman, Jukka;;;
Portti;4;;;2008;Chiang, Ted;Kangaskauppias ja alkemistin portti;The Merchant and the Alchemist's Gate;2006;Rosvall, Matti;;;
Portti;3;;;2009;Chiang, Ted;Suuri huokaus;Exhalation;2008;Rosvall, Matti;;;
Portti;4;;;2002;Chiang, Ted;Taivaan ja helvetin avoliitto;Hell Is the Absence of God;2001;Rosvall, Matti;;;
Portti;3;;;2014;Chu, John;Vesi vain valuu mutta ei tule mistään;The Water That Falls on You from Nowhere;2013;Rosvall, Matti;;;
Portti;4;;;2010;Collins, Charles Allston & Dickens, Charles;Oikeustapaus;The Trial for Murder;1865;Iivonen, Jyrki;;;
Portti;3;;;2011;Conrad, Joseph;Peto;The Brute;1906;Iivonen, Jyrki;;;
Portti;1;;;2006;Cras, Bengt-Åke;Viimeinen juna kotiin;Sista tåget hem;2004;Peltoniemi, Sini & Siekkinen, Veera & Nyman, Jukka;;;
Portti;2;;;2002;Crohmalniceanu, Ovid S.;Neuhofin sopimus;;1980;Iivonen, Jyrki;;;
