Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Spin;1;;;2010;Aalto, Milla;Uuskumma puheenjohtaja;TSFS, Fandom;Aalto, Milla
Spin;4;;;2011;Kutilainen, Joonatan;Joe Abercrombie: Ensimmäinen laki – synkän huumorin fantasiatrilogia;Fantasia;Abercrombie, Joe
Spin;2;;;1979;Haapio, Markku;Kuinka kohtasin Karloffonian Ackermonsterin ja olen yhä elossa;;Ackerman, Forrest J.
Spin;2;;;2001;Suntila, Shimo;Douglas Noel Adams 1952-2001;;Adams, Douglas
Spin;1;;;1978;Alhonsaari, Antti;Erkki Ahosen syvät matkat;;Ahonen, Erkki
Spin;1;;;1988;Väisänen, Hannu;Neljä Kingsley Amisin teosta;;Amis, Kingsley
Spin;5;;;1999;Viljamaa, Emma;Animen avautuminen aloittelijalle;Anime;
Spin;4;;;1999;Forss, Ville;Muukalainen sisälläsi;;Anthony, Patricia
Spin;4;;;1997;Väisänen, Jani;Babylon 5;Tv-sarjat, Babylon 5;
Spin;3;;;2007;Pohjola, Jouni;Babylon 5 - The Lost Tales: Voices in the Dark;Tv-sarjat, Babylon 5;
Spin;5;;;1998;Suntila, Simo;Babylon 5 kolmannen kauden jaksoluettelo;Tv-sarjat, Babylon 5;
Spin;2;;;1999;Suntila, Simo;Babylon 5 neljännen kauden jaksoluettelo;Tv-sarjat, Babylon 5;
Spin;1;;;1998;Suntila, Simo;Babylon 5 toisen kauden jaksoluettelo;Tv-sarjat, Babylon 5;
Spin;4;;;1997;Heikkinen, Sini;Babylon 5 verkossa;Tv-sarjat, Babylon 5;
Spin;6;;;1999;Paananen, Leila;Babylon 5 viidennen kauden jaksoluettelo;Tv-sarjat, Babylon 5;
Spin;1;;;2000;Niemistö, Riitta;Bye bye Babylon 5;Tv-sarjat, Babylon 5;
Spin;4;;;1997;Suntila, Simo;Ensimmäisen kauden jaksoluettelo;Tv-sarjat, Babylon 5;
Spin;1;;;2000;Pohjola, Jouni;Psi Corps;Tv-sarjat, Babylon 5;
Spin;2;;;1988;Väisänen, Hannu;Huomioita James Graham Ballardista;;Ballard, J.G.
Spin;2;;;2000;Pohjola, Jouni;Barlowe's Inferno;Wayne Barlowe, Taide;
Spin;5;;;2000;Ahonen, Johanna;Kovaa scifiä Finnconissa - Ken MacLeod & Stephen Baxter;;Baxter, Stephen & MacLeod, Ken
Spin;1;;;2018;Mattila, Anna;Lauren Beukes ja Maria Turtschaninoff;;Beukes, Lauren & Turtschaninoff, Maria
Spin;2;;;1988;Väisänen, Hannu;J.G. Ballard bibliografia;Bibliografia;Ballard, J.G.
Spin;3;;;1981;Mäentaka, Kari;Edgar Rice Burroughs bibliografia;Bibliografia;Burroughs, Edgar Rice
Spin;3;;;1990;Väisänen, Hannu;William Gibson bibliografia;Bibliografia;Gibson, William
Spin;3;3-4/2004;;2004;Suntila, Shimo;Harry Harrison bibliografia;Bibliografia;Harrison, Harry
Spin;4;;;1990;Niemi, Timo;Stephen King bibliografia;Bibliografia;King, Stephen
Spin;4;;;1984;Hinkkanen, Juhani;John Wyndham bibliografia;Bibliografia;Wyndham, John
Spin;1;;;1997;Ykspetäjä, Tero;Viisi kysymystä;Richard Hatch;Pohl, Frederik & Clement, Hal & Bradbury, Ray & Willis, Connie
Spin;3;;;1981;Mäentaka, Kari;Edgar Rice Burroughs - science fiction -kirjailija;;Burroughs, Edgar Rice
Spin;3;;;1983;Rekunen, Veikko;Satiiri Tarzan-kirjoissa;Tarzan;Burroughs, Edgar Rice
Spin;2;;;1994;Pajunen, Hannu;Cardiogrammeja;;Card, Orson Scott
Spin;3;;;2002;Ahonen, Johanna;Jonathan Carroll - sanankäytön mestari vailla kategoriaa;;Carroll, Jonathan
Spin;1;;;1977;Mäenpää, Jarmo;Arthur C. Clarke 2001: Avaruusseikkailu;;Clarke, Arthur C.
Spin;2;;;2005;Polvinen, Sari;Jonathan Strange & Mr Norrell;;Clarke, Susanna
Spin;1;;;1994;Ykspetäjä, Tero;Aikacon 94;Aikacon, Conit Suomessa;
Spin;1;;;2011;Aalto, Milla;Conin kuulumisia;Finncon, Conit Suomessa;
Spin;4;;;2008;Oksanen, Kati;Connun uutisia - Finncon-Animecon 2011:n kuulumiset;Finncon, Conit Suomessa;
Spin;1;;;2009;Oksanen, Kati;Connun uutisia - Finncon-Animecon 2011:n kuulumiset;Finncon, Conit Suomessa;
Spin;2;;;2009;Oksanen, Kati;Connun uutisia - Finncon-Animecon 2011:n kuulumiset;Finncon, Conit Suomessa;
Spin;3;;;2009;Oksanen, Kati;Connun uutisia - Finncon-Animecon 2011:n kuulumiset;Finncon, Conit Suomessa;
Spin;5;;;1999;Warinowski, Tino;Driving Mrs Willis;Finncon, Conit Suomessa;
Spin;5;;;1999;Paananen, Leila;Erään järjestäjän Finncon-päiväkirja;Finncon, Conit Suomessa;
Spin;3;3-4/2004;;2004;Rowanna-rouva;Fantasiapidot 2004 eli Lohikäärmeen muistojuhlat ja mitä niissä tapahtui;Fantasiapidot, tapahtumat Suomessa;
Spin;1;;;1998;Laajarinne, Jukka;Fantasiapidot eli walikoituneita otteita Yugan journaalista;Fantasiapidot, tapahtumat Suomessa;
Spin;3;;;2009;Jokela, Janna & Saario, Mari;Fantasiapidot - merta ja tulta Tippsundissa;Fantasiapidot, tapahtumat Suomessa;
Spin;5;;;1995;Laajarinne, Jukka;Fantastinen viikonloppu Sauvon Ahtelassa;Fantasiapidot, tapahtumat Suomessa;
Spin;5;;;2000;Suntila, Shimo;Finncon 2000 raportti #2;Finncon, Conit Suomessa;
Spin;3;;;2010;Oksanen, Kati;Finncon-Animecon 2011;Finncon, Conit Suomessa;
Spin;4;;;1995;Pajunen, Hannu;Finncon-special;Finncon, Conit Suomessa;
Spin;3;;;2017;Ulanto, Mirka;Hämärä conihetki;Worldcon, Conit Suomessa;
Spin;3;;;2007;Saario, Mari;Hämärät (muisti)kuvat Finncon 2007:stä;Finncon, Conit Suomessa;
Spin;3;;;2011;Lehto, Johanna & Ulanto, Mirka & Karppanen, Pasi;Kaaosta, yhteishenkeä ja oppimiskokemuksia - kolme näkökulmaa Finncon-Animeconiin;Finncon, Conit Suomessa;
Spin;3;;;2011;Ulanto, Mirka;Kaksi conia puolen hinnalla!;Eurocon, Econ, Conit ulkomailla;
Spin;5;;;2000;MacLeod, Ken;Kala-aterialla Helsingissä;Finncon, Conit Suomessa;
Spin;3;;;1982;Mäentaka, Kari;King-Con;King-Con, Conit Suomessa;
Spin;4;;;2012;Karppanen, Pasi;Kolme päivää myrskyn silmässä - Turun kansainväliset kirjamessut 2012;Kirjamessut, tapahtumat Suomessa;
Spin;3;;;2008;Warinowski, Tino;Kunniavieraiden hoito ja ruokinta;Finncon, Conit Suomessa;
Spin;3;;;2008;Clements, Jonathan;Kuoleman sauna - Jonathan Clementsin seikkailut suomalaisten maassa 29.7.-4.8.2003;Finncon, Conit Suomessa;
Spin;3;;;1986;Lehto, Kaijus;Kuvittajapaneelista ja vähän muustakin Finnconissa;Finncon, Conit Suomessa;
Spin;5;;;1999;Virta, K.;MAY Finncon 99 -tapahtumassa;Finncon, Conit Suomessa;
Spin;2;;;2011;Hurtta, Boris & Sansweet, Steve & Swanwick, Michael;Memories of Years Past - Greetings from Guests of Honour at the previous Finncon held in Turku;Finncon, Conit Suomessa;
Spin;3;;;2011;Clements, Jonathan & Sund, Bjorn Tore & Morgan, Richard & Hopkinson, Nalo;Memories of Years Past II - Greetings from Guests of Honour at the previous Finncon held in Turku, part deux;Finncon, Conit Suomessa;
Spin;4;;;2010;Karppanen, Pasi & Aalto, Mirelle & Paananen, Leila;"""Messuhulinaa, kauheesti kirjoja ja kavereita""";Kirjamessut, tapahtumat Suomessa;
Spin;3;;;1991;Toivonen, Sami;Miekan ja magian pitoaterian yö;Fantasiapidot, tapahtumat Suomessa;
Spin;3;;;1991;Anonyymi;Mikä ihmeen Finncon? - Viisi kysymystä Finnconista;Finncon, Conit Suomessa;
Spin;4;;;2000;Ykspetäjä, Kaisa & Warinowski, Tino;Millennium Finncon - sarjakuvafestareiden uudet vaatteet;Finncon, Conit Suomessa;
Spin;5;;;1999;Paananen, Tytti;Minun Finnconini;Finncon, Conit Suomessa;
Spin;3;;;1987;Roimola, Ben;Mämmilä matalaksi eli scifistit Orivedellä;Tapahtumat Suomessa;
