Number;Number_extra;Count;Year;Editor;Image_src;Pages;Size;Link;Notes;Title;Alternate_numbering
1;;;1977;Haapio, Markku;http://www.tsfs.fi/public/kannet/Spin_1977-1.gif;16;;;Spin-lehden ensimmäinen numero;;
1;;;1978;Haapio, Markku;http://www.tsfs.fi/public/kannet/Spin_1978-1.gif;14;A4;;;;
2;;;1978;Haapio, Markku;http://www.tsfs.fi/public/kannet/Spin_1978-2-3.jpg;20;A4;;;;2-3/1978
4;;;1978;Haapio, Markku;http://www.tsfs.fi/public/kannet/Spin_1978-4.gif;22;;;;;
1;;;1979;Haapio, Markku;http://www.tsfs.fi/public/kannet/Spin_1979-1.gif;18;;;;;
2;;;1979;Haapio, Markku;http://www.tsfs.fi/public/kannet/Spin_1979-2.jpg;14;A4;;;;
1;;;1980;Haapio, Markku;http://www.tsfs.fi/public/kannet/Spin_1980-1.jpg;16;A4;;;;
2;;;1980;Mäentaka, Kari & Mäntylä, Timo & Riihonen, Esa;http://www.tsfs.fi/public/kannet/Spin_1980-2.gif;24;B5;;;;
1;;;1981;Mäentaka, Kari & Mäntylä, Timo & Riihonen, Esa;http://www.tsfs.fi/public/kannet/Spin_1981-1.gif;28;;;;;
2;;;1981;Mäentaka, Kari & Mäntylä, Timo & Riihonen, Esa;http://www.tsfs.fi/public/kannet/Spin_1981-2.gif;28;B5;;;;
3;;;1981;Mäentaka, Kari & Mäntylä, Timo & Riihonen, Esa;http://www.tsfs.fi/public/kannet/Spin_1981-3.gif;28;B5;;;;
4;;;1981;Mäentaka, Kari & Mäntylä, Timo & Riihonen, Esa;http://www.tsfs.fi/public/kannet/Spin_1981-4.gif;28;B5;;;;
1;;;1982;Mäentaka, Kari;http://www.tsfs.fi/public/kannet/Spin_1982-1.gif;28;B5;;Kansi: Jukka Murtosaari;;
2;;;1982;Mäentaka, Kari;http://www.tsfs.fi/public/kannet/Spin_1982-2.jpg;28;B5;;Kansi: Jukka Murtosaari;;
3;;;1982;Mäentaka, Kari;http://www.tsfs.fi/public/kannet/Spin_1982-3.gif;28;B5;;Kansi: Jukka Murtosaari;;
4;;;1982;Mäentaka, Kari;http://www.tsfs.fi/public/kannet/Spin_1982-4.gif;32;B5;;Kansi: Jaakko Kivi;;
1;;;1983;Haarikko, Harri;http://www.tsfs.fi/public/kannet/Spin_1983-1.jpg;32;B5;;Kansi: Jukka Murtosaari;;
2;;;1983;Haarikko, Harri;http://www.tsfs.fi/public/kannet/Spin_1983-2.jpg;24;B5;;Kansi: Frank Frazetta;;
3;;;1983;Haarikko, Harri;http://www.tsfs.fi/public/kannet/Spin_1983-3.gif;36;B5;;Kansi: Pekka Manninen;;
4;;;1983;Haarikko, Harri;http://www.tsfs.fi/public/kannet/Spin_1983-4.jpg;32;B5;;Kansi: Erkki Parhamaa;;
1;;;1984;Haarikko, Harri;http://www.tsfs.fi/public/kannet/Spin_1984-1.gif;32;B5;;Kansi: Jeff Jones;;
2;;;1984;Haarikko, Harri;http://www.tsfs.fi/public/kannet/Spin_1984-2.jpg;32;B5;;Kansi: Erkki Parhamaa;;
3;;;1984;Haarikko, Harri;http://www.tsfs.fi/public/kannet/Spin_1984-3.jpg;32;B5;;Kansi: Erkki Parhamaa;;
4;;;1984;Haarikko, Harri;http://www.tsfs.fi/public/kannet/Spin_1984-4.jpg;36;B5;;Kansi: Roy Krenkel;;
1;;;1985;Haarikko, Harri;http://www.tsfs.fi/public/kannet/Spin_1985-1.gif;32;B5;;Roolipelit-erikoisnumero. Kansi: Nestor Redondo;;
2;;;1985;Haarikko, Harri;http://www.tsfs.fi/public/kannet/Spin_1985-2.jpg;32;B5;;Kansi: Erkki Parhamaa;;
3;;;1985;Haarikko, Harri;http://www.tsfs.fi/public/kannet/Spin_1985-3.gif;32;;;Kansi: Pekka Manninen;;
4;;;1985;Haarikko, Harri;http://www.tsfs.fi/public/kannet/Spin_1985-4.jpg;32;B5;;Kansi: Wendy Pini;;
1;;;1986;Haarikko, Harri;http://www.tsfs.fi/public/kannet/Spin_1986-1.jpg;60;B5;;TSFS:n 10-vuotisjuhlanumero. Kansi: Pekka Manninen;;
2;;;1986;Lindholm, Erkki;http://www.tsfs.fi/public/kannet/Spin_1986-2.jpg;32;B5;;Kansi: Pekka Manninen;;
3;;;1986;Lindholm, Erkki;http://www.tsfs.fi/public/kannet/Spin_1986-3.gif;40;B5;;Kansi: Jukka Murtosaari;;
4;;;1986;Lindholm, Erkki;http://www.tsfs.fi/public/kannet/Spin_1986-4.jpg;36;B5;;Kansi: Pekka Manninen;;
1;;;1987;Lindholm, Erkki;http://www.tsfs.fi/public/kannet/Spin_1987-1.jpg;36;B5;;Kansi: Pertti Grönholm;;
2;;;1987;Lindholm, Erkki;http://www.tsfs.fi/public/kannet/Spin_1987-2.gif;32;B5;;Kansi: Pertti Grönholm;;
3;;;1987;Lindholm, Erkki;http://www.tsfs.fi/public/kannet/Spin_1987-3.gif;36;B5;;Kansi: Ari Harju;;
4;;;1987;Lindholm, Erkki;http://www.tsfs.fi/public/kannet/Spin_1987-4.jpg;40;B5;;Kansi: Sami Toivonen;;
1;;;1988;Lindholm, Erkki;http://www.tsfs.fi/public/kannet/Spin_1988-1.jpg;40;B5;;Kansi: Pertti Grönholm;;
2;;;1988;Lindholm, Erkki;http://www.tsfs.fi/public/kannet/Spin_1988-2.gif;40;B5;;Kansi: Sami Toivonen;;
3;;;1988;Roimola, Ben;http://www.tsfs.fi/public/kannet/Spin_1988-3.jpg;40;B5;;Kansi: Juhani Hinkkanen;;
4;;;1988;Roimola, Ben;http://www.tsfs.fi/public/kannet/Spin_1988-4.gif;36;B5;;Kansi: Pekka Manninen;;
1;;;1989;Roimola, Ben;http://www.tsfs.fi/public/kannet/Spin_1989-1.jpg;48;A5;;Kansi: Sami Toivonen;;
2;;;1989;Roimola, Ben;http://www.tsfs.fi/public/kannet/Spin_1989-2.jpg;44;A4;;Sarjakuva-erikoisnumero.;; 
3;;;1989;Roimola, Ben;http://www.tsfs.fi/public/kannet/Spin_1989-3.jpg;52;A5;;Kansi: Pauli Parkkinen;;
4;;;1989;Roimola, Ben;http://www.tsfs.fi/public/kannet/Spin_1989-4.jpg;60;A5;;Kansi: Sauli Santikko;;
1;;;1990;Roimola, Ben;http://www.tsfs.fi/public/kannet/Spin_1990-1.jpg;4;;;;;
2;;;1990;Neva, Pasi;http://www.tsfs.fi/public/kannet/Spin_1990-2.jpg;32;A4;;Kansi: Sauli Santikko;;
3;;;1990;Roimola, Ben;http://www.tsfs.fi/public/kannet/Spin_1990-3.jpg;44;B5;;Kansi: Juha Jalonen;;
4;;;1990;Roimola, Ben;http://www.tsfs.fi/public/kannet/Spin_1990-4.jpg;64;B5;;Kansi: Ben Roimola;;
1;;;1991;Roimola, Ben;http://www.tsfs.fi/public/kannet/Spin_1991-1.jpg;44;B5;;Kansi: Mika Pitkänen;;
2;;;1991;Roimola, Ben;http://www.tsfs.fi/public/kannet/Spin_1991-2.jpg;56;B5;;Kansi: Ben Roimola;;
3;;;1991;Roimola, Ben;http://www.tsfs.fi/public/kannet/Spin_1991-3.jpg;52;B5;;Kansi: Sari Luoto;;
4;;;1991;Roimola, Ben;http://www.tsfs.fi/public/kannet/Spin_1991-4.jpg;36;B5;;Kansi: Mika Pitkänen;;
1;;;1992;Roimola, Ben;http://www.tsfs.fi/public/kannet/Spin_1992-1.jpg;40;B5;;Kansi: Timo Niemi;;
2;;;1992;Roimola, Ben;http://www.tsfs.fi/public/kannet/Spin_1992-2.jpg;8;B5;;;;
3;;;1992;Roimola, Ben;http://www.tsfs.fi/public/kannet/Spin_1992-3.jpg;8;B5;;;;
4;;;1992;Roimola, Ben;http://www.tsfs.fi/public/kannet/Spin_1992-4.jpg;8;B5;;;;
