Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Spin;1;;;2003;Brown, Eric;Talven lapset;The Children of Winter;2001;Jantunen, Paula;;;
Spin;2;;;2013;Buckell, Tobias S.;In orbite medievali;In Orbite Medievali;2000;;;;
Spin;2;;;2015;Chen, Qiufan;Lijiangin kalat;The Fish of Lijiang;2006;;;;
Spin;3;3-4/2013;;2013;Connolly, Tina;Omenankääntäjä;Turning the Apples;2009;;;;
Spin;3;;;2012;Doyle, Aidan;Hokkaidonvihreä;Hokkaido Green;2010;;;;
Spin;4;;;2009;Dunyach, Jean-Claude;Jälkiä lumessa;Nos traces dans la neige;1997;;;;
Spin;2;;;2004;Esaias, Timons;Osmundin pohdinta;Osmund Considers;2002;Rosvall, Katja;;;
Spin;4;;;2003;Esaias, Timons;Pelinappula;Pawn;2002;Helkiö. Elina;;;
Spin;1;;;2014;Finlay, C. C.;Alaviitteet;Footnotes;2001;;;;
Spin;4;;;2002;Gentle, Mary;Hukassa;Human Waste;1994;Autio, Paula;;;
Spin;4;;;2007;Guerrier, Simon;Johtaja lähtee eläkkeelle;The Case of the Retiring Magnate;2007;;;;
Spin;4;;;2010;Hopkinson, Nalo;Punaiseen tanssiin;Riding the Red;2001;;;;
Spin;3;;;2002;Hoshi, Shin-ichi;Avaruuden miehet;;;;;;
Spin;1;;;2002;Hoshi, Shin-ichi;Ensilumi;;;Moilanen, Tuula;;;
Spin;4;;;2003;Hoshi, Shin-ichi;Hyvinvoinnin kukka;;;Perämäki, Janna-Riina;;;
Spin;2;;;2002;Hoshi, Shin-ichi;Tupakka;;;;;;
Spin;1;;;2002;Hoshi, Shin-ichi;Vastatoimi;;;Moilanen, Tuula;;;
Spin;3;3-4/2004;;2004;Khan, Ahmed A.;Ennenkuulumatonta;The Presonic Man;;Rosvall, Katja;;;
Spin;4;;;2011;Kleinheincz, Csilla;Pisara vadelmaa;Egy csepp mįlna;2005;;;;
Spin;1;;;2009;Kotowych, Stephen;Lainattua aikaa;Borrowed Time;2007;;;;
Spin;1;;;2016;Kozin, Oleg;Snegurotska;Snegurotska;;;;;
Spin;1;;;2018;Latta, D.K.;Ajanlaskua ikuisuuden tuolla puolen;Marking Time on the Far Side of Forever;1999;;;;
Spin;4;;;2009;Ligner, Meddy;Mustan auringon alla;Sous le Soleil Noir;2007;;;;
Spin;3;;;2011;Lovett, Richard A.;Marie Celesten hiljaiset kellot ;The Unrung Bells of the Marie Celeste;2007;;;;
Spin;4;;;2000;Olsen, Lance;Tervetuloa Seattleen ja muita luonnottomia tottumuksia;Welcome to Seattle and Other Unnatural Practices;1991;Ahonen, Johanna;;;
Spin;1;;;2003;Rempt, Irina;Kissa tuli takaisin;The Cat Came Back;2001;Kamunen, Anu;;;
Spin;3;;;2005;Roger, Frank;Muuttumattomuuden tuulet;The Winds of Unchange;1998;;;;
Spin;2;;;2005;Roger, Frank;Omegalfa;Omegalfa;2002;;;;
Spin;2;;;2006;Rogers, Bruce Holland;Don Ysidro;Don Ysidro;2003;;;;
Spin;2;;;2006;Rogers, Bruce Holland;Kuollut poika ikkunan takana;The Dead Boy at Your Window;1998;;;;
Spin;2;;;2006;Rogers, Bruce Holland;Pikku kellot;Tiny Bells;2006;;;;
Spin;1;;;2008;Rogers, Ian;Tad ja valepeikko;The Tattletail;2006;;;;
Spin;4;;;2005;Schoen, Lawrence M.;Puhvelikoirat;Buffalo Dogs;2001;;;;
Spin;4;;;2006;Schoen, Lawrence M.;Requiem;Requiem;2005;;;;
Spin;3;;;2005;Schoen, Lawrence M.;Valaan laulu;Whale Song;2000;;;;
Spin;4;;;2009;Sicart, Pierre Alexandre;Kuinka pelastin maapallon marsilaisten hyökkäykseltä;Comment j’ai sauvé la Terre des Martiens;2000;;;;
Spin;1;;;2013;Simons, David A.;Tohtori Skennerin erikoiseläimet;Dr. Skenner's Special Animals;2010;;;;
Spin;4;;;2002;Smeds, Dave;Huomionkipeyttä;Suicidal Tendencies;1993;Lauronen, Mixu;;;
Spin;2;;;2004;Smith, Douglas;Henkien tanssi;Spirit Dance;1997;Jantunen, Paula;;;
Spin;1;;;2011;Stanton, Steve;Täydellisen sopiva;Perfect Match;1992;;;;
Spin;1;;;2006;Stires, Christopher;Tappava kuu;The Killing Moon;1999;;;;
Spin;4;;;2012;Stone, Eric James;Leviatan;That Leviathan, Whom Thou Hast Made;2010;;;;
Spin;1;;;2002;Swanwick, Michael;Elementit 1 Vety: Hindenburg;The Hindenburg;2001;Ahonen, Johanna;;;
Spin;1;;;2002;Swanwick, Michael;Elementit 2 Helium: Marsin sankaritar;Jane Carter of Mars;2001;Suntila, Shimo;;;
Spin;1;;;2002;Swanwick, Michael;Elementit 3 Litium: Litiumia Jumalalle;Lithium for God;2001;Ahonen, Johanna;;;
Spin;1;;;2002;Swanwick, Michael;Elementit 4 Beryllium: Berylli suuri kuin hotelli;A Beryl as Big as the Ritz;2001;Ahonen, Johanna;;;
Spin;1;;;2002;Swanwick, Michael;Elementit 5 Boori: Francis, pilkkaan tottunut;Francis, Child of Scorn;2001;Kankaanpää, Jaakko;;;
Spin;1;;;2002;Swanwick, Michael;Elementit 6 Hiili: Ne ovat hiiltä;They're Made of Carbon;2001;Paananen, Leila;;;
Spin;1;;;2002;Swanwick, Michael;Elementit 7 Typpi: Typpi: Johdanto;Nitrogen: An Introduction;2001;Ahonen, Johanna;;;
Spin;1;;;2002;Swanwick, Michael;Elementit 8 Happi: Happiplaneetta;Oxygen Planets;2001;Rosvall, Katja;;;
Spin;1;;;2002;Swanwick, Michael;Elementit 9 Fluori: Viesti;The Message;2001;Paananen, Leila;;;
Spin;1;;;2002;Swanwick, Michael;Elementit 10 Neon: Talonsäännöt;House Rules;2001;Ahonen, Johanna;;;
Spin;2;;;2002;Swanwick, Michael;Elementit 11 Natrium: Sähkökurkkuja;Electric Pickles;2002;Kankaanpää, Jaakko;;;
Spin;2;;;2002;Swanwick, Michael;Elementit 12 Magnesium: Alin peli;Under's Game;2002;Rosvall, Katja;;;
Spin;2;;;2002;Swanwick, Michael;Elementit 13 Alumiini: Alumiinifolio;Aluminum Foil;2002;Paananen, Leila;;;
Spin;2;;;2002;Swanwick, Michael;Elementit 14 Pii: Ohjelmoitavat rinnat;Programmable Breasts;2002;Poso, Auri;;;
Spin;2;;;2002;Swanwick, Michael;Elementit 15 Fosfori: Saarron murtajat;Blockade Runners;2002;Ahonen, Johanna;;;
Spin;2;;;2002;Swanwick, Michael;Elementit 16 Rikki: Vithrilli;Vitriol;2002;Poso, Auri;;;
Spin;2;;;2002;Swanwick, Michael;Elementit 17 Kloori: Luomisen seitsemän päivää;Seven Days of Creation;2002;Rosvall, Katja;;;
Spin;2;;;2002;Swanwick, Michael;Elementit 18 Argon: Argonin silmä;The Eye of Argon;2002;Ahonen, Johanna;;;
Spin;2;;;2002;Swanwick, Michael;Elementit 19 Kalium: Banaanit;Bananas;2002;Paananen, Leila;;;
Spin;2;;;2002;Swanwick, Michael;Elementit 20 Kalsium: Ilmestyskirjan enkelit;Angels of the Apocalypse;2002;Ykspetäjä, Tero;;;
Spin;3;;;2002;Swanwick, Michael;Elementit 21 Skandium: Binghamin haave;Bingham's Folly;2002;Autio, Paula;;;
Spin;3;;;2002;Swanwick, Michael;Elementit 22 Titaani: Tuhoojarobotit;Killer Robots;2002;Autio, Paula;;;
Spin;3;;;2002;Swanwick, Michael;Elementit 23 Vanadiini: Vanadiini;Vanadium;2002;Paananen, Leila;;;
