Number;Number_extra;Count;Year;Editor;Image_src;Pages;Size;Link;Notes
2;;;1984;Jerrman, Toni;;52;B5;;Tähtivaeltajan ensimmäinen numero. Kansi: Jukka Murtosaari
3;;;1984;Jerrman, Toni;;48;B5;;Kansi: Ilkka Ruokola
4;;;1984;Jerrman, Toni;;76;B5;;Kansi: Ilkka Ruokola
1;;;1985;Jerrman, Toni;;60;B5;;Kansi: Sami Niemi
2;;;1985;Jerrman, Toni;;64;B5;;Kansi: Kari Leppänen
3;;;1985;Jerrman, Toni;;60;B5;;Kansi: Kari Leppänen
3;B;;1985;Jerrman, Toni;;44;B5;;Tähtivaeltaja Special I - Erikoissarjakuva-albumi. Kansi: Ilkka Ruokola
4;;;1985;Jerrman, Toni;;60;B5;;Kansi: Juha Mustanoja
1;;;1986;Jerrman, Toni;;64;B5;;Kansi: Kari Leppänen
2;;;1986;Jerrman, Toni;;60;B5;;Kansi: Ilkka Ruokola
3;;;1986;Jerrman, Toni;;56;B5;;Kansi: Kari Leppänen
4;;;1986;Jerrman, Toni;;56;B5;;Kansi: Jukka Murtosaari
1;;;1987;Jerrman, Toni;;64;B5;;Kansi: Erkki Parhamaa
2;;;1987;Jerrman, Toni;;68;B5;;Kansi: Juha Mustanoja
3;;;1987;Jerrman, Toni;;64;B5;;Kansi: Anssi Rauhala
4;;;1987;Jerrman, Toni;;56;B5;;Kansi: Jouko Ruokosenmäki
1;;;1988;Jerrman, Toni;;56;B5;;Kansi: Jyrki Linnankivi
2;;;1988;Jerrman, Toni;;72;B5;;Kansi: Anssi Rauhala
3;;;1988;Jerrman, Toni;;72;B5;;Kansi: Petri Hiltunen
4;;;1988;Jerrman, Toni;;72;B5;;Kansi: Hannu Mänttäri
1;;;1989;Jerrman, Toni;;72;B5;;Kansi: Sami Toivonen
2;;;1989;Jerrman, Toni;;72;B5;;Kansi: Petri Hiltunen
3;;;1989;Jerrman, Toni;;72;B5;;Kansi: Jyrki Linnankivi
4;;;1989;Jerrman, Toni;;72;B5;;Kansi: Jouko Ruokosenmäki
1;;;1990;Jerrman, Toni;;72;B5;;Kansi: Jukka Murtosaari
2;;;1990;Jerrman, Toni;;80;B5;;Kansi: Kivi Larmola
3;;;1990;Jerrman, Toni;;80;B5;;Kansi: Dave Stevens
4;;;1990;Jerrman, Toni;;80;B5;;Kansi: Tommi Hänninen
1;;;1991;Jerrman, Toni;;80;B5;;Kansi: Petri Hiltunen
2;;;1991;Jerrman, Toni;;84;B5;;Kansi: Kivi Larmola
3;;;1991;Jerrman, Toni;;88;B5;;Kansi: Petri Hiltunen
4;;;1991;Jerrman, Toni;;96;B5;;Kansi: Petri Hiltunen
1;;;1992;Jerrman, Toni;;92;B5;;Kansi: Jukka Murtosaari
2;;;1992;Jerrman, Toni;;92;B5;;Kansi: Jyrki Linnankivi
3;;;1992;Jerrman, Toni;;92;B5;;Kansi: Juha Vuorma
4;;;1992;Jerrman, Toni;;92;B5;;Kansi: Petri Hiltunen
1;;;1993;Jerrman, Toni;;92;B5;;Kansi: Mika Myyry
2;;;1993;Jerrman, Toni;;92;B5;;Kansi: Timo Niemi
3;;;1993;Jerrman, Toni;;92;B5;;Kansi: Tommi Hänninen
4;;;1993;Jerrman, Toni;;92;B5;;Kansi: Juha Mustanoja
1;;;1994;Jerrman, Toni;;92;B5;;Kansi: Jouko Ruokosenmäki
2;;;1994;Jerrman, Toni;;92;B5;;Kansi: Jukka Halme
3;;;1994;Jerrman, Toni;;128;B5;;Kansi: Sami Toivonen
4;;;1994;Jerrman, Toni;;100;B5;;Kansi: Matti Laakso
1;;;1995;Jerrman, Toni;;92;B5;;Kansi: Hannele Parviala
2;;;1995;Jerrman, Toni;;92;B5;;Kansi: Jyrki Linnankivi
3;;;1995;Jerrman, Toni;;100;B5;;Kansi: nimeämätön
4;;;1995;Jerrman, Toni;;92;B5;;Kansi: Sami Saramäki
1;;;1996;Jerrman, Toni;;100;B5;;Kansi: Tommi Hänninen
2;;;1996;Jerrman, Toni;;92;B5;;Kansi: Ilkka Juopperi
3;;;1996;Jerrman, Toni;;100;B5;;Kansi: nimeämätön
4;;;1996;Jerrman, Toni;;92;B5;;Kansi: Sami Saramäki
1;;;1997;Jerrman, Toni;;100;B5;;Kansi: Niko Airaksinen
2;;;1997;Jerrman, Toni;;92;B5;;Kansi: Juha Vuorma
3;;;1997;Jerrman, Toni;;92;B5;;Kansi: Sami Saramäki
4;;;1997;Jerrman, Toni;;92;B5;;Kansi: Petteri Tikkanen
1;;;1998;Jerrman, Toni;;92;B5;;Kansi: nimeämätön
2;;;1998;Jerrman, Toni;;92;B5;;Kansi: Ilkka Juopperi
3;;;1998;Jerrman, Toni;;92;B5;;Kansi: nimeämätön
4;;;1998;Jerrman, Toni;;92;B5;;Kansi: Marko Leinonen
1;;;1999;Jerrman, Toni;;84;B5;;Kansi: Hans Nissen
2;;;1999;Jerrman, Toni;;84;B5;;Kansi: LucasFilm
3;;;1999;Jerrman, Toni;;84;B5;;Kansi: Eliza Maria Sandell
4;;;1999;Jerrman, Toni;;84;B5;;Kansi: Sami Saramäki
1;;;2000;Jerrman, Toni;;84;B5;;Kansi: Jouko Nuora
2;;;2000;Jerrman, Toni;;84;B5;;Kansi: Eliza Maria Sandell
3;;;2000;Jerrman, Toni;;84;B5;;Kansi: Ossi Hiekkala
4;;;2000;Jerrman, Toni;;84;B5;;Kansi: Pasi Juhola
1;;;2001;Jerrman, Toni;;84;B5;;Kansi: Eliza Maria Sandell
2;;;2001;Jerrman, Toni;;84;B5;;Kansi: Jii Roikonen
3;;;2001;Jerrman, Toni;;84;B5;;Kansi: Petri Hiltunen
4;;;2001;Jerrman, Toni;;84;B5;;Kansi: Pasi Juhola
1;;;2002;Jerrman, Toni;;84;B5;;Kansi: Jarno Kantelinen
2;;;2002;Jerrman, Toni;;120;B5;;Kansi: Sami Saramäki
3;;;2002;Jerrman, Toni;;84;B5;;Kansi: Ville Pynnönen
4;;;2002;Jerrman, Toni;;100;B5;;Kansi: Jan Lindström
1;;;2003;Jerrman, Toni;;84;B5;;Kansi: Eliza Maria Sandell
2;;;2003;Jerrman, Toni;;84;B5;;Kansi: Jarno Kantelinen
3;;;2003;Jerrman, Toni;;84;B5;;Kansi: Jan Lindström
4;;;2003;Jerrman, Toni;;108;B5;;Kansi: Pasi Juhola
1;;;2004;Jerrman, Toni;;100;B5;;Kansi: Sami Saramäki
2;;;2004;Jerrman, Toni;;100;B5;;Kansi: Sari Luoto
3;;;2004;Jerrman, Toni;;100;B5;;Kansi: Ilkka Lesonen
4;;;2004;Jerrman, Toni;;108;B5;;Kansi: Kimmo Isokoski
1;;;2005;Jerrman, Toni;;100;B5;;Kansi: Eliza Maria Sandell
2;;;2005;Jerrman, Toni;;100;B5;;Kansi: Kari Sihvonen
3;;;2005;Jerrman, Toni;;100;B5;;Kansi: Kimmo Isokoski
4;;;2005;Jerrman, Toni;;100;B5;;Kansi: Ville Pynnönen
1;;;2006;Jerrman, Toni;;100;B5;;Kansi: Jani Hämäläinen
2;;;2006;Jerrman, Toni;;100;B5;;Kansi: Ossi Hiekkala
3;;;2006;Jerrman, Toni;;100;B5;;Kansi: Silver Saaremäel
4;;;2006;Jerrman, Toni;;100;B5;;Kansi: Benjamin Bergman
1;;;2007;Jerrman, Toni;;100;B5;;Kansi: Eliza Maria Sandell
2;;;2007;Jerrman, Toni;;100;B5;;Kansi: Ville Pynnönen
3;;;2007;Jerrman, Toni;;100;B5;;Kansi: Markku Metso
4;;;2007;Jerrman, Toni;;100;B5;;Kansi: Silver Saaremäel
1;;;2008;Jerrman, Toni;;100;B5;;Kansi: Jarkko Vanhalakka
2;;;2008;Jerrman, Toni;;100;B5;;Kansi: Miisa Lopperi
3;;;2008;Jerrman, Toni;;100;B5;;Kansi: Nina von Rüdiger
4;;;2008;Jerrman, Toni;;100;B5;;Kansi: Ville Pynnönen
1;;;2009;Jerrman, Toni;;100;B5;;Kansi: Kari Sihvonen
2;;;2009;Jerrman, Toni;;100;B5;;Kansi: Maija Pietikäinen
3;;;2009;Jerrman, Toni;;100;B5;;Kansi: Juha Veltti
4;;;2009;Jerrman, Toni;;116;B5;;Kansi: Kari Sihvonen
1;;;2010;Jerrman, Toni;;100;B5;;Kansi: Pertti Jarla
2;;;2010;Jerrman, Toni;;100;B5;;Kansi: Ville Pynnönen
3;;;2010;Jerrman, Toni;;100;B5;;Kansi: Sami Saramäki
4;;;2010;Jerrman, Toni;;100;B5;;Kansi: Marko Leinonen / Markku Metso
1;;;2011;Jerrman, Toni;;100;B5;;Kansi: Topi Koivisto
2;;;2011;Jerrman, Toni;;100;B5;;Kansi: Joonas Paloheimo
3;;;2011;Jerrman, Toni;;100;B5;;Kansi: Juha-Matti Kinnunen
4;;;2011;Jerrman, Toni;;100;B5;;Kansi: Ninni Aalto
1;;;2012;Jerrman, Toni;;100;B5;;Kansi: Juha-Matti Kinnunen
2;;;2012;Jerrman, Toni;;100;B5;;Kansi: Sami Rouhiainen
3;;;2012;Jerrman, Toni;;100;B5;;Kansi: Ture Ekroos
4;;;2012;Jerrman, Toni;;124;B5;;Kansi: Kari Sihvonen
1;;;2013;Jerrman, Toni;;100;B5;;Kansi: Juha-Matti Kinnunen
2;;;2013;Jerrman, Toni;;100;B5;;Kansi: Tuuli Hypén
3;;;2013;Jerrman, Toni;;100;B5;;Kansi: Olli Hihnala
4;;;2013;Jerrman, Toni;;100;B5;;Kansi: Kimmo Isokoski
1;;;2014;Jerrman, Toni;;100;B5;;Kansi: Juha-Matti Kinnunen
2;;;2014;Jerrman, Toni;;100;B5;;Kansi: Ossi Hiekkala
3;;;2014;Jerrman, Toni;;100;B5;;Kansi: Marko Leinonen
4;;;2014;Jerrman, Toni;;100;B5;;Kansi: Miha Rinne
1;;;2015;Jerrman, Toni;;100;B5;;Kansi: Sami Saramäki
2;;;2015;Jerrman, Toni;;100;B5;;Kansi: Kari Sihvonen
3;;;2015;Jerrman, Toni;;100;B5;;Kansi: Ville Pynnönen
4;;;2015;Jerrman, Toni;;100;B5;;Kansi: Eliza Jäppinen
1;;;2016;Jerrman, Toni;;100;B5;;Kansi: Maija Pietikäinen
2;;;2016;Jerrman, Toni;;100;B5;;Kansi: Kari Sihvonen
3;;;2016;Jerrman, Toni;;100;B5;;Kansi: Ki Ruusuvuori
4;;;2016;Jerrman, Toni;;100;B5;;Kansi: Petri Hiltunen
1;;;2017;Jerrman, Toni;;100;B5;;Kansi: Sari Haltijakäpälä
2;;;2017;Jerrman, Toni;;100;B5;;Kansi: Jouko Ruokosenmäki
3;;;2017;Jerrman, Toni;;100;B5;;Kansi: Kivi Larmola
4;;;2017;Jerrman, Toni;;116;B5;;Kansi: Jouni Koponen
1;;;2018;Jerrman, Toni;;100;B5;;Kansi: Jan Lindström
2;;;2018;Jerrman, Toni;;100;B5;;Kansi: Tuomas Myllylä / Jouko Ruokosenmäki
3;;;2018;Jerrman, Toni;;100;B5;;Kansi: Ville Pynnönen
4;;;2018;Jerrman, Toni;;100;B5;;Kansi: Kari Sihvonen
1;;;2019;Jerrman, Toni;;100;B5;;Kansi: Tommi Musturi
2;;;2019;Jerrman, Toni;;100;B5;;Kansi: Kai Vaalio
3;;;2019;Jerrman, Toni;;100;B5;;Kansi: Kivi Larmola
4;;;2019;Jerrman, Toni;;132;B5;;Kansi: Petri Hiltunen
1;;;2020;Jerrman, Toni;;100;B5;;Kansi: Jan Lindström
2;;;2020;Sisättö, Vesa;;100;B5;;Kansi: Jouko Ruokosenmäki
3;;;2020;Sisättö, Vesa;;100;B5;;Kansi: Johannes Pekonen
4;;;2020;Sisättö, Vesa;;100;B5;;Kansi: Aleksi Remes
