Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Tähtivaeltaja;4;;;2017;Abercrombie, Joe;Helvetti;Hell;2010;Harju, Markus;;;
Tähtivaeltaja;4;;;2003;Aylett, Steve;Jos Armstrong olisi vekkuli;If Armstrong Was Interesting;1999;Jerrman, Toni;;;
Tähtivaeltaja;2;;;2004;Aylett, Steve;Siri-ase;The Siri Gun;1998;Jerrman, Toni;;;
Tähtivaeltaja;3;;;1987;Ballard, J.G.;Matka kraatterin halki;Journey Across a Crater;1970;Drews, Kristiina;;;
Tähtivaeltaja;1;;;1998;Ballard, J.G.;Raportti tuntemattomalta avaruusasemalta;Report on an Unidentified Space Station;1982;Ruokosenmäki, Jouko;;;
Tähtivaeltaja;2;;;2001;Ballard, J.G.;Täällä on ihanaa;Having a Wonderful Time;1982;Keynäs, Ville;;;
Tähtivaeltaja;2;;;1991;Banks, Iain;Alenevassa polvessa;Descendant;1987;Sinkkonen, Marja;;;
Tähtivaeltaja;2;;;1988;Barker, Clive;(Pornokauppiaan) käärinliinan tunnustukset;Confession of a (Pornoghrapher's) Shroud;1984;Peltonen, Leena;;;
Tähtivaeltaja;4;;;1996;Baxter, Stephen;Auringon polttopisteessä, osa 1: Gaijin;The Saddle Point Sequence, Part 1: Gaijin;1996;Ronni, Tapani;;;
Tähtivaeltaja;4;;;1996;Baxter, Stephen;Auringon polttopisteessä, osa 2: Satulapiste;The Saddle Point Sequence, Part 2: Saddle Point;1996;Ronni, Tapani;;;
Tähtivaeltaja;1;;;1997;Baxter, Stephen;Auringon polttopisteessä, osa 3: Fuusiokesä;The Saddle Point Sequence, Part 3: Fusion Summer;1996;Ronni, Tapani;;;
Tähtivaeltaja;1;;;2000;Baxter, Stephen;Auringon polttopisteessä 2, osa 1: Alkukalan unia;The Saddle Point Sequence 2, Part 1: Dreams of Ancestral Fish;1996;Kanto, Kari;;;
Tähtivaeltaja;2;;;2000;Baxter, Stephen;Auringon polttopisteessä 2, osa 2: Ikosaedrijumala;The Saddle Point Sequence 2, Part 2: Icosahedral God;1996;Kanto, Kari;;;
Tähtivaeltaja;2;;;2000;Baxter, Stephen;Auringon polttopisteessä 2, osa 3: Tritonin uniaika;The Saddle Point Sequence 2, Part 3: Triton Dreamtime;1996;Kanto, Kari;;;
