Number;Number_extra;Count;Year;Editor;Image_src;Pages;Size;Link;Notes;Title
1;;1;2005;Anne Leinonen;http://usvazine.net/kansi_1_2005.gif;43;;http://usvazine.net/arkisto105.htm;Usvan ensimmäinen numero. Kansi: Jarmo Karonen;
2;;2;2005;Anne Leinonen;http://usvazine.net/kansi_2_2005.gif;43;;http://usvazine.net/arkisto205.htm;Kansi: Eija Laitinen;
3;;3;2005;Anne Leinonen;http://usvazine.net/kansi_3_2005.jpg;37;;http://usvazine.net/arkisto305.htm;Usva 3/2005 on teemanumero, jonka sisältö kietoutuu musiikin ympärille. Kansi: Tero Niemi;
4;;4;2005;Anne Leinonen;http://usvazine.net/kansi_4_2005.gif;37;;http://usvazine.net/arkisto405.htm;Usva 4/2005 esittelee viisi kotimaisen kirjoittajakentän nousevaa nimeä. Kansi: Anne Leinonen;
1;;5;2006;Anne Leinonen;http://usvazine.net/kansi1_2006.gif;52;;http://usvazine.net/arkisto106.htm;Usva 1/2006 pureutuu pelkoihin;
2;;6;2006;Anne Leinonen;http://usvazine.net/kansi206.gif;58;;http://usvazine.net/arkisto206.htm;Usva 2/2006 ja Usva International 2006 muodostavat kaksoisnumeron, joissa on osin samoja novelleja.;
3;;7;2006;Anne Leinonen;http://usvazine.net/kansi306.gif;62;;http://usvazine.net/arkisto306.htm;Usva kääntää katseensa tummasävytteisten tulevaisuuskuvien puoleen. Seksuaalisuus ja lisääntyminen nousevat novellien kantaviksi teemoiksi. Kansi: Iida Ojanperä;
4;;8;2006;Anne Leinonen;http://usvazine.net/kansi406.gif;51;;http://usvazine.net/arkisto406.htm;Usva 4/2006 tarkastelee unelmia ja heijastumia tuonpuoleisesta, ihmisten saavuttamattomia unelmia ja sydänalassa kaihertavaa kaihoa. Kansi: Iida Ojanperä;
1;;9;2007;Anne Leinonen;http://usvazine.net/kansi107.gif;77;;http://usvazine.net/arkisto107.htm;Teemana on valta ja väkivalta, ja miten nämä kaksi kietoutuvat toisiinsa.;
2;;10;2007;Anne Leinonen;http://usvazine.net/kansi_207.gif;69;;http://usvazine.net/arkisto207.htm;Kansi: Tytti Heikkinen. Usva 2/2007 on omistettu Arjen outous -kirjoituskilpailussa menestyneille teksteille;
3;;11;2007;Anne Leinonen;http://usvazine.net/kansi_307.gif;61;;http://usvazine.net/arkisto307.htm;Usva 3/2007 on omistettu kauhulle, ja se on tehty yhteistyössä Deathwriters-foorumin kirjoittajien kanssa.;
