Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Usva;1;;;2009;Anne Alasirniö;Tehtävä;;;;;;
Usva;1;;;2012;Katri Alatalo;Ei poikasi ole kuollut;;;;;;
Usva;1;;;2013;Katri Alatalo;Kulkija;;;;;;
Usva;3;;;2010;Samuli Antila;Kimalainen;;;;;;
Usva;2;;;2009;Samuli Antila;Pinta;;;;;;
Usva;2;;;2013;Mikko Arjanmaa;Cocaira;;;;;;
Usva;4;;;2007;Tapani Bagge;Salainen keksintö;;;;;;
Usva;2;;;2013;Heidi Elo;Hiljainen mies;;;;;;
Usva;4;;;2009;Harri Erkki;Mummo kuoli saunan lauteille;;;;;;
Usva;1;;;2010;Harri Erkki;Terrori-isku;;;;;;
Usva;2;;;2015;Rimma Erkko;Äidin poika;;;;;;
Usva;3;;;2012;Kirsi Ervasti;Kuin lentäisi yöhön;;;;;;
Usva;2;;;2007;Carita Forsgren;Iioo! Iioo!;;;;;;
Usva;1;;;2008;Carita Forsgren;Karva;;;;;;
Usva;4;;;2012;Charles Goyle;Verenpunainen lumienkeli;;;;;;
Usva;2;;;2008;Satu Grönroos;Punaheikin kesäretki;;;;;;
Usva;2;;;2008;Satu Grönroos;Talvenkuningatar;;;;;;
Usva;2;;;2007;Urpu Leena Grönroos;Marian ilmestys;;;;;;
Usva;1;;;2016;Maija Haavisto;Lankamaailma;;;;;;
Usva;1;;;2014;Maija Haavisto;Rautakeuhko;;;;;;
Usva;4;;;2012;Magdalena Hai;Erehdys;;;;;;
Usva;1;;;2009;Hannele Hakala;Mary Arleau;;;;;;
Usva;2;;;2005;Hannele Hakala;Oma valo;;;;;;
Usva;3;;;2006;Hannele Hakala;Rahtari Marsista;;;;;;
Usva;4;;;2009;Hannele Hakala;Siellä on vain ihmisiä;;;;;;
Usva;1;;;2012;Anne-Mari Halonen;Adisan talo;;;;;;
Usva;1;;;2012;Anne-Mari Halonen;Joululahja;;;;;;
Usva;1;;;2012;Anne-Mari Halonen;Paskajalkakissa;;;;;;
Usva;4;;;2010;Petteri Hannila;Isoäiti;;;;;;
Usva;1;;;2014;Petteri Hannila;Kokelas;;;;;;
Usva;3;;;2012;Markus Harju;Jos sijaltain en nousisi;;;;;;
Usva;3;;;2010;Markus Harju;Saarnamies;;;;;;
Usva;2;;;2013;Sofia Hartokari;Mahdollisuus;;;;;;
Usva;1;;;2008;Marko Hautala;Lumikeiju;;;;;;
Usva;1;;;2006;Marko Hautala;Minä perhonen, sinä Morfeus;;;;;;
Usva;3;;;2008;Marko Hautala;Pyövelin paradigma;;;;;;
Usva;2;;;2007;Tuula Hautala;Rat Masterson;;;;;;
Usva;4;;;2006;Juhani Havukainen;Yksi säde aurinkoa;;;;;;
Usva;2;;;2010;Akseli Heikkilä;Minulla on rock-juttu kirjoitettavana;;;;;;
Usva;1;;;2014;Katariina Heikkilä;Vinnametsän varjo;;;;;;
Usva;1;;;2015;Mervi Heikkilä;Kuusi on minun puuni;;;;;;
Usva;2;;;2015;Mervi Heikkilä;Verikuu;;;;;;
Usva;2;;;2013;Minna Heimola;Kaikin keinoin;;;;;;
Usva;1;;;2016;Elina Hellsten;Taputtajat;;;;;;
Usva;3;;;2009;Saara Henriksson;Balaena Mysticetus;;;;;;
Usva;3;;;2013;Saara Henriksson;Merikuningas;;;;;;
Usva;4;;;2005;Saara Henriksson;Sininen elementti;;;;;;
Usva;1;;;2016;Saara Henriksson;Taivaallista musiikkia;;;;;;
Usva;4;;;2006;Saara Henriksson;Vuoren lapset;;;;;;
Usva;1;;;2016;Briitta Hepo-oja;Varvasneitsyt;;;;;;
Usva;3;;;2013;Heikki Hietala;Keinutuoli;;;;;;
Usva;1;;;2012;Heikki Hietala;Lähettäjät;;;;;;
Usva;3;;;2005;Irma Hirsjärvi;Viikonloppu maalla;;;;;;
Usva;2;;;2010;Jenni Hirvonen;Mykkä;;;;;;
Usva;4;;;2008;Boris Hurtta;Hevosenpäivä;;;;;;
Usva;1;;;2009;Boris Hurtta;Hiiden nahka;;;;;;
Usva;2;;;2008;Boris Hurtta;Järviämmän poika;;;;;;
Usva;1;;;2005;Boris Hurtta;Jäätalvi;;;;;;
Usva;1;;;2008;Boris Hurtta;Louhisaari;;;;;;
Usva;3;;;2009;Boris Hurtta;Vaitonainen sanantuoja;;;;;;
Usva;1;;;2013;Johanna Ikonen;Henkien tytär;;;;;;
Usva;1;;;2013;Johanna Ikonen;Näkijä;;;;;;
Usva;1;;;2013;Johanna Ikonen;Tuntureiden noita;;;;;;
Usva;4;;;2010;Marissa Janhunen;Kauniit vihreät pilvet;;;;;;
Usva;1;;;2015;Raita Jauhiainen;Allianssi;;;;;;
Usva;2;;;2007;Katariina Juntunen;Pohjavirtoja;;;;;;
Usva;3;;;2013;Juha Jyrkäs;Iski tulta Ismaroinen;;;;;;
Usva;2;;;2010;Tomi Jänkälä;Alaston salissa;;;;;;
Usva;3;;;2010;Tomi Jänkälä;Karmeat kannut;;;;;;
Usva;4;;;2009;Tomi Jänkälä;Keskikesällä Harri;;;;;;
Usva;2;;;2009;Tomi Jänkälä;Veden vangit;;;;;;
Usva;2;;;2012;Seppo Kallio;Rauhanyritykset;;;;;;
Usva;2;;;2006;Jenny Kangasvuo;Sudenkulku;;;;;;
Usva;1;;;2013;Camilla Kantola;Kenkälaatikon kirous;;;;;;
Usva;2;;;2016;Camilla Kantola;Muutoksia;;;;;;
Usva;1;;;2010;Jarmo Karonen;Amias Lembeckin antinomia;;;;;;
Usva;1;;;2006;Jarmo Karonen;Risti ja robotti;;;;;;
Usva;4;;;2009;Jarmo Karonen;Sovitus (kitaralle);;;;;;
Usva;1;;;2005;Jarmo Karonen;Usko, toivo, maailmankaikkeus;;;;;;
Usva;3;;;2010;Jussi Katajala;Asturias;;;;;;
Usva;3;;;2008;Jussi Katajala;Käärme leijonan varjossa;;;;;;
Usva;2;;;2008;Jussi Katajala;Maanviljelijän kahdeksan poikaa;;;;;;
Usva;2;;;2013;Jussi Katajala;Meidän varjomme;;;;;;
Usva;2;;;2009;Jussi Katajala;Noitanaisen älä anna elää;;;;;;
Usva;2;;;2007;Jussi Katajala;Vetehinen;;;;;;
Usva;2;;;2009;Katja Kaukonen;Täti;;;;;;
Usva;1;;;2015;Suvi Kauppila;Enkelien aneet;;;;;;
Usva;1;;;2014;Jenni Kauppinen;Varas ja varjo;;;;;;
Usva;4;;;2010;Rauha Kejonen;Mies ja hevonen;;;;;;
Usva;1;;;2015;Artemis Kelosaari;Pyhä Johannes Mätänemätön;;;;;;
Usva;2;;;2015;Artemis Kelosaari;Värise, värise, väärintekijä;;;;;;
Usva;2;;;2005;Katja Kivilahti;Ikiroudan tarinat;;;;;;
Usva;3;;;2010;Siria Kohonen;Yövieras;;;;;;
Usva;1;;;2015;Ari Kokkonen;Digitalisoituminen;;;;;raapale;
Usva;1;;;2015;Ari Kokkonen;Suljettu;;;;;raapale;
Usva;1;;;2015;Ari Kokkonen;Äiti;;;;;raapale;
Usva;1;;;2015;Inkeri Kontro;Huokaava talo;;;;;;
Usva;1;;;2016;Inkeri Kontro;Valkeita kuulaita;;;;;;
Usva;2;;;2015;Inkeri Kontro;Vierasta viljaa;;;;;;
Usva;2;;;2015;Eero Korpinen;Nisulan syvänteeltä;;;;;;
Usva;2;;;2013;Toni Koskelainen;Uudisraivaajat;;;;;;
Usva;2;;;2012;Markus Koskimies;Kun robotti puree, lyö tai räjähtää. Onko kotirobotin ostaminen turvallista?;;;;;;
Usva;3;;;2010;Markus Koskimies;Pirunmalja;;;;;;
Usva;1;;;2010;Markus Koskimies;Suojelusenkeli;;;;;;
Usva;4;b;;2010;Markus Koskimies;Vilukissa;;;;;;
Usva;1;;;2010;Juha-Pekka Koskinen;Kaidalle polulle;;;;;;
Usva;2;;;2005;Juha-Pekka Koskinen;Kirjailija joka ei koskaan julkaissut mitään;;;;;;
Usva;1;;;2007;Juha-Pekka Koskinen;Metsästäjät;;;;;;
Usva;2;;;2006;Juha-Pekka Koskinen;Sydänystävä;;;;;;
Usva;3;;;2009;Eini Kosonen;Vesi verta kirkkaampaa;;;;;;
Usva;3;;;2010;Saara Kuha;Keijukainen;;;;;;
Usva;4;;;2005;Aleksi Kuutio;Kylän vakain käsi;;;;;;
Usva;3;;;2009;Helena Kyllijoki;Muumiokukka;;;;;;
Usva;3;;;2009;Marita Kärkkäinen;Kylä;;;;;;
Usva;1;;;2008;Jukka Laajarinne;Viriliviri;;;;;;
Usva;1;;;2008;Anu Maaret Lahtinen;Vihreä palaa;;;;;;
Usva;1;;;2008;Petri Laine;Albedo nolla;;;;;;
