#Works;Title;Ed#;Publisher;Pubyear;Pubseries;Ps#;Translators;Misc
1;Rakkaani, kyyhkyläiseni;1;Otava;1961;;;Pentti Saarikoski;
1;Rakkaani, kyyhkyläiseni;3;Otava;1979;Kolmen tähden sarja;;Pentti Saarikoski;
2;Joku kaltaisesi;1;Otava;1970;;;Pentti Saarikoski;
1,2;Joku kaltaisesi & Rakkaani, kyyhkyläiseni;2;Suuri Suomalainen Kirjakerho;1971;;;Pentti Saarikoski;
13;Nahka ja muita novelleja;1;Otava;2007;Keskiyön kirjasto;4;Pentti Saarikoski;"Novellit ilmestyneet aikaisemmin kokoelmissa ""Rakkaani, kyyhkyläiseni"" ja ""Joku kaltaisesi"")."
3;Dyyni, ensimmäinen osa;1;WSOY;1982;Sci-fi -sarja;;Anja Toivonen;
3;Dyyni, toinen osa;1;WSOY;1983;Sci-fi -sarja;;Anja Toivonen;
3;Dyyni, kolmas osa;1;WSOY;1983;Sci-fi -sarja;;Anja Toivonen;
4;Anubiksen portit I;1;Kirjayhtymä;1992;Kirjayhtymän science fiction -sarja;;Jukka Jääskeläinen;
4;Anubiksen portit II;1;Kirjayhtymä;1993;Kirjayhtymän science fiction -sarja;;Jukka Jääskeläinen;
5,6,7;Tripodien aika 1-3;1;WSOY;1987;;;Antti Mäyrälä;
8,9,10;Pimeä nousee I-III;3;WSOY;2009;;;Kristiina Rikman;
11,12;Pimeä nousee IV-V;3;WSOY;2009;;;Kristiina Rikman;
14;Ikuinen kaupunki I;1;Otava;1901;Otavan romaanisarja;11;Aune Malmberg;
14;Ikuinen kaupunki II;1;Otava;1902;Otavan romaanisarja;11;Aune Malmberg;
14;Ikuinen kaupunki III;1;Otava;1902;Otavan romaanisarja;11;Aune Malmberg;
14;Ikuinen kaupunki IV;1;Otava;1902;Otavan romaanisarja;11;Aune Malmberg;
14;Ikuinen kaupunki;2;Otava;1909;;;Aune Malmberg;3 osaa yhtenä niteenä
14;Ikuinen kaupunki;3;Otava;1926;Otavan romaanisarja;11;Aune Malmberg;Tarkistettu suomennos
15,16;1Q84, osat 1-2;1;Tammi;2013;Keltainen kirjasto;444;Aleksi Milonoff;Suomennettu englannista
17;1Q84, osa 3;1;Tammi;2013;Keltainen kirjasto;448;Aleksi Milonoff;Suomennettu englannista
18;Narrenturm, osa 1;1;WSOY;2018;;;Tapani Kärkkäinen;
18;Narrenturm, osa 2;1;WSOY;2019;;;Tapani Kärkkäinen;
19;Thelma I;1;Karisto;1915;Kariston 50 p:n romaaneja;51;Jalmari Sauli;
19;Thelma II;1;Karisto;1915;Kariston 50 p:n romaaneja;52;Jalmari Sauli;
19;Thelma III;1;Karisto;1915;Kariston 50 p:n romaaneja;53;Jalmari Sauli;
