Magazine;;;;Publisher;
Name;issn;link;;Name;Fullname
Aikacon '94 -lehti;;;;;
Aikakone;0358-6685;https://www.aikakone.org/;;Aikakone ry;
Aikalisä;;;;;
Alienisti;1236-0449;http://scifi42.fi/alienisti/;;Jyväskylän Science Fiction Seura 42 ry;
Biblia Pauperum;;;;;
Blimp Attack;;;;;
Druid's Tales;;;;;
Enhörningen;0785-2509;https://enhorningen.net/;;Ben Roimola;
Escape;;;;Espoon science fiction- ja fantasiaseura ESC ry;
Finncon -lehti;;;;Finncon-yhdistys ry;
Feast of Friends;;;;;
Finnish Science Fiction;;;;;
FinnZine;1236-0449;;;Tieteiskulttuuriyhdistys;
Galaxikukko;;;;;
Greenleaf;;;;;
Hobittilan sanomat;;https://suomentolkienseura.fi/lehdet/hobittilan-sanomat/;;Suomen Tolkien-seura Kontu ry;
Ikaros;0782-6052;;;Jyrki Ijäs;
Jäkäl'aarre;;;;Lahden Science Fiction Seura;
Kinos;;http://www.urs.fi/index.php?c=pub#snow;;Tuomas Saloranta;
Kalaksikukko;;http://kalaksikukko.blogspot.com/;;Kuopion Science Fiction Seura;
Kosmoskynä;0785-2517;https://www.kosmoskyna.net/;;Suomen tieteis- ja fantasiakirjoittajat ry;
Kosmospenaali;;;;;
Kuiskaus pimeässä;2242-9506;https://lovecraftseura.net/kuiskaus-pimeassa/;;H. P. Lovecraft – Historiallinen seura ry;
Kuolleen silmät;;;;;
Kultakuoriainen;1799-9863;http://www.urs.fi/index.php?c=pub;;Uusrahvaanomainen spekulatiivinen fiktio;
Kvasaari;;;;;
Legolas;0785-2517;https://suomentolkienseura.fi/lehdet/legolas/;;Suomen Tolkien-seura Kontu ry;
Marvin the Lehti;1235-4007;https://hysfk.fi/fi/marvin-the-lehti/;;Helsingin yliopiston science fiction klubi ry.;
Matrixx;;;;;
Mundane;;;;;
Mustainmaan Sotahuuto;;;;Hautakero Smial;
Mytago;;;;Polaris - Oulun sf-seura;
Nikkone;;;;;
Outpost;;;;Teknillisen korkeakoulun alayhdistys Spock's HUT;
Pandemonia;;;;Jussi Vainikainen;
Portti;0359-114X;http://www.sci.fi/~portti/index.php;;Tampereen Science Fiction Seura ry;
Puska;;http://www.urs.fi/index.php?c=pub#bush;;Tuomas Saloranta ja Venla Lintunen;
Pulsari;;;;Juha Keränen;
Sex Noveller;;;;Wanhain Herrain Tieteiskirjallisuuden Nautiskelu Huone;
Spin;0785-2851;http://www.tsfs.fi/?spin.html;;Turun Science Fiction Seura ry;
Terminus est;;;;;
Time and Space;;;;;
Time & Space erillisjulkaisu;;;;Helsingin Science Fiction Seura;
Tähtivaeltaja;0781-271X;https://tahtivaeltaja.com/;;Helsingin Science Fiction Seura ry;
Ursula;2243-1608;https://osuuskumma.fi/julkaisut/ursula/;;Osuuskumma-kustannus;
Usva;1795-6242;https://usvazine.net/;;Anne Leinonen;
Uusrahvaanomaisia tarinoita;1799-621X;http://www.urs.fi/index.php?c=pub;;Uusrahvaanomainen spekulatiivinen fiktio;
Vapaa galaksi;;;;Tähtiallianssi - Suomen tähtien sota -seura;
Writerzine;;;;;
Ydinluu;;;;;
Zig-Zug;;;;;
