creator_str,title,misc,imported_string
"Aalto, Kari",Mustalaisnaamio,". Pelastakaa kansanedustaja Makkonen.","
<b>Mustalaisnaamio</b>. Pelastakaa kansanedustaja Makkonen. Nordbooks 2010. [F]."
"Ackroyd, Peter",Hawksmoor,".  Jälkisanat Juha Vakkuri. Weilin+Göös'n Kirjasto.","
<b>Hawksmoor</b>. (Hawksmoor, 1985). Suom Anja Haglund ja Erkki Haglund. Jälkisanat Juha 
Vakkuri. Weilin+Göös'n Kirjasto. Weilin+Göös 1987. [F]."
"Alamikkula, Jaakko","Praedor - Koston kukkulat",". Kuvitus Petri Hiltunen.","
<b>Praedor - Koston kukkulat</b>. Kuvitus Petri Hiltunen. Vaskikirjat 2017. [F]."
"Apollinaire, Guillaume","Mätänevä velho",".  Runojen suomennos Kristian Blomberg ja Ismo Puhakka.","
<b>Mätänevä velho</b>. (L'Enchanteur pourrissant, 1909). Suom Riikka Mahlamäki. 
Runojen suomennos Kristian Blomberg ja Ismo Puhakka. Like 2004. [F]."
"Asimov, Isaac & Silverberg, Robert","Yö saapuu",". ja","
<b>Yö saapuu</b>. (Nightfall, 1990). Suom Sari Kallioinen ja Anita Puumalainen. FAN-sarja. WSOY 1994. [SF]."
"Bachman, Richard",Kirous,".  Romanikieliset repliikit: Henkka.","

<b>Kirous</b>. (Thinner, 1985). Suom Hannu Antila. Romanikieliset repliikit: Henkka. Tammi 1997. [K]. "
"Barker, Clive","Veren kirjat 1",ja,"

<a href=""novkok/bar-v1.htm"">
<b>Veren kirjat 1</b></a>. (Clive Barker's Books of Blood vol. 1, 1984). Suom 
Ulla Selkälä ja Ilkka Äärelä. Jalavan kauhusarja 3. Kustannus Oy Jalava 1989. [K,kok]."
"Barker, Clive","Veren kirjat 2",ja,"

<a href=""novkok/bar-v2.htm"">
<b>Veren kirjat 2</b></a>. (Clive Barker's Books of Blood vol. 2, 1984). Suom 
Ulla Selkälä ja Ilkka Äärelä. Jalavan kauhusarja 8. Kustannus Oy Jalava 1990. [K,kok]."
"Barker, Clive","Veren kirjat 3",ja,"

<a href=""novkok/bar-v3.htm"">
<b>Veren kirjat 3</b></a>. (Clive Barker's Books of Blood vol. 3, 1984). Suom 
Ulla Selkälä ja Ilkka Äärelä. Jalavan kauhusarja 14. Kustannus Oy Jalava 1991. [K,kok]."
"Barker, Clive","Veren kirjat 5",ja,"

<a href=""novkok/bar-v5.htm"">
<b>Veren kirjat 5</b></a>. (Clive Barker's Books of Blood vol. 5, 1985). Suom 
Ulla Selkälä ja Ilkka Äärelä. Kustannus Oy Jalava 1993. [K,kok]."
