Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Finnzine;2;;;2004;Laaksonen, Hannu;yoshitoshi ABe;Anime;
Finnzine;2;;;2001;Oikarinen, Antti;Douglas Adams 1952-2001;;Adams, Douglas
Finnzine;3;;;1997;Sirkiä, Pekka;Ensimmäinen askel -toivottavasti;;Ahonen, Marko
Finnzine;4;;;1993;Sirkiä, Pekka;Marko Ahonen - tuleva tekijä!!!;;Ahonen, Marko
Finnzine;1;;;2001;Lappalainen, Markku;Anime-hoitoa science fiction -puutokseen;Anime, Science fiction;
Finnzine;3;;;2005;Lappalainen, Markku;Ghost in the Shell 2: Innocence;Anime, Elokuvat;
Finnzine;3;;;2007;Lappalainen, Markku;Tekkonkinkreet;Anime, Elokuvat;
Finnzine;2;;;1992;Sirkiä, Pekka;Voice of America on Asimov;;Asimov, Isaac
Finnzine;2;;;1997;Herranen, Henrik;Babylon 5 ;Babylon 5, Televisio;
Finnzine;2;;;1997;Soikkeli, M.G.;Babylon 5 - avaruusoopperan timatti vai tuhkat?;Babylon 5, Televisio;
Finnzine;3;;;1997;Herranen, Henrik;Ja taivas täynnä tähtiä;Babylon 5, Televisio;
Finnzine;4;;;1997;Elo, Eija;"""Vain kesyt linnut kaipaavat - villit lentävät";Babylon 5, Televisio;
Finnzine;3;;;1997;Soikkeli, M.G.;Crash!;;Ballard, J(ames) G(raham)
Finnzine;2;;;2000;Oikarinen, Antti;Baxter-files;;Baxter, Stephen
Finnzine;2;;;1994;Oikarinen, Antti;Laatupari Amerikasta;;Benford, Gregory & Swanwick, Michael
Finnzine;2;;;2001;Mölläri, Pekka;Douglas Adams bibliografia;;Adams, Douglas
Finnzine;4;;;1994;Niiranen, S.K.;C.J. Cherryh bibliografia;;Cherryh, C.J.
Finnzine;2;;;2004;Anonyymi;Robin Hobb bibliografia;;Hobb, Robin & Lindholm, Megan
Finnzine;2;;;2001;Anonyymi;Tove Jansson bibliografia;;Jansson, Tove
Finnzine;4;;;2006;Hurtta, Boris;Kari Nenonen bibliografia;;Nenonen, Kari
Finnzine;2;;;2000;Mölläri, Pekka;Johanna Sinisalo bibliografia;;Sinisalo, Johanna
Finnzine;1;;;1997;Salin, Petri;Kaikki tai ei mitään;;Borges, Jorge Luis
Finnzine;4;;;1997;Koponen, Jari;Tapaus Bruun;;Bruun, Staffan
Finnzine;4;;;1994;Niiranen, S.K.;C.J. Cherryh: Tekno/romantiikkaa;;Cherryh, C.J.
Finnzine;1;;;1994;Sirkiä, Matti;Aikacon 94;Conit Suomessa, Aikacon;
Finnzine;2;;;1994;Supinen, Pekka;Faarao puhui kännykkään Jyväskylän Kesän tietoverkossa;Tapahtumat Suomessa;
Finnzine;2;;;1992;Hirsjärvi, Irma;Fantastinen Jyväskylän Kesä;Tapahtumat Suomessa;
Finnzine;3;;;2006;Oikarinen, Antti;Finncon 2006 - Hämmentävä spektaakkeli, paljon ihmisiä ja kissankorvia sekä huonoja vitsejä eli Röpötysraportin poika;Conit Suomessa, Finncon;
Finnzine;3;;;2007;Soikkeli, M.G.;Finncon 2007 - Sadetta ja suuria vieraita;Conit Suomessa, Finncon;
Finnzine;3;;;2008;Soikkeli, M.G.;Finncon 2008 Tampereella;Conit Suomessa, Finncon;
Finnzine;2;;;1995;Sarmavuori, Katri;Finncon 95;Conit Suomessa, Finncon;
Finnzine;3;;;1997;Oikarinen, Antti;Finncon 97;Conit Suomessa, Finncon;
Finnzine;3;;;1993;Sirkiä, Matti;Finncon kuva kuvalta;Conit Suomessa, Finncon;
Finnzine;3;;;1993;Sarmavuori, Katri;Finncon äidinkielen opetustieteen kannalta;Conit Suomessa, Finncon;
Finnzine;1;;;2001;Anonyymi;Finncon-Baltcon 14.-15.7.2001;Conit Suomessa, Finncon;
Finnzine;2;;;1996;Mölläri, Pekka;Huviretki tienpientareelle;Tapahtumat Suomessa;
Finnzine;3;;;2001;Oikarinen, Antti;Jyväskylän jälkipelit;Conit Suomessa, Finncon;
