Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Finnzine;1;;;2007;Erkki, Harri;Loppuunmyynti! Loppuunmyynti!;;;;;;
Finnzine;2;;;2006;Erkki, Harri;Taivaan lahja;;;;;;
Finnzine;2;;;2004;Haarikko, Harri;Golem;;;;;;
Finnzine;1;;;2008;Havukainen, Juhani;Pääsäännöt;;;;;;
Finnzine;4;;;2006;Heikkinen, T.;Släsh!;;;;;;
Finnzine;4;;;2007;Henriksson, Saara;Mariusta etsimässä;;;;;;
Finnzine;2;;;2008;Henriksson, Saara;Meritähdet;;;;;;
Finnzine;1;;;2002;Hiekkala, Jukka;Valoa nopeampi mies;;;;;;
Finnzine;4;;;2006;Hietala, Jukka;Kuuasema Paradise;;;;;;
Finnzine;2;;;2005;Hietala, Jukka;Mies joka ampui Karl Marxin;;;;;;
Finnzine;2;;;2003;Huhtakallio, Juha;Planeettaimuri;;;;;;
Finnzine;2;;;2003;Huhtakallio, Juha;Professori Emil Watkinson;;;;;;
Finnzine;2;;;2003;Huhtakallio, Juha;Pää täyteen;;;;;;
Finnzine;4;;;1999;Hurtta, Boris;Berserkki eli miten sain lapsenuskoni takaisin;;;;;;
Finnzine;4;;;2004;Hurtta, Boris;Hänen veljensä Ismael;;;;;;
Finnzine;3;;;2003;Hurtta, Boris;Kultainen lumi;;;;;;
Finnzine;1;;;2004;Hyttinen, Pia;Runoja;;;;runo;;
Finnzine;1;;;2005;Hämäläinen, Toni;Kalalla;;;;;;
Finnzine;1;;;2005;Karonen, Jarmo;Descartes Jumalan edessä;;;;;;
Finnzine;4;;;1992;Kouta, J.;Mustaa satiinia;;;;;;
Finnzine;4;;;2008;Laine, Petri;Hyväntekijä;;;;;;
Finnzine;4;;;2005;Laine, Petri;Juhon kaukoputki;;;;;;
Finnzine;1;;;2006;Laine, Petri;Kun viimeinen lehti putoaa;;;;;;
Finnzine;3;;;2000;Laine, Petri;Laupeudellakin on rajansa;;;;;;
Finnzine;1;;;2001;Laine, Petri;Palvelus                                    ;;;;;;
Finnzine;2;;;2002;Laine, Petri;Siipirikko;;;;;;
Finnzine;1;;;2001;Laine, Petri;Takki;;;;;;
Finnzine;2;;;2003;Laine, Petri;Vihasta ja rakkaudesta;;;;;;
Finnzine;4;;;2003;Laine, Petri & Leinonen, Anne;Me uneksimme merestä;;;;;;
Finnzine;1;;;2008;Lattu, Jaakko;TPG;;;;;;
Finnzine;1;;;2007;Lehtonen, Mauri;Surrealistisia scifi-runoja;;;;runo;;
Finnzine;4;;;2001;Leinonen, Anne;Sankarit eivät kulje junissa;;;;;;
Finnzine;3;;;2003;Miettinen, J.K.;Alter Ego;;;;;;
Finnzine;1;;;2004;Miettinen, J.K.;Cowgirl Blues;;;;;;
Finnzine;2;;;2005;Miettinen, J.K.;Näyttely;;;;;;
Finnzine;1;;;2000;Mäntylä, Iiris;Koe-eläimet;;;;;;
Finnzine;1;;;2003;Nieminen, Arto;Kaukaa taivaanrannasta...;;;;;;
Finnzine;3;;;2005;Nieminen, Arto;Molekylimies seikkailee - osa 1;;;;;;
Finnzine;3;;;2005;Nieminen, Arto;Molekylimies seikkailee - osa 2;;;;;;
Finnzine;4;;;1995;Nikulainen, Kalevi;Lintu oksalla;;;;runo;;
Finnzine;4;;;1995;Nikulainen, Kalevi;Perhonen;;;;runo;;
Finnzine;4;;;1995;Nikulainen, Kalevi;Säikeitä jalopuujäljitelmällä;;;;runo;;
Finnzine;3;;;1995;Pakonen, Pii;Huntupyrstö;;;;;;
Finnzine;4;;;2007;Salin, Petri;Auguurit;;;;;;
Finnzine;1;;;2000;Salin, Petri;Binäärisonetti;;;;;;
Finnzine;2;;;2001;Salin, Petri;Elegia Janukselle;;;;;;
Finnzine;4;;;2005;Salin, Petri;Faustuksen kiusaus;;;;;;
Finnzine;3;;;2008;Salin, Petri;Gastronautit;;;;;;
Finnzine;4;;;2004;Salin, Petri;Jälkeen Rubiconin;;;;;;
Finnzine;1;;;1997;Salin, Petri;Kallis prinssi - sinut enkelien joukot lepoon laulakoot;;;;;;
Finnzine;1;;;2004;Salin, Petri;Kuninkaan kootut hulluudet;;;;;;
Finnzine;2;;;2007;Salin, Petri;Metsämiehen tarina;;;;;;
Finnzine;2;;;2002;Salin, Petri;Mies Stratfordista;;;;;;
Finnzine;3;;;1996;Salin, Petri;4 viestiä eläville;;;;;;
Finnzine;4;;;2008;Salin, Petri;Pieniä maailmanloppuja;;;;;;
Finnzine;2;;;2005;Salin, Petri;Talviyön uni;;;;;;
Finnzine;2;;;2003;Salin, Petri;Vader-fragmentteja;;;;;;
Finnzine;4;;;2000;Salin, Petri;Valtio;;;;;;
Finnzine;1;;;1999;Salin, Petri;Yön kynttilät;;;;;;
Finnzine;3;;;2004;Salminen, Katja;Frankensteinin sylissä;;;;;;
Finnzine;2;;;2002;Salminen, Katja;Isän mustasukkaisuudesta;;;;;;
Finnzine;2;;;2007;Salminen, Katja;Joukkoliikenteen jumala;;;;;;
Finnzine;3;;;2001;Salminen, Katja;Ladies only;;;;;;
Finnzine;4;;;2003;Salminen, Katja;Syvän mustaa ja kovin punaista;;;;;;
Finnzine;1;;;2005;Salminen, Katja;Vahva kuin kivi ja kallio;;;;;;
