Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Ikaros;2;;;1986;Ijäs, Jyrki;Brian W. Aldiss - Finnconin kunniavieras;;Aldiss, Brian W.
Ikaros;1;;;1988;Ijäs, Jyrki;J.G. Ballard;;Ballard, J(ames) G(raham)
Ikaros;1;;;1988;Ijäs, Jyrki;J.G. Ballard bibliografia;;Ballard, J(ames) G(raham)
Ikaros;3;;;1987;Ijäs, Jyrki;Arthur C. Clarke bibliografia;;Clarke, Arthur C.
Ikaros;2;;;1986;Hinkkanen, Juhani;Frank Herbert bibliografia;;Herbert, Frank
Ikaros;1;;;1986;Hinkkanen, Juhani;Theodore Sturgeon bibliografia;;Sturgeon, Theodore
Ikaros;3;;;1987;Ijäs, Jyrki;Arthur C. Clarke;;Clarke, Arthur C.
Ikaros;2;;;1988;Ijäs, Jyrki;Eurocon XIII eli sinne ja takaisin;Eurocon, Fandom, Conit ulkomailla, Unkari;
Ikaros;2;;;1987;Ijäs, Jyrki;Harlan Ellison;;Ellison, Harlan
Ikaros;3;;;1986;Ijäs, Jyrki;Georges Melies - tieteiselokuvan keksijä;Elokuvat, Georges Méliès;
Ikaros;1;;;1986;Ijäs, Jyrki;Hugo Gernsback - sf-lehtien isä;Lehdet, Sf-lehdet, Hugo Gernsback;
Ikaros;2;;;1986;Hinkkanen, Juhani;Frank Herbert 1920-1986;;Herbert, Frank
Ikaros;1;;;1986;Hinkkanen, Juhani;Theodore Sturgeon 1918-1985;;Sturgeon, Theodore
Ikaros;1;;;1987;Ijäs, Jyrki;Chelsea Quinn Yarbro;;Yarbro, Chelsea Quinn
