Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Ikaros;3;;;1987;Ackerman, Forrest J.;Atomigeddon 2419 A.D.;;1973;Ijäs, Jyrki;;;
Ikaros;3;;;1987;Ackerman, Forrest J.;Kosminen koulutodistus;Cosmic Report Card: Earth;1973;Ijäs, Jyrki;;;
Ikaros;3;;;1987;Ackerson, Duane;Lappu maailmankaikkeuden lopussa;Sign at the End of the Universe;1974;Ijäs, Jyrki;;;
Ikaros;2;;;1987;Aldiss, Brian;Oman aikansa mies;The Man in His Time;1966;Rekunen, Veikko;;;
Ikaros;2;;;1986;Aldiss, Brian;Pelkkä elämän hahmo;Appearence of Life;1976;Rekunen, Veikko;;;
Ikaros;2;;;1986;Aldiss, Brian;Pikku soturiparka!;Poor Little Warrior;1958;Markkula, Pekka;;;
Ikaros;2;;;1986;Aldiss, Brian;Töissä avaruustelakalla;Working in the Spaceship Yards;1968;Rekunen, Veikko;;;
Ikaros;4;;;1987;Ballard, J(ames) G(raham);Aikapuutarha;The Garden of Time;1962;Sipilä, Seppo;;;
Ikaros;1;;;1988;Ballard, J(ames) G(raham);Ajan pyörteitä;Time of Passage;1967;Sipilä, Seppo;;;
Ikaros;1;;;1988;Ballard, J(ames) G(raham);Hukkunut jättiläinen;The Drowned Giant;1964;Sipilä, Seppo;;;
Ikaros;1;;;1988;Ballard, J(ames) G(raham);Viimeinen ranta;The Terminal Beach;1964;Sipilä, Seppo;;;
Ikaros;4;;;1986;Reginald Bretnor;Tri Lintuhiiri;Dr. Birdmouse;1962;Markkula, Pekka;;;
Ikaros;3;;;1987;Clarke, Arthur C.;Tähti;The Star;1955;Sipilä, Seppo;;;
Ikaros;3;;;1986;Cobo, Manuel;Onnellinen maissi;Fausto vegetal;;Virtanen, Pekka;;;
Ikaros;3;;;1987;Deeley, Roger;Lyhin koskaan kerrottu science fiction tarina;The Shortest Science-Fiction Story Ever Told;1972;Ijäs, Jyrki;;;
Ikaros;3;;;1986;Dek, Liven;Minne menet, vanhus;Kien vi iras, maljunulo;;Virtanen, Pekka;;;
Ikaros;1;;;1987;Dek, Liven;Rust;Rust;1983;Virtanen, Pekka;;;
Ikaros;2;;;1988;Ellison, Harlan;Kirppukasa;Eggsucker;1977;Sipilä, Seppo;;;
Ikaros;2;;;1987;Ellison, Harlan;Poika ja hänen koiransa;A Boy and His Dog;1969;Sipilä, Seppo;;;
Ikaros;1;;;1986;Gaku, Konisi;Maanalainen paratiisi;La Subtera Elizeo;1964;Virtanen, Pekka;;;
Ikaros;3;;;1986;Harrison, Harry;Ashkelonin kadut;Streets of Ashkelon;1962;Rekunen, Veikko;;;
Ikaros;2;;;1986;Herbert, Frank;Siemenvarasto;Seed Stock;1970;Rekunen, Veikko;;;
Ikaros;2;;;1986;Lundwall, Sam J.;Varokaa vierasta planeettaa;Varning för okänd planet;;Ingström, Göran;;;
Ikaros;1;;;1987;Nemere, Istvan;Paljastuminen;Malkaso;1983;Virtanen, Pekka;;;
Ikaros;2;;;1986;Nemere, Istvan;Shakkimatti;Mato;1984;Virtanen, Pekka;;;
Ikaros;1;;;1986;Poe, Edgar Allan;Eiroksen ja Charmionin keskustelu;The Conversation of Eiros and Charmion;1839;Ijäs, Jyrki;;;
Ikaros;1;;;1987;Pohl, Frederik;Suurkuluttaja;The Man Who Ate the World;1956;Sipilä, Seppo;;;
Ikaros;3;;;1986;Pohl, Frederik;Vaeltelevien herttuoiden päivä;The Day of the Boomer Dukes;1956;Turunen, Pertti;;;
Ikaros;3;;;1987;Renner, Jeff;Lyhin koskaan kirjoitettu science fiction rakkaustarina;The Shortest Science Fiction Love Story Every Written;1964;Ijäs, Jyrki;;;
Ikaros;1;;;1986;Sturgeon, Theodore;Muistomerkki;Memorial;1946;Rekunen, Veikko;;;
Ikaros;3;;;1987;Wellen, Ed;Jos Eeva olisi jäänyt tulematta raskaaksi;If Eve Had Failed to Conceive;1974;Ijäs, Jyrki;;;
Ikaros;3;;;1987;Wellen, Ed;Miksi Booth ei ampunut Lincolnia?;Why Booth Didn't Kill Lincoln;1974;Ijäs, Jyrki;;;
Ikaros;4;;;1987;Westlake, Donald E.;Voittaja;The Winner;1970;Sappinen, Jorma-Veikko;;;
Ikaros;1;;;1987;Yarbro, Chelsea Quin;Valheellinen sarastus;False Dawn;1972;Turunen, Pertti;;;
Ikaros;4;;;1986;Yep, Laurence;Lasimeren näkymiä;Looking-Glass Sea;1972;Turunen, Pertti;;;
Ikaros;2;;;1986;Elo, Eija;Iskelmähetki Barstowin planeetalla;;;;;;
Ikaros;2;;;1988;Elo, Eija;Muukalaiset, jotka eivät osanneet englantia;;;;;;
Ikaros;1;;;1986;Elo, Eija;Zanzibarin kissat;;;;;;
Ikaros;1;;;1987;Johansson, Nils;Tutkijan kohtalo;;;;;;
Ikaros;1;;;1986;Karlsson, Risto;Sotavaltias;;;;;;
Ikaros;2;;;1988;Laatikainen, Arto;Kun ilta hämärtyy;;;;;;
Ikaros;4;;;1987;Laatikainen, Arto;Mistä on pienet vihreät miehet tehty?;;;;;;
Ikaros;3;;;1986;Laatikainen, Arto;Yksin;;;;;;
Ikaros;4;;;1986;Leppänen, Kari;Decima Tauri III;;;;;;
Ikaros;1;;;1987;Leppänen, Kari;Genesis Extraterrestris;;;;;;
Ikaros;3;;;1986;Markkula, Pekka;Ihan oikea tähtien sota;;;;;;
Ikaros;1;;;1986;Rekunen, Veikko;Kuinka avaruusalus varastetaan;;;;;;
Ikaros;4;;;1986;Rekunen, Veikko & Virtanen, Pekka;Kuun suudelma;;;;;;
Ikaros;2;;;1987;Roimola, Ben;Maassa maan tavalla;;;;;;
Ikaros;4;;;1986;Salminen, Juha;Viimeinen sota;;;;;;
Ikaros;2;;;1987;Saneri, Kimmo;Polyphyneen miekka;;;;;;
Ikaros;3;;;1986;Tuohino, Jukka;Kielletty aika;;;;;;
Ikaros;1;;;1986;Virtanen, Pekka;La rimppa raske - eli ruotsiksi valhe on lögn;;;;;;
Ikaros;3;;;1986;Virtanen, Pekka;Rakastunut planeetta;;;;;;
