Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Legolas;;;12;1995;Altmann, Jens H.;Yksisarviskeikka;The Unicorn Contract;1994;Ronni, Tapani;;;
Legolas;;;20;2000;Kennington, Alan;Kaksinverroin ritarillinen;Twice Knightly;1936;Vinni, Päivi;;;
Legolas;;;22;2001;Lalaith;Eilisiltana Dushgoissa;Last Night at Dushgoi;1995;Vainikainen-Uusitalo, Johanna;;;
Legolas;;;46;2009;Le Guin, Ursula K.;Dira;Dira;1984;;;;
Legolas;;;31;2004;Lindholm, Megan;Keijujen äiti;Mother of Fey;2004;Leikomaa, Marianne;;;
Legolas;;;26;2003;Miéville, China;Jaken jäljillä;Looking for Jake;1999;Halme, Jukka;;;
Legolas;;;11;1994;Partington, Jonathan R.;Tolkienin yksityiselämä;;;Polvinen, Sari;;;
Legolas;;;51;;Pratchett, Terry;Peikkosilta;Troll Bridge;1992;;;;
Legolas;;;43;2008;Rosenbaum, Benjamin;Rauhan kaupunki;The City of Peace;2003;;;;
Legolas;;;38;2006;Rosenbaum, Benjamin;Valkoinen kaupunki;The White City;2002;Halme, Jukka;;;
Legolas;;;19;2001;Schimel, Lawrence;Homoemo;Fag Hag;1996;Vinni, Päivi;;;
Legolas;;;21;2000;Schimel, Lawrence;Silmä silmästä, hammas hampaasta;An Eye for an Eye, a Tooth for a Tooth;1994;Vinni, Päivi;;;
Legolas;;;52;;Valente, Catherynne M.;Brooklynin sudet;The Wolves of Brooklyn;2011;;;;
Legolas;;;40;2006;VanderMeer, Jeff;Kuun kartanot (Varoittava kertomus);Mansions of the Moon (A Cautionary Tale);2001;Niskanen, Lauri;;;
Legolas;;;8;1993;Ahonen, Marko;Jatkosodan ihme;;;;;;
Legolas;;;26;2003;Anttila, Akseli;Apurahaa hakemassa eli miksei kannata palkata lukihäiriöistä apulaista;;;;;;
Legolas;;;33;2004;Bainton, Benjamin;Varjoteatteri;;;;;;
Legolas;;;17;1998;Eskola, Kari;Noita Incounu ja Vaeltava Yksisarvinen;;;;;;
Legolas;;;16;1998;Eskola, Kari;Noita Incounu Usvien maassa;;;;;;
Legolas;;;50;2012;Hellsten, Saija;Kaiken hyvän puolesta;;;;;;
Legolas;;;32;2004;Fihlman, Oskari;Valtakunta;;;;runo;;
Legolas;;;32;2004;Fihlman, Oskari;Kaksitoista kuuta;;;;runo;;
Legolas;;;48;2010;Harju, Markus;Syksyn riitti;;;;;;
Legolas;;;1;1991;Hirsjärvi, Irma;Silmät;;;;;;
Legolas;;;2;1992;Hurtta, Boris;Pestuupäivä;;;;;;
Legolas;;;26;2003;Ikola, Maria Catharina;Kanelipitkotrilogia;;;;;raapale;
Legolas;;;27;2003;Ikola, Maria Catharina;Viesti luolassa;;;;;raapale;
Legolas;;;32;2004;Ikola, Maria Catharina;Viesti luolassa;;;;;raapale;
Legolas;;;47;2009;Ikonen, Johanna;Hopeajoutsen;;;;;;
Legolas;;;26;2003;Kaituri, Tommi;Vompula;;;;;;
Leolas;;;40;2006;Kaunisto, Mikko;Durum-Durum;;;;;;
Legolas;;;14;1997;Kivelä, Marko;Soittajan tarina;;;;;;
Legolas;;;27;2003;Kontro, Aino;Ensimmäinen meidän suvusta;;;;;;
Legolas;;;22;2001;Lauronen, Mika-Petri;Kuoleman rakkaus;;;;;;
Legolas;;;9;1993;Lauronen, Mika-Petri;Muutos;;;;;;
Legolas;;;15;1997;Lauronen, Mika-Petri;Prinsessan kirous;;;;;;
Legolas;;;38;2006;Leppä, Elli;Metsän-Iita;;;;;;
Legolas;;;11;1994;Leppänen, Erkka;Vanha ja uusi örkkikenraali;;;;;;
Legolas;;;11;1994;Leppänen, Erkka;Örkit ja haltia;;;;;;
Legolas;;;11;1994;Leppänen, Erkka;Örkkipäällikön uusi haarniska;;;;;;
Legolas;;;3;1992;Lähde, Ville;Neljäs aika;;;;;;
Legolas;;;12;1995;Maaranen, Veli;Piru söe;;;;;;
Legolas;;;34;2005;Miettinen, J.K.;Tuhatvuotias puu;;;;;;
Legolas;;;41;2006;Määttä, Heli;Mänty;;;;;;
Legolas;;;35;2005;Nevala, Heikki;Harmistuksen paluu;;;;;;
Legolas;;;4;1992;Nieminen, Mika P.;Kaksi bardia;;;;;;
Legolas;;;42;2007;Ohinmaa, Anna;Ennustajaeukko;;;;;;
Legolas;;;1;1991;Oikarinen, Antti;Velho ja barbaari eli ei rahtuakaan miekkaa ja magiaa;;;;;;
Legolas;;;39;2006;Peltonen, Ella;Carnén linnut;;;;;;
Legolas;;;30;2004;Rasimus;Vapaat vedet;;;;;;
Legolas;;;52;;Rasimus, Konsta;Joulutarina;;;;;;
Legolas;;;47;2009;Saari, Antero;Melankoolit ja Hymykettu;;;;;;
Legolas;;;29;2003;Salminen, Katja;Ei tule toista rakkautta;;;;;;
