Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Mytago;;;3;1993;Lauronen, Mika-Petri;Lord Dunsany bibliografia;;Dunsany, Lord
Mytago;;;3;1993;Lauronen, Mika-Petri;Lordi Dunsany - runoilija ja urheilija;;Dunsany, Lord
Mytago;;;4;1993;Lauronen, Mika-Petri;Oulu scifikaupunkina;Fandom, sf-seurat;
Mytago;;;3;1993;Jerrman, Toni;Science fiction on mustaa nahkaa ja niittejä - nyky;Fandom, sf-seurat;
Mytago;;;3;1993;Lauronen, Mika-Petri;Lovecraftin fantasiat;;Lovecraft, H(oward) P(hillips)
Mytago;;;2;1992;Ervasti, Eeva-Riitta & Ervasti, Liisa;Elämää metsässä eli roolipeliharrastajien tempauksia;Roolipelit;
Mytago;;;2;1992;Hepo-oja, Risto & Lauronen, Mika-Petri;Kevyesti Keskimaassa;Sekalaista;
Mytago;;;4;1993;Järvensivu, Pertti;Scifiharrastajan rahareiät Oulussa;Sekalaista;
Mytago;;;4;1993;Lauronen, Mika-Petri;Kevään lehdet;Lehdet;
Mytago;;;7;1995;Anonyymi;Kevyesti Keskimaassa, osa 2;Sekalaista;
