Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Mytago;;;3;1993;Dunsany, Lord;Aika ja kauppamies;Time and the Tradesman;1909;Lauronen, Mika-Petri;;;
Mytago;;;3;1993;Dunsany, Lord;Kharon;Charon;1910;Lauronen, Mika-Petri;;;
Mytago;;;3;1993;Dunsany, Lord;Kultakorvarenkainen mies;The Man with Golden the Ear-rings;1911;Lauronen, Mika-Petri;;;
Mytago;;;3;1993;Dunsany, Lord;Tapaaminen;The Assignation;1914;Lauronen, Mika-Petri;;;
Mytago;;;1;1992;Ervasti, Eeva-Riitta;Loinen;;;;;;
Mytago;;;2;1992;Ervasti, Eeva-Riitta;Menneisyyden perintö;;;;;raapale;
Mytago;;;1;1992;Ervasti, Eeva-Riitta;Vallankumous naisten malliin;;;;;;
Mytago;;;1;1992;Gradistanac, Jussi;Vihreä hehku;;;;;;
Mytago;;;3;1993;Hepo-oja, Risto;Vuoret;;;;;;
Mytago;;;2;1992;Lauronen, Mika-Petri;Herätyskello;;;;;raapale;
Mytago;;;1;1992;Lauronen, Mika-Petri;Hyvät kaupat;;;;;;
Mytago;;;4;1993;Lauronen, Mika-Petri;Ideapula vuonna 30 - eli ei kirjailijallakaan ole helppoa;;;;;;
Mytago;;;1;1992;Lauronen, Mika-Petri;Iku-Turson poika;;;;;;
Mytago;;;2;1992;Lauronen, Mika-Petri;Itkevän neidon torni;;;;;;
Mytago;;;5;1994;Lauronen, Mika-Petri;Roskajuttu - eli raapaletrilogia;;;;;raapale;
Mytago;;;4;1993;Lauronen, Mika-Petri;Suomalainen tieteisnovelli;;;;;;
Mytago;;;3;1993;Lauronen, Mika-Petri;Velhon kuolema;;;;;;
Mytago;;;1;1992;Lauronen, Mika-Petri;Ylioppilaskirjoitukset vuonna 2020;;;;;;
Mytago;;;1;1992;Lauronen, Mika-Petri & Hepo-oja, Risto;Taistelukalat;;;;;;
Mytago;;;5;1994;Lähde, Ville;Tuuli;;;;;;
Mytago;;;3;1993;Marjomaa, Markus;Lähtöjä;;;;;;
Mytago;;;5;1994;Munter, Peter;Kamikaze;;;;;;
Mytago;;;4;1993;Oikarinen, Antti;Aikakivi;;;;;;
Mytago;;;3;1993;Putkonen, Liina;Ydintalven jälkeen;;;;;;
Mytago;;;2;1992;Saari, Antero;Juhlahetki;;;;;raapale;
Mytago;;;4;1993;Verronen, Maarit;Pitkä, hyytävä kesä;;;;;;
Mytago;;;2;1992;Väisänen, Marjo;Syksyn lehdet;;;;;raapale;
Mytago;;;3;1993;Väisänen, Marjo;Tarina tämäkin;;;;;;
Mytago;;;3;1993;Väisänen, Marjo & Lauronen, Mika-Petri;Juliste;;;;;;
