Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Usva;3;;;2007;Torvinen, Jani;Deathwriters;Deathwriters, Kirjoittaminen;
Usva;1;;;2007;Forsgren, Carita;Taiteilijan jälkisanat;Taide, Kuvittaminen;Carita Forsgren
Usva;4;;;2008;Leinonen, Anne;Peuraheimon tarina;;Pekka Halonen
Usva;3;;;2006;Hypén, Tuuli;Taiteilijan omat sanat;Taide, Kuvittaminen, Tuuli Hypén;
Usva;1;;;2006;Karonen, Jarmo & Leinonen, Anne;Tyhjiö todellisuuden rajoilla;;Jarmo Karonen
Usva;2;;;2008;Pohjola, Mike;Kyynelten takana;Kirjoittaminen;
Usva;1;;;2008;Hurtta, Boris;MXYZPTLK ja muita nimiä;Kirjoittaminen;
Usva;2;;;2010;Niemelä, Noora;Sanoja piipunsuusta;Kirjoittaminen;
Usva;3;;;2007;Lintunen, Kalle;Spekulatiivisen ja valtavirran suhteesta;Kirjoittaminen;
Usva;4;;;2006;Ojanperä, Iida;Taiteilijan omat sanat;Taide, Valokuvaus, Iida Ojanperä;
Usva;2;;;2007;Laine, Petri;Arjen outouttamisesta - Petri Laineen kommentit;Palkinnot, Kilpailut;
Usva;2;;;2007;Hurtta, Boris;Arkea ja juhlaa - Boris Hurtan perustelut;Palkinnot, Kilpailut;
Usva;2;;;2007;Raevaara, Tiina;Atorox = paljon tekstiä + tylsää kerrontaa + borgilintuja;Palkinnot, Kilpailut, Atorox;
Usva;2;;;2006;Laine, Petri;Atorox 2006: Robottipään kolme pääsääntöä;Palkinnot, Kilpailut, Atorox;
Usva;2;;;2007;Hirsjärvi, Irma;Kiinnostavat, mahdolliset, raakatut - Irma Hirsjärvi tuomaroi;Palkinnot, Kilpailut;
Usva;2;;;2007;Rantalaiho, Liisa;Metsää puilta - Liisa Rantalaihon huomioita kilpailusta;Palkinnot, Kilpailut;
Usva;2;;;2007;Salin, Petri;Proosan jäillä ei armoa tunneta - Petri Salin tuomaroi;Palkinnot, Kilpailut;
Usva;2;;;2009;Leinonen, Anne;Tuli, maa, ilma, vesi -kirjoituskilpailun tulokset;Palkinnot, Kilpailut;
Usva;2;;;2009;Hirsjärvi, Irma;Tuli, maa, ilma, vesi - Irma Hirsjärven lausunto;Palkinnot, Kilpailut;
Usva;2;;;2009;Koskinen, Juha-Pekka;Tuli, maa, ilma, vesi - J.P. Koskisen lausunto;Palkinnot, Kilpailut;
Usva;2;;;2009;Rantalaiho, Liisa;Tuli, maa, ilma, vesi - Liisa Rantalaihon lausunto;Palkinnot, Kilpailut;
Usva;2;;;2009;Hautala, Marko;Tuli, maa, ilma, vesi - Marko Hautalan lausunto;Palkinnot, Kilpailut;
Usva;2;;;2009;Peltoniemi, Sari;Tuli, maa, ilma, vesi - Sari Peltoniemen lausunto;Palkinnot, Kilpailut;
Usva;1;;;2008;Leinonen, Anne;Usvan tuomarointikysely;Palkinnot, Kilpailut;
Usva;1;;;2006;Numminen, Helena;Pelon hallinnasta;Sekalaista;
