Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Usva;1;;;2009;Alasirniö, Anne;Tehtävä;;;;;;
Usva;1;;;2012;Alatalo, Katri;Ei poikasi ole kuollut;;;;;;
Usva;1;;;2013;Alatalo, Katri;Kulkija;;;;;;
Usva;3;;;2010;Antila, Samuli;Kimalainen;;;;;;
Usva;2;;;2009;Antila, Samuli;Pinta;;;;;;
Usva;2;;;2013;Arjanmaa, Mikko;Cocaira;;;;;;
Usva;4;;;2007;Bagge, Tapani;Salainen keksintö;;;;;;
Usva;2;;;2013;Elo, Heidi;Hiljainen mies;;;;;;
Usva;4;;;2009;Erkki, Harri;Mummo kuoli saunan lauteille;;;;;;
Usva;1;;;2010;Erkki, Harri;Terrori-isku;;;;;;
Usva;2;;;2015;Erkko, Rimma;Äidin poika;;;;;;
Usva;3;;;2012;Ervasti, Kirsi;Kuin lentäisi yöhön;;;;;;
Usva;2;;;2007;Forsgren, Carita;Iioo! Iioo!;;;;;;
Usva;1;;;2008;Forsgren, Carita;Karva;;;;;;
Usva;4;;;2012;Goyle, Charles;Verenpunainen lumienkeli;;;;;;
Usva;2;;;2008;Grönroos, Satu;Punaheikin kesäretki;;;;;;
Usva;2;;;2008;Grönroos, Satu;Talvenkuningatar;;;;;;
Usva;2;;;2007;Grönroos, Urpu Leena;Marian ilmestys;;;;;;
Usva;1;;;2016;Haavisto, Maija;Lankamaailma;;;;;;
Usva;1;;;2014;Haavisto, Maija;Rautakeuhko;;;;;;
Usva;4;;;2012;Hai, Magdalena;Erehdys;;;;;;
Usva;1;;;2009;Hakala, Hannele;Mary Arleau;;;;;;
Usva;2;;;2005;Hakala, Hannele;Oma valo;;;;;;
Usva;3;;;2006;Hakala, Hannele;Rahtari Marsista;;;;;;
Usva;4;;;2009;Hakala, Hannele;Siellä on vain ihmisiä;;;;;;
Usva;1;;;2012;Halonen, Anne-Mari;Adisan talo;;;;;;
Usva;1;;;2012;Halonen, Anne-Mari;Joululahja;;;;;;
Usva;1;;;2012;Halonen, Anne-Mari;Paskajalkakissa;;;;;;
Usva;4;;;2010;Hannila, Petteri;Isoäiti;;;;;;
Usva;1;;;2014;Hannila, Petteri;Kokelas;;;;;;
Usva;3;;;2012;Harju, Markus;Jos sijaltain en nousisi;;;;;;
Usva;3;;;2010;Harju, Markus;Saarnamies;;;;;;
Usva;2;;;2013;Hartokari, Sofia;Mahdollisuus;;;;;;
Usva;1;;;2008;Hautala, Marko;Lumikeiju;;;;;;
Usva;1;;;2006;Hautala, Marko;Minä perhonen, sinä Morfeus;;;;;;
Usva;3;;;2008;Hautala, Marko;Pyövelin paradigma;;;;;;
Usva;2;;;2007;Hautala, Tuula;Rat Masterson;;;;;;
Usva;4;;;2006;Havukainen, Juhani;Yksi säde aurinkoa;;;;;;
Usva;2;;;2010;Heikkilä, Akseli;Minulla on rock-juttu kirjoitettavana;;;;;;
Usva;1;;;2014;Heikkilä, Katariina;Vinnametsän varjo;;;;;;
Usva;1;;;2015;Heikkilä, Mervi;Kuusi on minun puuni;;;;;;
Usva;2;;;2015;Heikkilä, Mervi;Verikuu;;;;;;
Usva;2;;;2013;Heimola, Minna;Kaikin keinoin;;;;;;
Usva;1;;;2016;Hellsten, Elina;Taputtajat;;;;;;
Usva;3;;;2009;Henriksson, Saara;Balaena Mysticetus;;;;;;
Usva;3;;;2013;Henriksson, Saara;Merikuningas;;;;;;
Usva;4;;;2005;Henriksson, Saara;Sininen elementti;;;;;;
Usva;1;;;2016;Henriksson, Saara;Taivaallista musiikkia;;;;;;
Usva;4;;;2006;Henriksson, Saara;Vuoren lapset;;;;;;
Usva;1;;;2016;Hepo-oja, Briitta;Varvasneitsyt;;;;;;
Usva;3;;;2013;Hietala, Heikki;Keinutuoli;;;;;;
Usva;1;;;2012;Hietala, Heikki;Lähettäjät;;;;;;
Usva;3;;;2005;Hirsjärvi, Irma;Viikonloppu maalla;;;;;;
Usva;2;;;2010;Hirvonen, Jenni;Mykkä;;;;;;
Usva;4;;;2008;Hurtta, Boris;Hevosenpäivä;;;;;;
Usva;1;;;2009;Hurtta, Boris;Hiiden nahka;;;;;;
Usva;2;;;2008;Hurtta, Boris;Järviämmän poika;;;;;;
Usva;1;;;2005;Hurtta, Boris;Jäätalvi;;;;;;
Usva;1;;;2008;Hurtta, Boris;Louhisaari;;;;;;
Usva;3;;;2009;Hurtta, Boris;Vaitonainen sanantuoja;;;;;;
Usva;1;;;2013;Ikonen, Johanna;Henkien tytär;;;;;;
Usva;1;;;2013;Ikonen, Johanna;Näkijä;;;;;;
Usva;1;;;2013;Ikonen, Johanna;Tuntureiden noita;;;;;;
Usva;4;;;2010;Janhunen, Marissa;Kauniit vihreät pilvet;;;;;;
Usva;1;;;2015;Jauhiainen, Raita;Allianssi;;;;;;
Usva;2;;;2007;Juntunen, Katariina;Pohjavirtoja;;;;;;
Usva;3;;;2013;Jyrkäs, Juha;Iski tulta Ismaroinen;;;;;;
Usva;2;;;2010;Jänkälä, Tomi;Alaston salissa;;;;;;
Usva;3;;;2010;Jänkälä, Tomi;Karmeat kannut;;;;;;
Usva;4;;;2009;Jänkälä, Tomi;Keskikesällä Harri;;;;;;
Usva;2;;;2009;Jänkälä, Tomi;Veden vangit;;;;;;
Usva;2;;;2012;Kallio, Seppo;Rauhanyritykset;;;;;;
Usva;2;;;2006;Kangasvuo, Jenny;Sudenkulku;;;;;;
Usva;1;;;2013;Kantola, Camilla;Kenkälaatikon kirous;;;;;;
Usva;2;;;2016;Kantola, Camilla;Muutoksia;;;;;;
Usva;1;;;2010;Karonen, Jarmo;Amias Lembeckin antinomia;;;;;;
Usva;1;;;2006;Karonen, Jarmo;Risti ja robotti;;;;;;
Usva;4;;;2009;Karonen, Jarmo;Sovitus (kitaralle);;;;;;
Usva;1;;;2005;Karonen, Jarmo;Usko, toivo, maailmankaikkeus;;;;;;
Usva;3;;;2010;Katajala, Jussi;Asturias;;;;;;
Usva;3;;;2008;Katajala, Jussi;Käärme leijonan varjossa;;;;;;
Usva;2;;;2008;Katajala, Jussi;Maanviljelijän kahdeksan poikaa;;;;;;
Usva;2;;;2013;Katajala, Jussi;Meidän varjomme;;;;;;
Usva;2;;;2009;Katajala, Jussi;Noitanaisen älä anna elää;;;;;;
Usva;2;;;2007;Katajala, Jussi;Vetehinen;;;;;;
Usva;2;;;2009;Kaukonen, Katja;Täti;;;;;;
Usva;1;;;2015;Kauppila, Suvi;Enkelien aneet;;;;;;
Usva;1;;;2014;Kauppinen, Jenni;Varas ja varjo;;;;;;
Usva;4;;;2010;Kejonen, Rauha;Mies ja hevonen;;;;;;
Usva;1;;;2015;Kelosaari, Artemis;Pyhä Johannes Mätänemätön;;;;;;
Usva;2;;;2015;Kelosaari, Artemis;Värise, värise, väärintekijä;;;;;;
Usva;2;;;2005;Kivilahti, Katja;Ikiroudan tarinat;;;;;;
Usva;3;;;2010;Kohonen, Siria;Yövieras;;;;;;
Usva;1;;;2015;Kokkonen, Ari;Digitalisoituminen;;;;;raapale;
Usva;1;;;2015;Kokkonen, Ari;Suljettu;;;;;raapale;
Usva;1;;;2015;Kokkonen, Ari;Äiti;;;;;raapale;
