Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Uusrahvaanomaisia tarinoita;;;1;2011;Lin, Lucilla;Pelkuri;;;;;;
Uusrahvaanomaisia tarinoita;;;1;2011;Likitalo, Leena;Heikommat kutsuisivat;;;;;;
Uusrahvaanomaisia tarinoita;;;1;2011;Thorel, Christine;Kylmät kädet;;;;;;
Uusrahvaanomaisia tarinoita;;;1;2011;Tourunen, Auli;Dana;;;;;;
Uusrahvaanomaisia tarinoita;;;1;2011;Sipiläinen, Tarja;Muukalainen;;;;;raapale;
Uusrahvaanomaisia tarinoita;;;1;2011;Sipiläinen, Tarja;Laulunlyömä;;;;;raapale;
Uusrahvaanomaisia tarinoita;;;1;2011;Niemi, Tero & Salminen, Anne;Rautakaviot;;;;;;
Uusrahvaanomaisia tarinoita;;;2;2011;Kallio, Seppo;Miten huijata jumalia syömään tomaattivoileipiä;;;;;;
Uusrahvaanomaisia tarinoita;;;2;2011;Nevala, Heikki;Strigoi mort;;;;;;
Uusrahvaanomaisia tarinoita;;;2;2011;Nurro, Liisa;Sylttytehtaan jäljet;;;;;;
Uusrahvaanomaisia tarinoita;;;2;2011;Ervasti, Kirsi;Valkoista valoa;;;;;;
Uusrahvaanomaisia tarinoita;;;2;2011;Koskimies, Markus;Älyvapaavyöhyke;;;;;;
Uusrahvaanomaisia tarinoita;;;2;2011;Salminen, Juha;Terraario;;;;;;
